ApsimVersion = 7.9
Title = BC76
           Date          bd(1) paddock.soybean.yield paddock.maize.yield          sw(1)  biochar_bd(1)          oc(1) paddock.soybean.biomass paddock.maize.biomass paddock.soybean.yield paddock.maize.yield         stover paddock.soybean.lai paddock.maize.lai          bd(1)         dul(1)         sat(1)          sw(1)          ph(1)          oc_15          pH_15   corn_yield15
   (dd/mm/yyyy)       (g/cm^3)               (kg/ha)             (kg/ha)        (mm/mm)             ()            (%)                 (kg/ha)               (kg/ha)               (kg/ha)             (kg/ha)        (kg/ha)           (m^2/m^2)         (m^2/m^2)       (g/cm^3)        (mm/mm)        (mm/mm)        (mm/mm)           (pH)             ()             ()             ()
     26/01/2007          1.650                   0.0                 0.0          0.272          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.272          5.700          1.271          5.700          0.000
     27/01/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     28/01/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     29/01/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     30/01/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     31/01/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     01/02/2007          1.650                   0.0                 0.0          0.270          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.270          5.700          1.271          5.700          0.000
     02/02/2007          1.650                   0.0                 0.0          0.270          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.270          5.700          1.271          5.700          0.000
     03/02/2007          1.650                   0.0                 0.0          0.270          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.270          5.700          1.271          5.700          0.000
     04/02/2007          1.650                   0.0                 0.0          0.270          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.270          5.700          1.271          5.700          0.000
     05/02/2007          1.650                   0.0                 0.0          0.270          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.270          5.700          1.271          5.700          0.000
     06/02/2007          1.650                   0.0                 0.0          0.284          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.284          5.700          1.271          5.700          0.000
     07/02/2007          1.650                   0.0                 0.0          0.279          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.279          5.700          1.271          5.700          0.000
     08/02/2007          1.650                   0.0                 0.0          0.276          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.276          5.700          1.271          5.700          0.000
     09/02/2007          1.650                   0.0                 0.0          0.274          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.274          5.700          1.271          5.700          0.000
     10/02/2007          1.650                   0.0                 0.0          0.273          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.273          5.700          1.271          5.700          0.000
     11/02/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     12/02/2007          1.650                   0.0                 0.0          0.270          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.270          5.700          1.271          5.700          0.000
     13/02/2007          1.650                   0.0                 0.0          0.281          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.281          5.700          1.271          5.700          0.000
     14/02/2007          1.650                   0.0                 0.0          0.277          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.277          5.700          1.271          5.700          0.000
     15/02/2007          1.650                   0.0                 0.0          0.275          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.275          5.700          1.271          5.700          0.000
     16/02/2007          1.650                   0.0                 0.0          0.273          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.273          5.700          1.271          5.700          0.000
     17/02/2007          1.650                   0.0                 0.0          0.286          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.286          5.700          1.271          5.700          0.000
     18/02/2007          1.650                   0.0                 0.0          0.279          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.279          5.700          1.271          5.700          0.000
     19/02/2007          1.650                   0.0                 0.0          0.273          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.273          5.700          1.271          5.700          0.000
     20/02/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     21/02/2007          1.650                   0.0                 0.0          0.268          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.268          5.700          1.271          5.700          0.000
     22/02/2007          1.650                   0.0                 0.0          0.266          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.266          5.700          1.271          5.700          0.000
     23/02/2007          1.650                   0.0                 0.0          0.265          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.265          5.700          1.271          5.700          0.000
     24/02/2007          1.650                   0.0                 0.0          0.349          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.349          5.700          1.271          5.700          0.000
     25/02/2007          1.650                   0.0                 0.0          0.349          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.349          5.700          1.271          5.700          0.000
     26/02/2007          1.650                   0.0                 0.0          0.317          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.317          5.700          1.271          5.700          0.000
     27/02/2007          1.650                   0.0                 0.0          0.298          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.298          5.700          1.271          5.700          0.000
     28/02/2007          1.650                   0.0                 0.0          0.286          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.286          5.700          1.271          5.700          0.000
     01/03/2007          1.650                   0.0                 0.0          0.349          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.349          5.700          1.271          5.700          0.000
     02/03/2007          1.650                   0.0                 0.0          0.349          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.349          5.700          1.271          5.700          0.000
     03/03/2007          1.650                   0.0                 0.0          0.318          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.318          5.700          1.271          5.700          0.000
     04/03/2007          1.650                   0.0                 0.0          0.298          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.298          5.700          1.271          5.700          0.000
     05/03/2007          1.650                   0.0                 0.0          0.286          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.286          5.700          1.271          5.700          0.000
     06/03/2007          1.650                   0.0                 0.0          0.279          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.279          5.700          1.271          5.700          0.000
     07/03/2007          1.650                   0.0                 0.0          0.275          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.275          5.700          1.271          5.700          0.000
     08/03/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     09/03/2007          1.650                   0.0                 0.0          0.282          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.282          5.700          1.271          5.700          0.000
     10/03/2007          1.650                   0.0                 0.0          0.272          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.272          5.700          1.271          5.700          0.000
     11/03/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     12/03/2007          1.650                   0.0                 0.0          0.267          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.267          5.700          1.271          5.700          0.000
     13/03/2007          1.650                   0.0                 0.0          0.264          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.264          5.700          1.271          5.700          0.000
     14/03/2007          1.650                   0.0                 0.0          0.262          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.262          5.700          1.271          5.700          0.000
     15/03/2007          1.650                   0.0                 0.0          0.260          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.260          5.700          1.271          5.700          0.000
     16/03/2007          1.650                   0.0                 0.0          0.258          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.258          5.700          1.271          5.700          0.000
     17/03/2007          1.650                   0.0                 0.0          0.265          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.265          5.700          1.271          5.700          0.000
     18/03/2007          1.650                   0.0                 0.0          0.262          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.262          5.700          1.271          5.700          0.000
     19/03/2007          1.650                   0.0                 0.0          0.259          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.259          5.700          1.271          5.700          0.000
     20/03/2007          1.650                   0.0                 0.0          0.257          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.257          5.700          1.271          5.700          0.000
     21/03/2007          1.650                   0.0                 0.0          0.266          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.266          5.700          1.271          5.700          0.000
     22/03/2007          1.650                   0.0                 0.0          0.263          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.263          5.700          1.271          5.700          0.000
     23/03/2007          1.650                   0.0                 0.0          0.259          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.259          5.700          1.271          5.700          0.000
     24/03/2007          1.650                   0.0                 0.0          0.344          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.344          5.700          1.271          5.700          0.000
     25/03/2007          1.650                   0.0                 0.0          0.306          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.306          5.700          1.271          5.700          0.000
     26/03/2007          1.650                   0.0                 0.0          0.282          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.282          5.700          1.271          5.700          0.000
     27/03/2007          1.650                   0.0                 0.0          0.272          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.272          5.700          1.271          5.700          0.000
     28/03/2007          1.650                   0.0                 0.0          0.345          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.345          5.700          1.271          5.700          0.000
     29/03/2007          1.650                   0.0                 0.0          0.312          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.312          5.700          1.271          5.700          0.000
     30/03/2007          1.650                   0.0                 0.0          0.302          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.302          5.700          1.271          5.700          0.000
     31/03/2007          1.650                   0.0                 0.0          0.344          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.344          5.700          1.271          5.700          0.000
     01/04/2007          1.650                   0.0                 0.0          0.342          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.342          5.700          1.271          5.700          0.000
     02/04/2007          1.650                   0.0                 0.0          0.311          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.311          5.700          1.271          5.700          0.000
     03/04/2007          1.650                   0.0                 0.0          0.329          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.329          5.700          1.271          5.700          0.000
     04/04/2007          1.650                   0.0                 0.0          0.304          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.304          5.700          1.271          5.700          0.000
     05/04/2007          1.650                   0.0                 0.0          0.288          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.288          5.700          1.271          5.700          0.000
     06/04/2007          1.650                   0.0                 0.0          0.279          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.279          5.700          1.271          5.700          0.000
     07/04/2007          1.650                   0.0                 0.0          0.274          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.274          5.700          1.271          5.700          0.000
     08/04/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     09/04/2007          1.650                   0.0                 0.0          0.270          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.270          5.700          1.271          5.700          0.000
     10/04/2007          1.650                   0.0                 0.0          0.269          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.269          5.700          1.271          5.700          0.000
     11/04/2007          1.650                   0.0                 0.0          0.347          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.347          5.700          1.271          5.700          0.000
     12/04/2007          1.650                   0.0                 0.0          0.322          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.322          5.700          1.271          5.700          0.000
     13/04/2007          1.650                   0.0                 0.0          0.294          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.294          5.700          1.271          5.700          0.000
     14/04/2007          1.650                   0.0                 0.0          0.277          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.277          5.700          1.271          5.700          0.000
     15/04/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     16/04/2007          1.650                   0.0                 0.0          0.271          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.271          5.700          0.000
     17/04/2007          1.650                   0.0                 0.0          0.267          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.267          5.700          1.271          5.700          0.000
     18/04/2007          1.650                   0.0                 0.0          0.262          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.262          5.700          1.271          5.700          0.000
     19/04/2007          1.650                   0.0                 0.0          0.259          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.259          5.700          1.271          5.700          0.000
     20/04/2007          1.650                   0.0                 0.0          0.259          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.259          5.700          1.271          5.700          0.000
     21/04/2007          1.650                   0.0                 0.0          0.254          1.650          1.308                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.254          5.700          1.271          5.700          0.000
     22/04/2007          1.650                   0.0                 0.0          0.284          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.284          5.700          1.271          5.700          0.000
     23/04/2007          1.650                   0.0                 0.0          0.325          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.325          5.700          1.271          5.700          0.000
     24/04/2007          1.650                   0.0                 0.0          0.347          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.347          5.700          1.271          5.700          0.000
     25/04/2007          1.650                   0.0                 0.0          0.347          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.347          5.700          1.272          5.700          0.000
     26/04/2007          1.650                   0.0                 0.0          0.336          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.336          5.700          1.272          5.700          0.000
     27/04/2007          1.650                   0.0                 0.0          0.298          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.298          5.700          1.272          5.700          0.000
     28/04/2007          1.650                   0.0                 0.0          0.275          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.275          5.700          1.272          5.700          0.000
     29/04/2007          1.650                   0.0                 0.0          0.271          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.272          5.700          0.000
     30/04/2007          1.650                   0.0                 0.0          0.270          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.270          5.700          1.272          5.700          0.000
     01/05/2007          1.650                   0.0                 0.0          0.263          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.263          5.700          1.272          5.700          0.000
     02/05/2007          1.650                   0.0                 0.0          0.259          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.259          5.700          1.272          5.700          0.000
     03/05/2007          1.650                   0.0                 0.0          0.282          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.282          5.700          1.272          5.700          0.000
     04/05/2007          1.650                   0.0                 0.0          0.308          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.308          5.700          1.272          5.700          0.000
     05/05/2007          1.650                   0.0                 0.0          0.285          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.285          5.700          1.272          5.700          0.000
     06/05/2007          1.650                   0.0                 0.0          0.342          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.342          5.700          1.272          5.700          0.000
     07/05/2007          1.650                   0.0                 0.0          0.340          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.340          5.700          1.272          5.700          0.000
     08/05/2007          1.650                   0.0                 0.0          0.300          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.300          5.700          1.272          5.700          0.000
     09/05/2007          1.650                   0.0                 0.0          0.275          1.650          1.309                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.275          5.700          1.272          5.700          0.000
     10/05/2007          1.650                   0.0                 0.0          0.271          1.650          1.310                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.272          5.700          0.000
     11/05/2007          1.650                   0.0                 0.0          0.271          1.650          1.310                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.271          5.700          1.272          5.700          0.000
     12/05/2007          1.650                   0.0                 0.0          0.265          1.650          1.310                    15.0                   0.0                   0.0                 0.0            0.0               0.015             0.000          1.650          0.271          0.350          0.265          5.700          1.272          5.700          0.000
     13/05/2007          1.650                   0.0                 0.0          0.257          1.650          1.310                    16.5                   0.0                   0.0                 0.0            0.0               0.018             0.000          1.650          0.271          0.350          0.257          5.700          1.272          5.700          0.000
     14/05/2007          1.650                   0.0                 0.0          0.252          1.650          1.310                    18.4                   0.0                   0.0                 0.0            0.0               0.022             0.000          1.650          0.271          0.350          0.252          5.700          1.272          5.700          0.000
     15/05/2007          1.650                   0.0                 0.0          0.260          1.650          1.310                    19.6                   0.0                   0.0                 0.0            0.0               0.025             0.000          1.650          0.271          0.350          0.260          5.700          1.272          5.700          0.000
     16/05/2007          1.650                   0.0                 0.0          0.254          1.650          1.310                    20.6                   0.0                   0.0                 0.0            0.0               0.027             0.000          1.650          0.271          0.350          0.254          5.700          1.272          5.700          0.000
     17/05/2007          1.650                   0.0                 0.0          0.251          1.650          1.310                    21.3                   0.0                   0.0                 0.0            0.0               0.024             0.000          1.650          0.271          0.350          0.251          5.700          1.272          5.700          0.000
     18/05/2007          1.650                   0.0                 0.0          0.248          1.650          1.310                    22.6                   0.0                   0.0                 0.0            0.0               0.027             0.000          1.650          0.271          0.350          0.248          5.700          1.272          5.700          0.000
     19/05/2007          1.650                   0.0                 0.0          0.246          1.650          1.311                    25.4                   0.0                   0.0                 0.0            0.0               0.033             0.000          1.650          0.271          0.350          0.246          5.700          1.272          5.700          0.000
     20/05/2007          1.650                   0.0                 0.0          0.244          1.650          1.311                    28.8                   0.0                   0.0                 0.0            0.0               0.040             0.000          1.650          0.271          0.350          0.244          5.700          1.272          5.700          0.000
     21/05/2007          1.650                   0.0                 0.0          0.242          1.650          1.311                    32.9                   0.0                   0.0                 0.0            0.0               0.049             0.000          1.650          0.271          0.350          0.242          5.700          1.273          5.700          0.000
     22/05/2007          1.650                   0.0                 0.0          0.241          1.650          1.311                    37.5                   0.0                   0.0                 0.0            0.0               0.059             0.000          1.650          0.271          0.350          0.241          5.700          1.273          5.700          0.000
     23/05/2007          1.650                   0.0                 0.0          0.239          1.650          1.311                    42.2                   0.0                   0.0                 0.0            0.0               0.069             0.000          1.650          0.271          0.350          0.239          5.700          1.272          5.700          0.000
     24/05/2007          1.650                   0.0                 0.0          0.343          1.650          1.311                    45.2                   0.0                   0.0                 0.0            0.0               0.076             0.000          1.650          0.271          0.350          0.343          5.700          1.272          5.700          0.000
