ApsimVersion = 7.9
Title = BC76
           Date          bd(1) paddock.soybean.yield paddock.maize.yield          sw(1)  biochar_bd(1)          oc(1) paddock.soybean.biomass paddock.maize.biomass paddock.soybean.yield paddock.maize.yield         stover paddock.soybean.lai paddock.maize.lai          bd(1)         dul(1)         sat(1)          sw(1)          ph(1)          oc_15          pH_15   corn_yield15
   (dd/mm/yyyy)       (g/cm^3)               (kg/ha)             (kg/ha)        (mm/mm)             ()            (%)                 (kg/ha)               (kg/ha)               (kg/ha)             (kg/ha)        (kg/ha)           (m^2/m^2)         (m^2/m^2)       (g/cm^3)        (mm/mm)        (mm/mm)        (mm/mm)           (pH)             ()             ()             ()
     30/01/2006          1.650                   0.0                 0.0          0.242          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.242          5.700          1.257          5.700          0.000
     31/01/2006          1.650                   0.0                 0.0          0.237          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.237          5.700          1.257          5.700          0.000
     01/02/2006          1.650                   0.0                 0.0          0.231          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.231          5.700          1.257          5.700          0.000
     02/02/2006          1.650                   0.0                 0.0          0.226          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.226          5.700          1.257          5.700          0.000
     03/02/2006          1.650                   0.0                 0.0          0.223          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.223          5.700          1.257          5.700          0.000
     04/02/2006          1.650                   0.0                 0.0          0.223          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.223          5.700          1.257          5.700          0.000
     05/02/2006          1.650                   0.0                 0.0          0.222          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.222          5.700          1.257          5.700          0.000
     06/02/2006          1.650                   0.0                 0.0          0.221          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.221          5.700          1.257          5.700          0.000
     07/02/2006          1.650                   0.0                 0.0          0.220          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.220          5.700          1.257          5.700          0.000
     08/02/2006          1.650                   0.0                 0.0          0.237          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.237          5.700          1.257          5.700          0.000
     09/02/2006          1.650                   0.0                 0.0          0.234          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.234          5.700          1.257          5.700          0.000
     10/02/2006          1.650                   0.0                 0.0          0.232          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.232          5.700          1.257          5.700          0.000
     11/02/2006          1.650                   0.0                 0.0          0.230          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.230          5.700          1.257          5.700          0.000
     12/02/2006          1.650                   0.0                 0.0          0.229          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.229          5.700          1.257          5.700          0.000
     13/02/2006          1.650                   0.0                 0.0          0.224          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.224          5.700          1.257          5.700          0.000
     14/02/2006          1.650                   0.0                 0.0          0.218          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.218          5.700          1.257          5.700          0.000
     15/02/2006          1.650                   0.0                 0.0          0.215          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.215          5.700          1.257          5.700          0.000
     16/02/2006          1.650                   0.0                 0.0          0.238          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.238          5.700          1.257          5.700          0.000
     17/02/2006          1.650                   0.0                 0.0          0.235          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.235          5.700          1.257          5.700          0.000
     18/02/2006          1.650                   0.0                 0.0          0.234          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.234          5.700          1.257          5.700          0.000
     19/02/2006          1.650                   0.0                 0.0          0.233          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.233          5.700          1.257          5.700          0.000
     20/02/2006          1.650                   0.0                 0.0          0.230          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.230          5.700          1.257          5.700          0.000
     21/02/2006          1.650                   0.0                 0.0          0.224          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.224          5.700          1.257          5.700          0.000
     22/02/2006          1.650                   0.0                 0.0          0.218          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.218          5.700          1.257          5.700          0.000
     23/02/2006          1.650                   0.0                 0.0          0.211          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.211          5.700          1.257          5.700          0.000
     24/02/2006          1.650                   0.0                 0.0          0.204          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.204          5.700          1.257          5.700          0.000
     25/02/2006          1.650                   0.0                 0.0          0.197          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.197          5.700          1.257          5.700          0.000
     26/02/2006          1.650                   0.0                 0.0          0.193          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.193          5.700          1.257          5.700          0.000
     27/02/2006          1.650                   0.0                 0.0          0.187          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.187          5.700          1.257          5.700          0.000
     28/02/2006          1.650                   0.0                 0.0          0.180          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.180          5.700          1.257          5.700          0.000
     01/03/2006          1.650                   0.0                 0.0          0.177          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.177          5.700          1.257          5.700          0.000
     02/03/2006          1.650                   0.0                 0.0          0.175          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.175          5.700          1.258          5.700          0.000
     03/03/2006          1.650                   0.0                 0.0          0.172          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.172          5.700          1.258          5.700          0.000
     04/03/2006          1.650                   0.0                 0.0          0.171          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.171          5.700          1.258          5.700          0.000
     05/03/2006          1.650                   0.0                 0.0          0.239          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.239          5.700          1.258          5.700          0.000
     06/03/2006          1.650                   0.0                 0.0          0.228          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.228          5.700          1.258          5.700          0.000
     07/03/2006          1.650                   0.0                 0.0          0.243          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.243          5.700          1.258          5.700          0.000
     08/03/2006          1.650                   0.0                 0.0          0.252          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.252          5.700          1.258          5.700          0.000
     09/03/2006          1.650                   0.0                 0.0          0.248          1.650          1.281                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.248          5.700          1.258          5.700          0.000
     10/03/2006          1.650                   0.0                 0.0          0.239          1.650          1.282                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.239          5.700          1.258          5.700          0.000
     11/03/2006          1.650                   0.0                 0.0          0.230          1.650          1.282                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.230          5.700          1.258          5.700          0.000
     12/03/2006          1.650                   0.0                 0.0          0.236          1.650          1.282                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.236          5.700          1.258          5.700          0.000
     13/03/2006          1.650                   0.0                 0.0          0.241          1.650          1.282                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.241          5.700          1.258          5.700          0.000
     14/03/2006          1.650                   0.0                 0.0          0.232          1.650          1.282                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.232          5.700          1.258          5.700          0.000
     15/03/2006          1.650                   0.0                 0.0          0.224          1.650          1.282                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.224          5.700          1.258          5.700          0.000
     16/03/2006          1.650                   0.0                 0.0          0.240          1.650          1.282                     0.0                   0.0                   0.0                 0.0            0.0               0.000             0.000          1.650          0.271          0.350          0.240          5.700          1.258          5.700          0.000
