ApsimVersion = 7.4
Title = Control
           Date           year            day    wheat_yield     wheat_biom            esw          no3() RainSinceSowing         Transp       SoilEvap
   (dd/mm/yyyy)         (year)          (day)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)            (mm)           (mm)           (mm)
     16/03/1960           1960             76         1979.0         5282.9        104.613           29.0          33.000        140.843         65.976
     18/03/1961           1961             77         2907.5         6911.1        113.395           26.3         106.000        171.412         88.741
     23/03/1962           1962             82         2098.0         5923.3         94.023           24.5          39.000        145.595         75.352
     19/03/1963           1963             78         1815.4         5223.8        111.083           31.7          34.000        142.020         58.765
     19/03/1964           1964             79         1982.5         5745.5         98.506           26.6           8.000        132.500         56.592
     18/03/1965           1965             77         2302.8         5811.7         93.995           24.8          35.000        147.866         71.328
     16/03/1966           1966             75         1873.9         5192.5         97.529           28.0          32.000        134.060         63.143
     18/03/1967           1967             77         1858.4         5402.2         97.182           27.3          76.000        137.935         73.951
     21/03/1968           1968             81         1940.1         5866.2        104.740           26.9          23.000        128.680         59.509
     21/03/1969           1969             80         1905.6         5758.4        101.230           26.3          34.000        134.001         69.272
     19/03/1970           1970             78         3145.4         6952.6        114.533           25.2          88.000        157.852         84.783
     22/03/1971           1971             81         2282.0         6194.1         99.931           24.1          16.000        138.290         61.275
     22/03/1972           1972             82         2157.7         6233.4         95.320           26.0          11.000        134.030         58.621
     20/03/1973           1973             79         2251.2         5963.1        126.560           25.8          85.000        146.881         84.044
     20/03/1974           1974             79         1864.6         5531.8         96.993           26.8          97.000        131.415         54.409
     20/03/1975           1975             79         1900.6         5602.3         97.079           25.9          12.000        133.230         61.372
     19/03/1976           1976             79         2156.2         6103.8        106.348           26.2          48.000        146.688         68.874
     20/03/1977           1977             79         2231.4         5910.4         94.835           24.7          26.000        142.725         61.581
     20/03/1978           1978             79         1867.2         5531.6         97.070           26.9          40.000        131.447         53.667
     20/03/1979           1979             79         2714.0         6899.5        108.489           23.2          87.000        168.772         72.591
     18/03/1980           1980             78         3286.9         7285.7        123.735           23.5         127.000        167.440         97.193
     20/03/1981           1981             79         3117.9         7401.8        117.637           24.9         130.000        179.734         81.285
     21/03/1982           1982             80         2001.5         5627.8        116.329           31.5         199.000        136.740         83.381
     25/03/1983           1983             84         3416.0         7682.1        154.359           24.2         210.000        189.537         96.153
     24/03/1984           1984             84         2198.2         6475.6         97.088           25.0          66.000        140.782         62.201
     21/03/1985           1985             80         1901.9         5744.4         97.049           27.1          50.000        133.127         61.439
     20/03/1986           1986             79         1906.4         5514.4         95.527           27.3           9.000        132.292         52.044
     19/03/1987           1987             78         1904.3         5618.4        123.343           29.0          54.000        127.676         72.509
     16/03/1988           1988             76         2539.3         5939.1        155.434           25.2         124.000        142.247         85.046
     22/03/1989           1989             81         2067.5         5891.1         95.349           27.1           2.000        131.258         53.178
     22/03/1990           1990             81         3133.7         6999.2         99.034           24.1          78.000        154.968         88.246
     20/03/1991           1991             79         1980.7         5654.2        103.149           29.2          75.000        137.075         89.193
     24/03/1992           1992             84         3298.3         8064.8        103.013           23.3         180.000        175.839         95.578
     24/03/1993           1993             83         2525.6         6472.9        103.046           24.0          48.020        143.447         66.680
     19/03/1994           1994             78         2795.9         7097.9        100.227           23.1          41.000        153.205         64.282
     24/03/1995           1995             83         2062.7         6034.8         93.370           24.8          42.000        145.491         79.078
     19/03/1996           1996             79         2281.5         6205.9         97.889           25.9          62.000        139.059         68.697
     22/03/1997           1997             81         2426.3         7169.9         97.976           22.9          54.000        158.619         79.551
     25/03/1998           1998             84         2354.2         6508.9        155.895           24.1         217.000        141.173         98.970
     17/03/1999           1999             76         1855.3         5547.7         99.044           27.9           0.000        133.291         50.399
     22/03/2000           2000             82         2425.9         6881.0         99.290           23.5          27.000        135.760         71.749
     21/03/2001           2001             80         2044.9         5990.6         94.073           25.1          21.000        141.460         62.927
     18/03/2002           2002             77         2100.0         6113.6        101.828           24.4          22.000        137.633         67.375
     26/03/2003           2003             85         2109.9         6326.7        147.308           28.5          89.060        120.327         77.555
     21/03/2004           2004             81         1948.4         6086.9         99.227           25.5          35.000        122.775         72.907
     22/03/2005           2005             81         2163.5         6332.5         99.031           24.7          53.000        129.008         73.223
     17/03/2006           2006             76         2152.1         5872.2        100.010           27.3           1.000        123.922         50.547
     22/03/2007           2007             81         3410.1         8134.7        115.322           23.5          86.020        159.938         82.315
     21/03/2008           2008             81         2351.0         7117.4        102.675           24.2           1.000        129.138         52.378
     17/03/2009           2009             76         3093.6         7420.0        109.251           24.6          86.000        168.143         81.697
