ApsimVersion = 7.10
Title = Silt rice residue field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     10/02/2001           2001             41          0.000         95.985          0.161          0.000          0.000           20.7            0.1            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     11/02/2001           2001             42          0.000         95.825          0.160          0.000          0.000           21.1            0.1            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     12/02/2001           2001             43          0.000         95.666          0.159          0.000          0.000           21.4            0.1            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     13/02/2001           2001             44          0.000         95.509          0.158          0.000          0.000           21.8            0.1            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     14/02/2001           2001             45          0.000         95.352          0.156          0.000          0.000           22.1            0.1            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     15/02/2001           2001             46          0.000         95.197          0.155          0.000          0.000           22.5            0.1            0.1            0.1            0.0           -0.0           -0.0         1708.0           0.574
     16/02/2001           2001             47          0.000         95.043          0.154          0.000          0.000           22.9            0.1            0.2            0.1            0.0           -0.0           -0.0         1708.0           0.574
     17/02/2001           2001             48          0.000         94.891          0.153          0.000          0.000           23.3            0.1            0.2            0.1            0.0           -0.0           -0.0         1708.0           0.574
     18/02/2001           2001             49          0.000         94.739          0.152          0.000          0.000           23.7            0.1            0.2            0.1            0.0           -0.0           -0.0         1708.0           0.574
     19/02/2001           2001             50          0.000         94.588          0.151          0.000          0.000           24.1            0.1            0.2            0.1            0.0           -0.0           -0.0         1708.0           0.574
     20/02/2001           2001             51          0.000         94.439          0.149          0.000          0.000           24.5            0.1            0.2            0.1            0.0           -0.0           -0.0         1708.0           0.574
     21/02/2001           2001             52          0.000         94.290          0.148          0.000          0.000           24.8            0.1            0.2            0.1            0.0           -0.0           -0.0         1708.0           0.574
     22/02/2001           2001             53          6.000         96.993          3.297          0.000          0.000           24.2            0.2            0.2            0.1            0.0           -0.0            0.0         1615.1           0.554
     23/02/2001           2001             54          0.000         96.623          0.370          0.000          0.000           23.7            0.2            0.2            0.1            0.0            0.0            0.0         1544.7           0.538
     24/02/2001           2001             55          0.000         96.458          0.166          0.000          0.000           23.5            0.2            0.2            0.1            0.0            0.0            0.0         1493.5           0.526
     25/02/2001           2001             56          0.000         96.294          0.164          0.000          0.000           23.5            0.2            0.2            0.1            0.0            0.0            0.0         1459.9           0.518
     26/02/2001           2001             57          0.000         96.131          0.163          0.000          0.000           23.7            0.2            0.2            0.1            0.0            0.0            0.0         1441.2           0.514
     27/02/2001           2001             58          4.000         96.465          3.666          0.000          0.000           23.9            0.2            0.2            0.1            0.0            0.0            0.0         1423.0           0.509
     28/02/2001           2001             59          0.000         96.301          0.164          0.000          0.000           24.3            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     01/03/2001           2001             60          0.000         96.139          0.163          0.000          0.000           24.7            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     02/03/2001           2001             61          0.000         95.977          0.161          0.000          0.000           25.2            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     03/03/2001           2001             62          0.000         95.817          0.160          0.000          0.000           25.7            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     04/03/2001           2001             63          0.000         95.658          0.159          0.000          0.000           26.1            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     05/03/2001           2001             64          0.000         95.501          0.158          0.000          0.000           26.6            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     06/03/2001           2001             65          0.000         95.344          0.156          0.000          0.000           27.1            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     07/03/2001           2001             66          0.000         95.189          0.155          0.000          0.000           27.5            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     08/03/2001           2001             67          0.000         95.035          0.154          0.000          0.000           27.9            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     09/03/2001           2001             68          0.000         94.883          0.153          0.000          0.000           28.4            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     10/03/2001           2001             69          0.000         94.731          0.152          0.000          0.000           28.8            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     11/03/2001           2001             70          0.000         94.581          0.151          0.000          0.000           29.3            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     12/03/2001           2001             71          0.000         94.431          0.149          0.000          0.000           29.7            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     13/03/2001           2001             72          0.000         94.283          0.148          0.000          0.000           30.2            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     14/03/2001           2001             73          0.000         94.136          0.147          0.000          0.000           30.6            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     15/03/2001           2001             74          0.000         93.989          0.146          0.000          0.000           31.1            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     16/03/2001           2001             75          0.000         93.844          0.145          0.000          0.000           31.6            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     17/03/2001           2001             76          0.000         93.700          0.144          0.000          0.000           32.1            0.2            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     18/03/2001           2001             77          0.000         93.556          0.143          0.000          0.000           32.5            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     19/03/2001           2001             78          0.000         93.414          0.142          0.000          0.000           33.0            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     20/03/2001           2001             79          0.000         93.272          0.142          0.000          0.000           33.5            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     21/03/2001           2001             80          0.000         93.131          0.141          0.000          0.000           33.9            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     22/03/2001           2001             81          0.000         92.992          0.140          0.000          0.000           34.4            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     23/03/2001           2001             82          0.000         92.853          0.139          0.000          0.000           34.9            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     24/03/2001           2001             83          1.000         92.715          1.138          0.000          0.000           35.3            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     25/03/2001           2001             84          0.000         92.577          0.137          0.000          0.000           35.7            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     26/03/2001           2001             85          0.000         92.441          0.136          0.000          0.000           36.1            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     27/03/2001           2001             86          0.000         92.305          0.136          0.000          0.000           36.5            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     28/03/2001           2001             87          0.000         92.171          0.135          0.000          0.000           36.9            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     29/03/2001           2001             88          0.000         92.037          0.134          0.000          0.000           37.3            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     30/03/2001           2001             89          0.000         91.903          0.133          0.000          0.000           37.7            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
     31/03/2001           2001             90          3.000         91.771          3.133          0.000          0.000           38.1            0.1            0.2            0.1            0.0            0.0            0.0         1420.2           0.508
