ApsimVersion = 7.4
Title = Silt cowpea residues incorp
           Date     biom_n_Tot      fom_n_Tot        NO3_Tot
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     01/06/2001          180.6           14.1           61.8
     02/06/2001          184.7           13.3           63.1
     03/06/2001          188.3           12.6           64.1
     04/06/2001          190.9           11.9           64.9
     05/06/2001          192.9           11.3           65.6
     06/06/2001          195.4           10.8           65.9
     07/06/2001          197.6           10.4           66.2
     08/06/2001          199.6           10.0           66.5
     09/06/2001          201.3            9.6           66.8
     10/06/2001          202.7            9.3           67.1
     11/06/2001          203.7            8.9           67.5
     12/06/2001          204.2            8.6           68.1
     13/06/2001          204.5            8.2           68.7
     14/06/2001          205.4            8.0           69.1
     15/06/2001          205.8           18.3           69.4
     16/06/2001          206.1           17.5           69.7
     17/06/2001          206.3           16.8           70.0
     18/06/2001          206.5           16.2           70.3
     19/06/2001          206.6           15.6           70.7
     20/06/2001          206.7           15.0           71.0
     21/06/2001          206.7           14.5           71.3
     22/06/2001          206.7           13.9           71.7
     23/06/2001          206.7           13.4           72.3
     24/06/2001          206.6           12.8           73.0
     25/06/2001          206.5           12.3           73.8
     26/06/2001          206.3           11.8           74.7
     27/06/2001          206.2           11.4           75.4
     28/06/2001          205.9           10.9           76.3
     29/06/2001          205.7           10.5           77.1
     30/06/2001          205.4           10.1           77.9
     01/07/2001          205.1            9.8           78.6
     02/07/2001          204.9            9.5           79.2
     03/07/2001          204.6            9.2           79.9
     04/07/2001          204.3            8.9           80.6
     05/07/2001          203.9            8.6           81.5
     06/07/2001          203.5            8.3           82.4
     07/07/2001          203.1            8.0           83.3
     08/07/2001          202.7            7.7           84.4
     09/07/2001          202.2            7.4           85.4
     10/07/2001          201.8            7.2           86.3
     11/07/2001          201.4            7.0           87.0
     12/07/2001          200.9            6.7           87.8
     13/07/2001          200.5            6.5           88.6
     14/07/2001          200.0            6.3           89.3
     15/07/2001          199.5            6.1           90.1
     16/07/2001          199.0            6.0           90.9
     17/07/2001          198.5            5.8           91.8
     18/07/2001          198.0            5.6           92.8
     19/07/2001          197.5            5.4           93.7
     20/07/2001          196.9            5.2           94.7
     21/07/2001          196.4            5.1           95.7
     22/07/2001          195.8            4.9           96.8
     23/07/2001          195.3            4.8           97.7
     24/07/2001          194.7            4.6           98.6
     25/07/2001          194.1            4.5           99.5
     26/07/2001          193.6            4.4          100.3
     27/07/2001          193.0            4.2          101.2
     28/07/2001          192.5            4.1          102.1
     29/07/2001          191.9            4.0          102.8
     30/07/2001          191.4            3.9          103.6
     31/07/2001          190.8            3.8          104.3
     01/08/2001          190.3            3.7          105.0
     02/08/2001          189.7            3.6          105.7
     03/08/2001          189.1            3.5          106.4
     04/08/2001          188.6            3.4          107.2
     05/08/2001          188.0            3.3          108.0
     06/08/2001          187.4            3.3          108.7
     07/08/2001          186.8            3.2          109.6
     08/08/2001          186.2            3.1          110.6
     09/08/2001          185.5            3.0          111.5
     10/08/2001          184.9            2.9          112.5
     11/08/2001          184.2            2.9          113.5
     12/08/2001          183.6            2.8          114.6
     13/08/2001          182.9            2.7          115.6
     14/08/2001          182.3            2.6          116.7
     15/08/2001          181.6            2.6          117.6
