ApsimVersion = 7.9
Title = Rice-wheat
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield        N_avail           rain         dul(1)          sw(1)          no3()         NH4(1)         NH4(2)         NH4(3)         NH4(4)         NH4(5)         NH4(6)          drain     irrigation     wheat_biom    wheat_yield         runoff     fertiliser          nh4()      LAI(rice)     LAI(wheat)     leaftotaln           nflv sw_stress_expan sw_stress_photo sw_stress_pheno
   (dd/mm/yyyy)         (year)          (day)           (mm)        (kg/ha)             ()            (d)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (mm/mm)        (mm/mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)             ()      (m^2/m^2)        (g/m^2)             ()              ()              ()              ()
     01/06/2001           2001            152         23.618           10.2              0              0            0.0            0.0            0.0            7.6          7.000          0.386          0.268           10.2            2.1            0.9            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000            0.0            3.5          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     02/06/2001           2001            153         33.154           11.3              0              0            0.0            0.0            0.0            7.9         14.000          0.386          0.332           11.3            1.5            0.7            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000            0.0            2.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     03/06/2001           2001            154         36.772           12.2              0              0            0.0            0.0            0.0            8.2          8.000          0.386          0.355           12.2            1.2            0.6            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000            0.0            2.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     04/06/2001           2001            155         36.096           12.9              0              0            0.0            0.0            0.0            8.5          0.000          0.386          0.350           12.9            1.0            0.4            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000            0.0            1.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     05/06/2001           2001            156         35.480           13.5              0              0            0.0            0.0            0.0            8.9          1.000          0.386          0.346           13.5            0.9            0.4            0.1            0.0            0.0            0.1          0.000          0.000            0.0            0.0          0.000            0.0            1.4          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     06/06/2001           2001            157         68.740           13.4              0              0            0.0            0.0            0.0            6.9         77.000          0.386          0.407           13.4            1.1            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            1.6          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     07/06/2001           2001            158         92.768           13.3              0              0            0.0            0.0            0.0            5.4         63.000          0.386          0.408           13.3            1.3            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            1.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     08/06/2001           2001            159        116.808           13.1              0              0            0.0            0.0            0.0            4.5         27.000          0.386          0.408           13.1            1.5            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            1.8          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     09/06/2001           2001            160        140.778           13.0              0              0            0.0            0.0            0.0            3.9         20.000          0.386          0.408           13.0            1.7            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            2.0          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     10/06/2001           2001            161        164.696           12.8              0              0            0.0            0.0            0.0            3.5         66.000          0.386          0.407           12.8            1.9            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            2.2          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     11/06/2001           2001            162        188.429           12.7              0              0            0.0            0.0            0.0            3.2          0.000          0.386          0.405           12.7            2.1            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            2.5          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     12/06/2001           2001            163        212.582           12.5              0              0            0.0            0.0            0.0            3.2          0.000          0.386          0.406           12.5            2.3            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            2.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     13/06/2001           2001            164        221.875           13.1              0              0            0.0            0.0            0.0            3.4          0.000          0.386          0.408           13.1            2.0            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            2.4          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     14/06/2001           2001            165        245.994           12.9              0              0            0.0            0.0            0.0            3.2         76.000          0.386          0.408           12.9            2.2            0.4            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000            0.0            2.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     15/06/2001           2001            166        268.308           12.7              0              0            0.0            0.0            0.0            3.2        153.000          0.386          0.408           12.7            2.4            0.4            0.1            0.0            0.0            0.0          1.650          0.000            0.0            0.0         38.883            0.0            2.9          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     16/06/2001           2001            167        285.417           12.6              0              0            0.0            0.0            0.0            3.2         35.000          0.386          0.408           12.6            2.7            0.4            0.1            0.0            0.0            0.0          1.000          0.000            0.0            0.0          3.317            0.0            3.2          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     17/06/2001           2001            168        285.409           12.4              0              0            0.0            0.0            0.0            3.4         76.000          0.386          0.408           12.4            2.9            0.4            0.1            0.0            0.0            0.0          1.000          0.000            0.0            0.0         50.823            0.0            3.4          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     18/06/2001           2001            169        285.462           12.3              0              0            0.0            0.0            0.0            3.6         16.000          0.386          0.408           12.3            3.1            0.5            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0          6.357            0.0            3.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     19/06/2001           2001            170        285.401           12.1              0              0            0.0            0.0            0.0            3.8         25.000          0.386          0.408           12.1            3.3            0.5            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0         15.498            0.0            3.9          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     20/06/2001           2001            171        285.430           12.0              0              0            0.0            0.0            0.0            4.0         69.000          0.386          0.408           12.0            3.5            0.5            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0         59.337            0.0            4.2          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     21/06/2001           2001            172        285.353           11.9              0              0            0.0            0.0            0.0            4.2         29.000          0.386          0.407           11.9            3.7            0.6            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0         19.412            0.0            4.5          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     22/06/2001           2001            173        285.341           11.7              0              0            0.0            0.0            0.0            4.4         26.000          0.386          0.407           11.7            3.9            0.6            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0         16.207            0.0            4.8          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     23/06/2001           2001            174        284.908           11.6              0              0            0.0            0.0            0.0            4.6          0.000          0.386          0.404           11.6            4.2            0.6            0.3            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            5.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     24/06/2001           2001            175        285.308           11.5              0              0            0.0            0.0            0.0            4.9          3.000          0.386          0.407           11.5            4.4            0.7            0.3            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            5.4          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     25/06/2001           2001            176        285.306           11.3              0              0            0.0            0.0            0.0            5.1          0.000          0.386          0.407           11.3            4.7            0.7            0.3            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            5.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     26/06/2001           2001            177        285.324           11.2              0              0            0.0            0.0            0.0            5.4          3.000          0.386          0.407           11.2            4.9            0.8            0.3            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            6.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     27/06/2001           2001            178        285.355           11.0              0              0            0.0            0.0            0.0            5.6         83.000          0.386          0.407           11.0            5.2            0.8            0.4            0.0            0.0            0.0          1.000          0.000            0.0            0.0         38.498            0.0            6.4          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     28/06/2001           2001            179        285.065           10.9              0              0            0.0            0.0            0.0            5.9          0.000          0.386          0.405           10.9            5.5            0.9            0.4            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            6.8          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     29/06/2001           2001            180        285.340           10.8              0              0            0.0            0.0            0.0            6.1          8.000          0.386          0.407           10.8            5.7            0.9            0.4            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            7.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     30/06/2001           2001            181        285.401           10.7              0              0            0.0            0.0            0.0            6.4          7.000          0.386          0.408           10.7            6.0            1.0            0.5            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            7.5          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     01/07/2001           2001            182        285.471           10.5              0              0            0.0            0.0            0.0            6.6         32.000          0.386          0.408           10.5            6.2            1.1            0.5            0.0            0.0            0.0          1.000          0.000            0.0            0.0          7.165            0.0            7.8          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     02/07/2001           2001            183        285.435           10.4              0              0            0.0            0.0            0.0            6.8         29.000          0.386          0.408           10.4            6.5            1.1            0.5            0.0            0.0            0.0          1.000          0.000            0.0            0.0         19.523            0.0            8.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     03/07/2001           2001            184        285.368           10.3              0              0            0.0            0.0            0.0            7.1          3.000          0.386          0.407           10.3            6.7            1.2            0.6            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            8.4          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     04/07/2001           2001            185        284.280           10.2              0              0            0.0            0.0            0.0            7.3          0.000          0.386          0.400           10.2            7.0            1.2            0.6            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            8.8          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     05/07/2001           2001            186        284.355           10.1              0              0            0.0            0.0            0.0            7.5          0.000          0.386          0.401           10.1            7.2            1.3            0.6            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            9.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     06/07/2001           2001            187        284.744           10.0              0              0            0.0            0.0            0.0            7.8          5.000          0.386          0.403           10.0            7.5            1.3            0.7            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            9.5          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     07/07/2001           2001            188        285.339            9.8              0              0            0.0            0.0            0.0            8.1          6.000          0.386          0.407            9.8            7.7            1.4            0.7            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0            9.9          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     08/07/2001           2001            189        284.992            9.7              0              0            0.0            0.0            0.0            8.4          0.000          0.386          0.405            9.7            8.0            1.5            0.7            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           10.3          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     09/07/2001           2001            190        285.339            9.6              0              0            0.0            0.0            0.0            8.6          0.000          0.386          0.407            9.6            8.3            1.5            0.8            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           10.7          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     10/07/2001           2001            191        285.419            9.5              0              0            0.0            0.0            0.0            8.9         43.000          0.386          0.408            9.5            8.6            1.6            0.8            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           11.1          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     11/07/2001           2001            192        285.408            9.4              0              0            0.0            0.0            0.0            9.2         37.000          0.386          0.408            9.4            8.9            1.7            0.9            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           11.5          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     12/07/2001           2001            193        285.326            9.3              0              0            0.0            0.0            0.0            9.4          8.000          0.386          0.407            9.3            9.1            1.8            0.9            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           11.8          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     13/07/2001           2001            194        285.353            9.2              0              0            0.0            0.0            0.0            9.7          6.000          0.386          0.407            9.2            9.4            1.8            1.0            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           12.2          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     14/07/2001           2001            195        285.344            9.1              0              0            0.0            0.0            0.0            9.9         28.000          0.386          0.407            9.1            9.7            1.9            1.0            0.1            0.0            0.0          1.000          0.000            0.0            0.0         10.822            0.0           12.6          0.000          0.000           0.00          0.000           0.000           0.000           0.000
     15/07/2001           2001            196        285.341            9.0              2              1            4.6            0.0            0.0           46.8         10.000          0.386          0.407            9.0           46.5            2.4            1.0            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.448           50.0           50.1          0.117          0.000           0.00          0.500           0.000           0.000           0.000
     16/07/2001           2001            197        285.603            8.9              2              2           10.0            0.0            0.0           56.2          5.000          0.386          0.409            8.9           56.0            2.8            1.1            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           59.9          0.137          0.000           0.00          0.500           0.000           0.000           0.000
     17/07/2001           2001            198        285.627            8.8              2              3           16.4            0.0            0.0           58.7          3.000          0.386          0.409            8.8           58.5            3.0            1.1            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           62.7          0.160          0.000           0.00          0.500           0.000           0.000           0.000
     18/07/2001           2001            199        285.724            8.7              2              4           23.9            0.0            0.0           59.5          1.000          0.386          0.410            8.7           59.3            3.2            1.2            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           63.7          0.187          0.000           0.00          0.500           0.000           0.000           0.000
     19/07/2001           2001            200        285.643            8.6              2              5           32.9            0.0            0.0           59.9          1.000          0.386          0.409            8.6           59.6            3.2            1.2            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           64.2          0.218          0.000           0.00          0.500           0.000           0.000           0.000
     20/07/2001           2001            201        285.879            8.5              2              6           43.2            0.0            0.0           60.2          5.000          0.386          0.411            8.5           59.9            3.3            1.3            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           64.7          0.255          0.000           0.00          0.500           0.000           0.000           0.000
     21/07/2001           2001            202        285.968            8.4              2              7           55.3            0.0            0.0           60.4          2.000          0.386          0.411            8.4           60.2            3.4            1.3            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           65.0          0.298          0.000           0.00          0.500           0.000           0.000           0.000
     22/07/2001           2001            203        286.121            8.3              2              8           69.5            0.0            0.0           60.7          1.000          0.386          0.412            8.3           60.4            3.5            1.4            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           65.4          0.349          0.000           0.00          0.500           0.000           0.000           0.000
     23/07/2001           2001            204        285.631            8.2              2              9           87.6            0.0            0.0           60.9         36.000          0.386          0.409            8.2           60.7            3.6            1.4            0.1            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           65.8          0.407          0.000           0.00          0.500           0.000           0.000           0.000
     24/07/2001           2001            205        286.020            8.1              2             10          108.3            0.0            0.0           61.2         39.000          0.386          0.412            8.1           61.0            3.7            1.5            0.1            0.0            0.0          1.000          0.000            0.0            0.0         12.838            0.0           66.2          0.475          0.000           0.00          0.500           0.000           0.000           0.000
     25/07/2001           2001            206        286.606            8.0              2             11          131.5            0.0            0.0           61.4          4.000          0.386          0.416            8.0           61.2            3.7            1.5            0.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           66.6          0.556          0.000           0.00          0.500           0.000           0.000           0.000
     26/07/2001           2001            207        286.809            7.9              2             12          159.1            0.0            0.0           61.6          4.000          0.386          0.417            7.9           61.4            3.8            1.6            0.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           67.0          0.649          0.000           0.00          0.500           0.000           0.000           0.000
     27/07/2001           2001            208        286.889            7.8              2             13          190.4            0.0            0.0           61.9         21.000          0.386          0.418            7.8           61.7            3.9            1.6            0.2            0.0            0.0          1.000          0.000            0.0            0.0          6.970            0.0           67.4          0.757          0.000           0.00          0.500           0.000           0.000           0.000
     28/07/2001           2001            209        287.098            7.7              2             14          227.2            0.0            0.0           62.1          0.000          0.386          0.419            7.7           61.9            4.0            1.7            0.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           67.7          0.890          0.000           0.00          0.500           0.000           0.000           0.000
     29/07/2001           2001            210        287.284            7.6              2             15          270.0            0.0            0.0           62.3         57.000          0.386          0.420            7.6           62.2            4.1            1.7            0.2            0.0            0.0          1.000          0.000            0.0            0.0         44.373            0.0           68.1          1.036          0.000           0.00          0.500           0.000           0.000           0.000
     30/07/2001           2001            211        287.520            7.5              2             16          320.1            0.0            0.0           67.1         12.000          0.386          0.422            7.5           62.4            4.1            1.8            0.2            0.0            0.0          1.000          0.000            0.0            0.0          6.269            0.0           68.5          0.949          0.000           0.00          0.500           0.000           0.000           0.000
     31/07/2001           2001            212        287.494            7.5              2             17          365.9            0.0            0.0           67.4          8.000          0.386          0.422            7.5           62.6            4.2            1.8            0.2            0.0            0.0          1.000          0.000            0.0            0.0          2.740            0.0           68.9          1.112          0.000           0.00          0.500           0.000           0.000           0.000
     01/08/2001           2001            213        287.599            7.4              2             18          419.6            0.0            0.0           67.7         43.000          0.386          0.422            7.4           62.9            4.3            1.9            0.2            0.0            0.0          1.000          0.000            0.0            0.0         37.687            0.0           69.3          1.039          0.000           0.00          0.500           0.000           0.000           0.000
     02/08/2001           2001            214        287.597            7.3              2             19          470.1            0.0            0.0           68.0          9.000          0.386          0.422            7.3           63.1            4.4            1.9            0.2            0.0            0.0          1.000          0.000            0.0            0.0          3.897            0.0           69.6          1.116          0.000           0.00          0.500           0.000           0.000           0.000
     03/08/2001           2001            215        287.566            7.2              2             20          523.1            0.0            0.0           68.3          4.000          0.386          0.422            7.2           63.3            4.5            2.0            0.2            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0           70.0          1.199          0.000           0.00          0.500           0.000           0.000           0.000
     04/08/2001           2001            216        287.639            7.1              2             21          579.5            0.0            0.0           98.3          0.000          0.386          0.423            7.1           92.9            4.9            2.0            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000           40.0          100.1          1.288          0.000           0.00          0.500           0.000           0.000           0.000
     05/08/2001           2001            217        287.785            7.0              2             22          641.4            0.0            0.0          106.0         11.000          0.386          0.424            7.0          100.3            5.2            2.1            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          107.9          1.387          0.000           0.00          0.500           0.000           0.000           0.000
     06/08/2001           2001            218        287.825            7.0              2             23          706.0            0.0            0.0          108.2         15.000          0.386          0.424            7.0          102.3            5.4            2.1            0.3            0.0            0.0          1.000          0.000            0.0            0.0          9.973            0.0          110.1          1.488          0.000           0.00          0.500           0.000           0.000           0.000
     07/08/2001           2001            219        287.490            6.9              2             24          777.7            0.0            0.0          108.9          0.000          0.386          0.422            6.9          102.9            5.6            2.2            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          110.9          1.602          0.000           0.00          0.500           0.000           0.000           0.000
     08/08/2001           2001            220        287.971            6.8              3             25          111.5            0.0            0.0          109.2          4.000          0.386          0.425            6.8          103.1            5.7            2.2            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          111.3          0.080          0.000           0.00          0.500           0.000           0.000           0.000
     09/08/2001           2001            221        287.287            6.6              4             26          115.7            0.0            0.0          103.4          7.000          0.386          0.420            6.6           98.3            5.8            2.3            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          106.7          0.080          0.000           0.00          1.533           0.000           0.000           0.000
     10/08/2001           2001            222        286.762            6.5              4             27          123.1            0.0            0.0           98.5          2.000          0.386          0.417            6.5           98.1            5.9            2.3            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          106.6          0.080          0.000           0.00          1.568           0.000           0.000           0.000
     11/08/2001           2001            223        287.157            6.5              4             28          130.0            0.0            0.0           98.2          3.000          0.386          0.419            6.5           98.0            6.0            2.4            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          106.7          0.080          0.000           0.00          1.558           0.000           0.000           0.000
     12/08/2001           2001            224        287.514            6.4              4             29          135.8            0.0            0.0           98.1          0.000          0.386          0.422            6.4           97.9            6.1            2.4            0.3            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          106.8          0.080          0.000           0.00          1.543           0.000           0.000           0.000
     13/08/2001           2001            225        287.420            6.3              4             30          141.6            0.0            0.0           98.1          0.000          0.386          0.421            6.3           97.9            6.2            2.5            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          106.9          0.080          0.000           0.00          1.540           0.000           0.000           0.000
     14/08/2001           2001            226        287.697            6.2              4             31          147.2            0.0            0.0           98.0          2.000          0.386          0.423            6.2           97.8            6.3            2.6            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          107.0          0.080          0.000           0.00          1.536           0.000           0.000           0.000
     15/08/2001           2001            227        287.752            6.2              4             32          153.1            0.0            0.0           98.0         31.000          0.386          0.423            6.2           97.7            6.4            2.6            0.4            0.0            0.0          1.000          0.000            0.0            0.0          2.124            0.0          107.1          0.094          0.000           0.00          1.536           0.000           0.000           0.000
     16/08/2001           2001            228        287.678            6.1              4             33          159.7            0.0            0.0           97.9          4.000          0.386          0.423            6.1           97.6            6.5            2.7            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          107.1          0.109          0.000           0.00          1.541           0.000           0.000           0.000
     17/08/2001           2001            229        287.651            6.0              4             34          167.8            0.0            0.0           97.7          6.000          0.386          0.423            6.0           97.3            6.6            2.7            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.726            0.0          107.0          0.128          0.000           0.00          1.551           0.000           0.000           0.000
     18/08/2001           2001            230        287.068            5.7              4             35          178.8            0.0            0.0           97.5          3.000          0.386          0.419            5.7           97.2            6.6            2.8            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          107.0          0.150          0.000           0.00          1.554           0.000           0.000           0.000
     19/08/2001           2001            231        287.521            5.7              4             36          189.9            0.0            0.0          104.0          0.000          0.386          0.422            5.7           96.9            6.7            2.8            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          106.9          0.176          0.000           0.00          1.534           0.000           0.000           0.000
     20/08/2001           2001            232        287.296            5.6              4             37          204.1            0.0            0.0          103.9          0.000          0.386          0.421            5.6           96.5            6.8            2.9            0.4            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          106.6          0.206          0.000           0.00          1.532           0.000           0.000           0.000
     21/08/2001           2001            233        287.003            5.5              4             38          222.0            0.0            0.0          103.5          0.000          0.386          0.419            5.5           96.0            6.8            2.9            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          106.2          0.241          0.000           0.00          1.530           0.000           0.000           0.000
     22/08/2001           2001            234        286.781            5.5              4             39          244.0            0.0            0.0          103.0          1.000          0.386          0.418            5.5           95.3            6.8            3.0            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          105.6          0.282          0.000           0.00          1.525           0.000           0.000           0.000
     23/08/2001           2001            235        286.645            5.4              4             40          269.3            0.0            0.0          102.4          4.000          0.386          0.417            5.4           94.5            6.9            3.1            0.5            0.0            0.0          1.000          0.000            0.0            0.0          0.000            0.0          104.9          0.329          0.000           0.00          1.514           0.000           0.000           0.000
