ApsimVersion = 7.5
Title = Silt cowpea residue field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     12/01/2001           2001             12          0.000        101.404          0.225          0.000          0.000           15.0            0.2            0.0            0.0           -0.0           -0.0           -0.0         1594.0           0.273
     13/01/2001           2001             13          0.000        101.183          0.221          0.000          0.000           15.3            0.2            0.0            0.0           -0.0           -0.0           -0.0         1594.0           0.273
     14/01/2001           2001             14          0.000        100.965          0.218          0.000          0.000           15.6            0.2            0.1            0.0           -0.0           -0.0           -0.0         1594.0           0.273
     15/01/2001           2001             15          0.000        100.750          0.215          0.000          0.000           15.8            0.2            0.1            0.0           -0.0           -0.0           -0.0         1594.0           0.273
     16/01/2001           2001             16          0.000        100.539          0.212          0.000          0.000           16.1            0.2            0.1            0.0            0.0           -0.0           -0.0         1594.0           0.273
     17/01/2001           2001             17          0.000        100.330          0.209          0.000          0.000           16.5            0.2            0.1            0.0            0.0           -0.0           -0.0         1594.0           0.273
     18/01/2001           2001             18          0.000        100.125          0.206          0.000          0.000           16.8            0.2            0.1            0.0            0.0           -0.0           -0.0         1594.0           0.273
     19/01/2001           2001             19          0.000         99.922          0.203          0.000          0.000           17.1            0.2            0.1            0.0            0.0           -0.0           -0.0         1594.0           0.273
     20/01/2001           2001             20          0.000         99.721          0.200          0.000          0.000           17.5            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     21/01/2001           2001             21          0.000         99.523          0.198          0.000          0.000           17.9            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     22/01/2001           2001             22          0.000         99.328          0.195          0.000          0.000           18.2            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     23/01/2001           2001             23          0.000         99.135          0.193          0.000          0.000           18.6            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     24/01/2001           2001             24          0.000         98.944          0.191          0.000          0.000           19.0            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     25/01/2001           2001             25          0.000         98.756          0.189          0.000          0.000           19.4            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     26/01/2001           2001             26          0.000         98.569          0.186          0.000          0.000           19.8            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     27/01/2001           2001             27          0.000         98.385          0.184          0.000          0.000           20.1            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     28/01/2001           2001             28          0.000         98.202          0.182          0.000          0.000           20.4            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     29/01/2001           2001             29          0.000         98.022          0.181          0.000          0.000           20.7            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     30/01/2001           2001             30          0.000         97.843          0.179          0.000          0.000           21.1            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     31/01/2001           2001             31          0.000         97.666          0.177          0.000          0.000           21.4            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
     01/02/2001           2001             32          0.000         97.491          0.175          0.000          0.000           21.8            0.2            0.1            0.1            0.0           -0.0           -0.0         1594.0           0.273
