ApsimVersion = 7.5
Title = Silt wheat residues incorp
           Date     biom_n_Tot      fom_n_Tot        NO3_Tot
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     01/06/2001          179.0           14.1           61.2
     02/06/2001          181.7           13.4           61.0
     03/06/2001          184.1           12.7           60.1
     04/06/2001          186.1           12.0           59.5
     05/06/2001          187.7           11.4           59.1
     06/06/2001          189.5           10.9           58.0
     07/06/2001          191.1           10.5           56.9
     08/06/2001          192.6           10.1           55.9
     09/06/2001          194.0            9.8           55.0
     10/06/2001          195.2            9.4           54.1
     11/06/2001          196.1            9.1           53.7
     12/06/2001          196.7            8.7           53.6
     13/06/2001          197.1            8.4           53.7
     14/06/2001          198.0            8.1           53.1
     15/06/2001          198.3           12.8           53.0
     16/06/2001          198.6           12.4           52.9
     17/06/2001          198.8           12.1           52.9
     18/06/2001          199.1           11.8           52.8
     19/06/2001          199.3           11.5           52.8
     20/06/2001          199.4           11.3           52.8
     21/06/2001          199.6           11.0           52.8
     22/06/2001          199.7           10.7           52.7
     23/06/2001          199.8           10.4           52.8
     24/06/2001          199.9           10.1           52.9
     25/06/2001          200.0            9.7           53.1
     26/06/2001          200.1            9.4           53.4
     27/06/2001          200.2            9.1           53.6
     28/06/2001          200.2            8.8           53.9
     29/06/2001          200.3            8.5           54.2
     30/06/2001          200.2            8.2           54.5
     01/07/2001          200.2            7.9           54.8
     02/07/2001          200.2            7.7           55.1
     03/07/2001          200.1            7.5           55.4
     04/07/2001          200.1            7.2           55.8
     05/07/2001          200.0            7.0           56.2
     06/07/2001          199.8            6.7           56.7
     07/07/2001          199.7            6.5           57.3
     08/07/2001          199.5            6.2           57.9
     09/07/2001          199.3            6.0           58.5
     10/07/2001          199.0            5.8           59.1
     11/07/2001          198.8            5.6           59.7
     12/07/2001          198.5            5.5           60.2
     13/07/2001          198.2            5.3           60.8
     14/07/2001          197.9            5.1           61.3
     15/07/2001          197.6            5.0           61.9
     16/07/2001          197.2            4.8           62.5
     17/07/2001          196.8            4.7           63.2
     18/07/2001          196.5            4.5           64.0
     19/07/2001          196.0            4.4           64.7
     20/07/2001          195.6            4.2           65.5
     21/07/2001          195.2            4.1           66.3
     22/07/2001          194.7            4.0           67.1
     23/07/2001          194.3            3.8           67.9
     24/07/2001          193.8            3.7           68.7
     25/07/2001          193.3            3.6           69.4
     26/07/2001          192.9            3.5           70.2
     27/07/2001          192.4            3.4           70.9
     28/07/2001          191.9            3.3           71.6
     29/07/2001          191.5            3.2           72.3
     30/07/2001          191.0            3.1           73.0
     31/07/2001          190.5            3.1           73.7
     01/08/2001          190.0            3.0           74.4
     02/08/2001          189.5            2.9           75.0
     03/08/2001          189.0            2.8           75.7
     04/08/2001          188.5            2.8           76.4
     05/08/2001          188.0            2.7           77.2
     06/08/2001          187.5            2.6           77.9
     07/08/2001          186.9            2.5           78.8
     08/08/2001          186.3            2.5           79.6
