ApsimVersion = 7.4
Title = Wheat-450ppm+2degC
           Date           year            day    wheat_yield     wheat_biom            esw          no3() RainSinceSowing         Transp       SoilEvap
   (dd/mm/yyyy)         (year)          (day)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)            (mm)           (mm)           (mm)
     12/03/1960           1960             72         2017.7         5579.0        116.244           29.5          33.000        132.426         63.209
     15/03/1961           1961             74         3182.0         7751.7        129.109           26.5         106.000        161.203         85.240
     19/03/1962           1962             78         2281.7         6424.5        103.768           25.1          39.000        136.749         74.353
     14/03/1963           1963             73         1924.2         5515.6        122.624           28.9          34.000        134.962         53.399
     16/03/1964           1964             76         2391.7         6654.3        104.889           25.8           8.000        126.383         55.871
     14/03/1965           1965             73         2807.3         6568.9         98.588           24.6          35.000        142.112         70.303
     12/03/1966           1966             71         2290.5         5873.1        104.361           27.2          32.000        126.608         62.060
     14/03/1967           1967             73         2218.0         5993.9        104.223           26.8          76.000        131.128         72.913
     17/03/1968           1968             77         2444.1         6619.2        103.548           25.5           5.000        121.066         54.852
     18/03/1969           1969             77         2399.7         6543.9        109.688           25.4          30.000        126.580         63.023
     16/03/1970           1970             75         3234.3         7403.2        133.979           24.7          88.000        138.766         82.536
     18/03/1971           1971             77         2497.2         6667.0        108.432           23.7          16.000        129.916         60.105
     18/03/1972           1972             78         2739.0         7029.5        103.723           25.2          11.000        124.501         57.659
     16/03/1973           1973             75         2593.9         6750.7        141.403           25.4          85.000        134.319         80.250
     16/03/1974           1974             75         2344.3         6368.5        103.552           26.0          97.000        123.735         53.621
     16/03/1975           1975             75         2383.7         6438.1        103.799           25.3          12.000        125.242         60.541
     15/03/1976           1976             75         2793.9         6984.8        118.857           24.4          48.000        137.821         62.994
     16/03/1977           1977             75         2644.1         6679.6        106.314           25.0          26.000        131.747         60.237
     16/03/1978           1978             75         2346.8         6362.0        103.605           26.1          40.000        123.667         52.831
     16/03/1979           1979             75         3275.2         7501.9        124.263           23.5          87.000        150.121         72.189
     14/03/1980           1980             74         3419.9         7781.0        144.833           26.1         127.000        142.629         95.549
     16/03/1981           1981             75         3442.2         7670.2        146.832           24.3         130.000        149.522         79.561
     17/03/1982           1982             76         2535.6         6383.8        125.060           30.0         195.000        129.535         77.482
     21/03/1983           1983             80         3388.0         7765.7        183.101           23.0         210.000        158.365         89.712
     21/03/1984           1984             81         2846.9         7350.8        105.143           24.9          66.000        129.949         61.478
     17/03/1985           1985             76         2351.9         6528.8        104.509           26.4          50.000        124.201         60.468
     17/03/1986           1986             76         2442.2         6369.1        101.286           26.7           9.000        125.346         51.266
     15/03/1987           1987             74         2343.5         6337.0        135.300           27.4          54.000        119.345         65.816
     12/03/1988           1988             72         2841.1         6574.0        139.425           24.8          80.000        131.024         77.006
     19/03/1989           1989             78         2806.4         6957.6         98.975           26.2           2.000        127.137         52.512
     18/03/1990           1990             77         3285.8         7333.2        122.372           23.9          78.000        130.790         87.356
     16/03/1991           1991             75         2324.4         6283.1        114.912           28.0          75.000        127.619         84.641
     20/03/1992           1992             80         3543.2         8422.7        125.875           24.0         180.000        148.924         95.507
     20/03/1993           1993             79         3025.3         7212.4        102.590           24.5          33.020        130.649         64.127
     16/03/1994           1994             75         3321.1         7841.1        114.218           23.0          41.000        136.641         63.301
     20/03/1995           1995             79         2646.4         6916.1         96.898           24.8          42.000        139.545         77.725
     15/03/1996           1996             75         2688.2         6967.9        105.608           26.0          62.000        128.517         67.561
     19/03/1997           1997             78         3047.6         7944.9        107.332           23.3          54.000        145.833         78.788
     21/03/1998           1998             80         2726.0         7096.1        111.770           24.8         106.000        126.706         94.974
     15/03/1999           1999             74         2185.3         6194.5        104.741           27.6           0.000        125.264         50.055
     18/03/2000           2000             78         3115.3         7774.6        109.039           23.0          22.000        122.235         67.631
     17/03/2001           2001             76         2445.9         6765.3        103.333           26.4          21.000        131.759         61.674
     14/03/2002           2002             73         2467.1         6768.4        110.253           24.2          22.000        126.276         66.850
     22/03/2003           2003             81         2619.2         7226.5        155.872           27.3          89.060        108.480         74.616
     17/03/2004           2004             77         2524.6         6860.8        105.998           25.2          35.000        112.640         72.350
     19/03/2005           2005             78         2717.0         7075.7        105.781           24.5          53.000        117.748         72.300
     14/03/2006           2006             73         2542.8         6635.9        106.780           26.9           0.000        114.229         50.025
     18/03/2007           2007             77         3636.2         8226.9        144.256           22.5          86.020        127.102         81.701
     17/03/2008           2008             77         3010.0         7913.8        114.833           23.6           1.000        113.710         50.724
     14/03/2009           2009             73         3457.3         7730.1        131.532           25.1          86.000        141.039         81.661
