ApsimVersion = 7.8
Title = Wheat-350ppm
           Date           year            day    wheat_yield     wheat_biom            esw          no3() RainSinceSowing         Transp       SoilEvap
   (dd/mm/yyyy)         (year)          (day)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)            (mm)           (mm)           (mm)
     16/03/1960           1960             76         2006.1         5253.3        105.306           28.3          33.000        140.148         65.963
     18/03/1961           1961             77         2908.5         6905.3        113.557           25.5         106.000        171.259         88.736
     23/03/1962           1962             82         2135.4         5911.9         94.295           23.8          39.000        145.226         75.363
     19/03/1963           1963             78         1819.2         5163.9        113.227           30.9          34.000        139.884         58.763
     19/03/1964           1964             79         2087.2         5739.7         98.558           25.8           8.000        132.416         56.592
     18/03/1965           1965             77         2572.1         5822.7         93.521           24.1          35.000        148.363         71.335
     16/03/1966           1966             75         1952.5         5163.3         98.427           27.3          32.000        133.102         63.143
     18/03/1967           1967             77         1957.4         5380.3         97.729           26.7          76.000        137.316         73.951
     21/03/1968           1968             81         2087.4         5864.0        104.595           26.2          23.000        128.744         59.520
     21/03/1969           1969             80         2043.6         5744.0        101.544           25.6          34.000        133.618         69.381
     19/03/1970           1970             78         3358.8         6949.3        114.281           24.6          88.000        158.011         84.797
     22/03/1971           1971             81         2428.4         6197.1         99.777           23.4          16.000        138.409         61.277
     22/03/1972           1972             82         2579.7         6251.3         94.484           25.2          11.000        134.814         58.621
     20/03/1973           1973             79         2356.6         5944.4        126.971           25.2          85.000        146.362         84.052
     20/03/1974           1974             79         1963.8         5524.8         97.078           26.1          97.000        131.261         54.409
     20/03/1975           1975             79         2003.6         5592.1         97.246           25.2          12.000        132.988         61.376
     19/03/1976           1976             79         2388.3         6106.3        106.120           25.5          48.000        146.856         68.877
     20/03/1977           1977             79         2303.9         5903.3         94.900           24.0          26.000        142.605         61.581
     20/03/1978           1978             79         1968.0         5524.2         97.143           26.2          40.000        131.289         53.667
     20/03/1979           1979             79         3161.4         6914.0        107.777           22.5          87.000        169.388         72.619
     18/03/1980           1980             78         3429.0         7347.0        121.036           25.8         127.000        170.022         97.202
     20/03/1981           1981             79         3576.0         7425.1        116.257           24.1         130.000        180.998         81.316
     21/03/1982           1982             80         2194.2         5632.6        116.083           30.7         199.000        136.932         83.391
     25/03/1983           1983             84         3584.8         7694.6        153.507           25.2         210.000        190.275         96.189
     24/03/1984           1984             84         2424.3         6476.6         96.650           24.3          66.000        141.071         62.219
     21/03/1985           1985             80         2078.0         5743.4         96.927           26.4          50.000        133.142         61.439
     20/03/1986           1986             79         2051.8         5507.9         95.531           26.6           9.000        132.216         52.045
     19/03/1987           1987             78         2023.7         5611.2        123.281           28.2          54.000        127.650         72.520
     16/03/1988           1988             76         2720.6         5944.9        155.204           24.5         124.000        142.509         85.051
     22/03/1989           1989             81         2299.1         5898.4         94.897           26.4           2.000        131.653         53.178
     22/03/1990           1990             81         3241.8         7027.7         97.458           24.3          78.000        156.403         88.294
     20/03/1991           1991             79         2085.0         5644.1        103.316           28.5          75.000        136.855         89.196
     24/03/1992           1992             84         3798.6         8037.8        102.268           22.7         180.000        175.473         96.631
     24/03/1993           1993             83         2750.7         6477.7        102.401           23.3          48.020        143.957         66.697
     19/03/1994           1994             78         3303.0         7108.1         99.522           22.3          41.000        153.805         64.292
     24/03/1995           1995             83         2194.4         6022.2         93.548           24.2          42.000        145.161         79.093
     19/03/1996           1996             79         2433.6         6198.7         97.720           25.3          62.000        139.116         68.706
     22/03/1997           1997             81         2665.1         7163.3         97.727           22.2          54.000        158.696         79.573
     25/03/1998           1998             84         2473.1         6503.4        155.651           23.5         217.000        141.179         99.036
     17/03/1999           1999             76         1888.1         5526.9         99.397           27.2           0.000        132.792         50.399
     22/03/2000           2000             82         2776.8         6885.9         98.910           22.9          27.000        135.968         71.771
     21/03/2001           2001             80         2091.1         5978.1         94.261           24.4          21.000        141.181         62.927
     18/03/2002           2002             77         2224.5         6106.7        101.688           23.7          22.000        137.609         67.409
     26/03/2003           2003             85         2359.6         6342.4        146.492           27.5          89.060        121.008         77.613
     21/03/2004           2004             81         2057.3         6076.3         99.215           24.8          35.000        122.643         72.918
     22/03/2005           2005             81         2314.8         6325.3         98.837           24.0          53.000        129.047         73.249
     17/03/2006           2006             76         2284.4         5871.9         99.702           26.6           1.000        124.104         50.547
     22/03/2007           2007             81         3846.8         8143.9        114.219           24.5          86.020        160.861         82.345
     21/03/2008           2008             81         2735.5         7129.8        102.204           23.5           1.000        129.474         52.378
     17/03/2009           2009             76         3570.6         7418.5        108.796           23.9          86.000        168.374         81.749
