ApsimVersion = 7.9
Title = Rice-Rice
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield        N_avail           rain         dul(1)          sw(1)          no3()         NH4(1)         NH4(2)         NH4(3)         NH4(4)         NH4(5)         NH4(6)          drain     irrigation
   (dd/mm/yyyy)         (year)          (day)           (mm)        (kg/ha)             ()            (d)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (mm/mm)        (mm/mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)
     01/01/2001           2001              1         20.710            9.7              0              0            0.0            0.0            0.0            7.5          0.000          0.386          0.249            9.7            2.5            0.9            0.1            0.1            0.1            0.1          0.000          0.000
     02/01/2001           2001              2         20.571           10.3              0              0            0.0            0.0            0.0            7.6          0.000          0.386          0.248           10.3            2.2            0.7            0.1            0.1            0.1            0.1          0.000          0.000
     03/01/2001           2001              3         20.432           10.8              0              0            0.0            0.0            0.0            7.6          0.000          0.386          0.247           10.8            1.9            0.6            0.1            0.1            0.1            0.1          0.000          0.000
     04/01/2001           2001              4         20.295           11.2              0              0            0.0            0.0            0.0            7.6          0.000          0.386          0.246           11.2            1.7            0.5            0.1            0.1            0.1            0.1          0.000          0.000
     05/01/2001           2001              5         20.158           11.6              0              0            0.0            0.0            0.0            7.7          0.000          0.386          0.245           11.6            1.5            0.4            0.1            0.0            0.0            0.1          0.000          0.000
     06/01/2001           2001              6         20.022           11.8              0              0            0.0            0.0            0.0            7.7          0.000          0.386          0.245           11.8            1.3            0.3            0.1            0.0            0.0            0.0          0.000          0.000
     07/01/2001           2001              7         19.887           12.1              0              0            0.0            0.0            0.0            7.7          0.000          0.386          0.244           12.1            1.2            0.3            0.0            0.0            0.0            0.0          0.000          0.000
     08/01/2001           2001              8         19.753           12.2              0              0            0.0            0.0            0.0            7.7          0.000          0.386          0.243           12.2            1.1            0.2            0.0            0.0            0.0            0.0          0.000          0.000
     09/01/2001           2001              9         19.619           12.4              0              0            0.0            0.0            0.0            7.7          0.000          0.386          0.242           12.4            1.1            0.2            0.0            0.0            0.0            0.0          0.000          0.000
     10/01/2001           2001             10         19.487           12.5              0              0            0.0            0.0            0.0            7.8          0.000          0.386          0.241           12.5            1.0            0.1            0.0            0.0            0.0            0.0          0.000          0.000
