ApsimVersion = 7.4
Title = Direct_seeded_rice_single
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield           rain         dul(1)          sw(1)         sat(1)
   (dd/mm/yyyy)         (year)          (day)           (mm)        (kg/ha)             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)
     01/01/2001           2001              1        204.692           11.0              0              0            0.0            0.0            0.0          0.000          0.386          0.360          0.436
     02/01/2001           2001              2        202.608           11.9              0              0            0.0            0.0            0.0          0.000          0.386          0.347          0.436
     03/01/2001           2001              3        201.585           12.7              0              0            0.0            0.0            0.0          0.000          0.386          0.340          0.436
     04/01/2001           2001              4        200.796           13.4              0              0            0.0            0.0            0.0          0.000          0.386          0.336          0.436
     05/01/2001           2001              5        200.129           13.9              0              0            0.0            0.0            0.0          0.000          0.386          0.332          0.436
     06/01/2001           2001              6        199.541           14.4              0              0            0.0            0.0            0.0          0.000          0.386          0.329          0.436
     07/01/2001           2001              7        199.009           14.7              0              0            0.0            0.0            0.0          0.000          0.386          0.326          0.436
     08/01/2001           2001              8        198.520           15.0              0              0            0.0            0.0            0.0          0.000          0.386          0.323          0.436
     09/01/2001           2001              9        198.064           15.3              0              0            0.0            0.0            0.0          0.000          0.386          0.321          0.436
     10/01/2001           2001             10        197.636           15.6              0              0            0.0            0.0            0.0          0.000          0.386          0.318          0.436
     11/01/2001           2001             11        197.231           15.9              0              0            0.0            0.0            0.0          0.000          0.386          0.316          0.436
     12/01/2001           2001             12        196.846           16.2              0              0            0.0            0.0            0.0          0.000          0.386          0.315          0.436
     13/01/2001           2001             13        196.478           16.5              0              0            0.0            0.0            0.0          0.000          0.386          0.313          0.436
     14/01/2001           2001             14        196.125           16.8              0              0            0.0            0.0            0.0          0.000          0.386          0.311          0.436
     15/01/2001           2001             15        195.785           17.1              0              0            0.0            0.0            0.0          0.000          0.386          0.309          0.436
     16/01/2001           2001             16        195.457           17.5              0              0            0.0            0.0            0.0          0.000          0.386          0.308          0.436
     17/01/2001           2001             17        195.140           17.9              0              0            0.0            0.0            0.0          0.000          0.386          0.307          0.436
     18/01/2001           2001             18        194.832           18.3              0              0            0.0            0.0            0.0          0.000          0.386          0.305          0.436
     19/01/2001           2001             19        194.534           18.7              0              0            0.0            0.0            0.0          0.000          0.386          0.304          0.436
     20/01/2001           2001             20        194.243           19.2              0              0            0.0            0.0            0.0          0.000          0.386          0.303          0.436
     21/01/2001           2001             21        193.960           19.6              0              0            0.0            0.0            0.0          0.000          0.386          0.301          0.436
     22/01/2001           2001             22        193.684           20.1              0              0            0.0            0.0            0.0          0.000          0.386          0.300          0.436
     23/01/2001           2001             23        193.415           20.6              0              0            0.0            0.0            0.0          0.000          0.386          0.299          0.436
     24/01/2001           2001             24        193.152           21.1              0              0            0.0            0.0            0.0          0.000          0.386          0.298          0.436
     25/01/2001           2001             25        192.894           21.6              0              0            0.0            0.0            0.0          0.000          0.386          0.297          0.436
     26/01/2001           2001             26        192.642           22.0              0              0            0.0            0.0            0.0          0.000          0.386          0.296          0.436
     27/01/2001           2001             27        192.394           22.5              0              0            0.0            0.0            0.0          0.000          0.386          0.295          0.436
     28/01/2001           2001             28        192.152           22.9              0              0            0.0            0.0            0.0          0.000          0.386          0.294          0.436
     29/01/2001           2001             29        191.913           23.3              0              0            0.0            0.0            0.0          0.000          0.386          0.293          0.436
     30/01/2001           2001             30        191.679           23.7              0              0            0.0            0.0            0.0          0.000          0.386          0.292          0.436
     31/01/2001           2001             31        191.449           24.1              0              0            0.0            0.0            0.0          0.000          0.386          0.291          0.436
     01/02/2001           2001             32        191.223           24.6              0              0            0.0            0.0            0.0          0.000          0.386          0.290          0.436
     02/02/2001           2001             33        191.000           25.1              0              0            0.0            0.0            0.0          0.000          0.386          0.289          0.436
     03/02/2001           2001             34        190.781           25.6              0              0            0.0            0.0            0.0          0.000          0.386          0.289          0.436
     04/02/2001           2001             35        190.565           26.1              0              0            0.0            0.0            0.0          0.000          0.386          0.288          0.436
     05/02/2001           2001             36        190.353           26.7              0              0            0.0            0.0            0.0          0.000          0.386          0.287          0.436
     06/02/2001           2001             37        190.143           27.3              0              0            0.0            0.0            0.0          0.000          0.386          0.286          0.436
     07/02/2001           2001             38        189.936           27.8              0              0            0.0            0.0            0.0          0.000          0.386          0.286          0.436
     08/02/2001           2001             39        189.732           28.3              0              0            0.0            0.0            0.0          0.000          0.386          0.285          0.436
     09/02/2001           2001             40        189.531           28.8              0              0            0.0            0.0            0.0          0.000          0.386          0.284          0.436
     10/02/2001           2001             41        189.332           29.3              0              0            0.0            0.0            0.0          0.000          0.386          0.283          0.436
     11/02/2001           2001             42        189.136           29.8              0              0            0.0            0.0            0.0          0.000          0.386          0.283          0.436
     12/02/2001           2001             43        188.942           30.3              0              0            0.0            0.0            0.0          0.000          0.386          0.282          0.436
     13/02/2001           2001             44        188.750           30.8              0              0            0.0            0.0            0.0          0.000          0.386          0.281          0.436
     14/02/2001           2001             45        188.561           31.3              0              0            0.0            0.0            0.0          0.000          0.386          0.281          0.436
     15/02/2001           2001             46        188.373           31.9              0              0            0.0            0.0            0.0          0.000          0.386          0.280          0.436
     16/02/2001           2001             47        188.188           32.5              0              0            0.0            0.0            0.0          0.000          0.386          0.279          0.436
     17/02/2001           2001             48        188.005           33.1              0              0            0.0            0.0            0.0          0.000          0.386          0.279          0.436
     18/02/2001           2001             49        187.823           33.7              0              0            0.0            0.0            0.0          0.000          0.386          0.278          0.436
     19/02/2001           2001             50        187.644           34.3              0              0            0.0            0.0            0.0          0.000          0.386          0.278          0.436
     20/02/2001           2001             51        187.466           34.9              0              0            0.0            0.0            0.0          0.000          0.386          0.277          0.436
     21/02/2001           2001             52        187.291           35.5              0              0            0.0            0.0            0.0          0.000          0.386          0.276          0.436
     22/02/2001           2001             53        189.529           36.1              0              0            0.0            0.0            0.0          6.000          0.386          0.292          0.436
     23/02/2001           2001             54        189.330           36.7              0              0            0.0            0.0            0.0          0.000          0.386          0.291          0.436
     24/02/2001           2001             55        189.134           37.3              0              0            0.0            0.0            0.0          0.000          0.386          0.290          0.436
     25/02/2001           2001             56        188.940           37.9              0              0            0.0            0.0            0.0          0.000          0.386          0.290          0.436
     26/02/2001           2001             57        188.749           38.6              0              0            0.0            0.0            0.0          0.000          0.386          0.289          0.436
     27/02/2001           2001             58        189.053           39.2              0              0            0.0            0.0            0.0          4.000          0.386          0.291          0.436
     28/02/2001           2001             59        188.860           39.9              0              0            0.0            0.0            0.0          0.000          0.386          0.291          0.436
     01/03/2001           2001             60        188.669           40.5              0              0            0.0            0.0            0.0          0.000          0.386          0.290          0.436
     02/03/2001           2001             61        188.481           41.2              0              0            0.0            0.0            0.0          0.000          0.386          0.289          0.436
     03/03/2001           2001             62        188.295           41.9              0              0            0.0            0.0            0.0          0.000          0.386          0.288          0.436
     04/03/2001           2001             63        188.110           42.6              0              0            0.0            0.0            0.0          0.000          0.386          0.288          0.436
     05/03/2001           2001             64        187.928           43.3              0              0            0.0            0.0            0.0          0.000          0.386          0.287          0.436
     06/03/2001           2001             65        187.747           44.0              0              0            0.0            0.0            0.0          0.000          0.386          0.286          0.436
     07/03/2001           2001             66        187.569           44.6              0              0            0.0            0.0            0.0          0.000          0.386          0.286          0.436
     08/03/2001           2001             67        187.392           45.3              0              0            0.0            0.0            0.0          0.000          0.386          0.285          0.436
     09/03/2001           2001             68        187.217           45.9              0              0            0.0            0.0            0.0          0.000          0.386          0.284          0.436
     10/03/2001           2001             69        187.043           46.6              0              0            0.0            0.0            0.0          0.000          0.386          0.284          0.436
     11/03/2001           2001             70        186.871           47.2              0              0            0.0            0.0            0.0          0.000          0.386          0.283          0.436
     12/03/2001           2001             71        186.701           47.9              0              0            0.0            0.0            0.0          0.000          0.386          0.283          0.436
     13/03/2001           2001             72        186.533           48.7              0              0            0.0            0.0            0.0          0.000          0.386          0.282          0.436
     14/03/2001           2001             73        186.366           49.4              0              0            0.0            0.0            0.0          0.000          0.386          0.281          0.436
     15/03/2001           2001             74        186.200           50.1              0              0            0.0            0.0            0.0          0.000          0.386          0.281          0.436
     16/03/2001           2001             75        186.036           50.9              0              0            0.0            0.0            0.0          0.000          0.386          0.280          0.436
