ApsimVersion = 7.7
Title = Rice-wheat1
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield        N_avail           rain         dul(1)          sw(1)          no3()         NH4(1)         NH4(2)         NH4(3)         NH4(4)         NH4(5)         NH4(6)          drain     irrigation     wheat_biom    wheat_yield         runoff
   (dd/mm/yyyy)         (year)          (day)           (mm)        (kg/ha)             ()            (d)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (mm/mm)        (mm/mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)        (kg/ha)        (kg/ha)           (mm)
     01/06/2001           2001            152         23.618           10.2              0              0            0.0            0.0            0.0            7.6          7.000          0.386          0.268           10.2            2.1            0.9            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000
     02/06/2001           2001            153         33.154           11.3              0              0            0.0            0.0            0.0            7.9         14.000          0.386          0.332           11.3            1.5            0.7            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000
     03/06/2001           2001            154         36.772           12.2              0              0            0.0            0.0            0.0            8.2          8.000          0.386          0.355           12.2            1.2            0.6            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000
     04/06/2001           2001            155         36.096           12.9              0              0            0.0            0.0            0.0            8.5          0.000          0.386          0.350           12.9            1.0            0.4            0.1            0.1            0.1            0.1          0.000          0.000            0.0            0.0          0.000
     05/06/2001           2001            156         35.480           13.5              0              0            0.0            0.0            0.0            8.9          1.000          0.386          0.346           13.5            0.9            0.4            0.1            0.0            0.0            0.1          0.000          0.000            0.0            0.0          0.000
     06/06/2001           2001            157         68.740           13.4              0              0            0.0            0.0            0.0            6.9         77.000          0.386          0.407           13.4            1.1            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000
     07/06/2001           2001            158         92.768           13.3              0              0            0.0            0.0            0.0            5.4         63.000          0.386          0.408           13.3            1.3            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000
     08/06/2001           2001            159        116.808           13.1              0              0            0.0            0.0            0.0            4.5         27.000          0.386          0.408           13.1            1.5            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000
     09/06/2001           2001            160        140.778           13.0              0              0            0.0            0.0            0.0            3.9         20.000          0.386          0.408           13.0            1.7            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000
     10/06/2001           2001            161        164.696           12.8              0              0            0.0            0.0            0.0            3.5         66.000          0.386          0.407           12.8            1.9            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000
     11/06/2001           2001            162        188.429           12.7              0              0            0.0            0.0            0.0            3.2          0.000          0.386          0.405           12.7            2.1            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000
     12/06/2001           2001            163        212.582           12.5              0              0            0.0            0.0            0.0            3.2          0.000          0.386          0.406           12.5            2.3            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000
     13/06/2001           2001            164        221.875           13.1              0              0            0.0            0.0            0.0            3.4          0.000          0.386          0.408           13.1            2.0            0.3            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000
     14/06/2001           2001            165        245.994           12.9              0              0            0.0            0.0            0.0            3.2         76.000          0.386          0.408           12.9            2.2            0.4            0.1            0.0            0.0            0.0          0.000          0.000            0.0            0.0          0.000
     15/06/2001           2001            166        268.308           12.7              0              0            0.0            0.0            0.0            3.2        153.000          0.386          0.408           12.7            2.4            0.4            0.1            0.0            0.0            0.0          1.650          0.000            0.0            0.0         38.883
     16/06/2001           2001            167        285.417           12.6              0              0            0.0            0.0            0.0            3.2         35.000          0.386          0.408           12.6            2.7            0.4            0.1            0.0            0.0            0.0          1.000          0.000            0.0            0.0          3.317
     17/06/2001           2001            168        285.409           12.4              0              0            0.0            0.0            0.0            3.4         76.000          0.386          0.408           12.4            2.9            0.4            0.1            0.0            0.0            0.0          1.000          0.000            0.0            0.0         50.823
     18/06/2001           2001            169        285.462           12.3              0              0            0.0            0.0            0.0            3.6         16.000          0.386          0.408           12.3            3.1            0.5            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0          6.357
     19/06/2001           2001            170        285.401           12.1              0              0            0.0            0.0            0.0            3.8         25.000          0.386          0.408           12.1            3.3            0.5            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0         15.498
     20/06/2001           2001            171        285.430           12.0              0              0            0.0            0.0            0.0            4.0         69.000          0.386          0.408           12.0            3.5            0.5            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0         59.337
     21/06/2001           2001            172        285.353           11.9              0              0            0.0            0.0            0.0            4.2         29.000          0.386          0.407           11.9            3.7            0.6            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0         19.412
     22/06/2001           2001            173        285.341           11.7              0              0            0.0            0.0            0.0            4.4         26.000          0.386          0.407           11.7            3.9            0.6            0.2            0.0            0.0            0.0          1.000          0.000            0.0            0.0         16.207
     23/06/2001           2001            174        284.908           11.6              0              0            0.0            0.0            0.0            4.6          0.000          0.386          0.404           11.6            4.2            0.6            0.3            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     24/06/2001           2001            175        285.308           11.5              0              0            0.0            0.0            0.0            4.9          3.000          0.386          0.407           11.5            4.4            0.7            0.3            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     25/06/2001           2001            176        285.306           11.3              0              0            0.0            0.0            0.0            5.1          0.000          0.386          0.407           11.3            4.7            0.7            0.3            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
     26/06/2001           2001            177        285.324           11.2              0              0            0.0            0.0            0.0            5.4          3.000          0.386          0.407           11.2            4.9            0.8            0.3            0.0            0.0            0.0          1.000          0.000            0.0            0.0          0.000
