ApsimVersion = 7.6
Title = C450+T2-R10
           Date           year            day    wheat_yield     wheat_biom            esw          no3() RainSinceSowing         Transp       SoilEvap
   (dd/mm/yyyy)         (year)          (day)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)            (mm)           (mm)           (mm)
     12/03/1960           1960             72         1555.6         4555.5        106.012           36.0          29.700        106.998         51.543
     15/03/1961           1961             74         2984.1         7254.3        101.531           24.0          95.400        148.775         77.311
     19/03/1962           1962             78         1978.0         5492.2         92.919           23.4          35.100        115.208         61.345
     14/03/1963           1963             73         1521.8         4430.5        113.720           35.6          30.600        107.553         42.806
     16/03/1964           1964             76         1939.1         5611.7         96.131           31.2           7.200        104.831         46.238
     14/03/1965           1965             73         2472.8         5543.4         91.201           24.0          31.500        117.520         58.889
     12/03/1966           1966             71         1869.2         5018.1         97.420           30.8          28.800        105.752         52.879
     14/03/1967           1967             73         1930.8         5332.3         97.781           29.1          68.400        115.258         64.219
     17/03/1968           1968             77         2178.4         5808.5         96.850           28.8           4.500        102.520         43.873
     18/03/1969           1969             77         2174.2         5712.7        100.577           26.2          27.000        108.162         50.051
     16/03/1970           1970             75         3005.6         6688.9        112.688           23.4          79.200        122.599         79.505
     18/03/1971           1971             77         2089.3         5692.3         97.709           24.5          14.400        107.823         49.337
