ApsimVersion = 7.5
Title = Transplanted_paddy_rice
           Date           year            day            esw        no3_Tot     crop_stage            dae  total_biomass storage_organs     rice_yield        N_avail           rain         dul(1)          sw(1)          no3()         NH4(1)         NH4(2)         NH4(3)         NH4(4)         NH4(5)         NH4(6)          drain     irrigation
   (dd/mm/yyyy)         (year)          (day)           (mm)        (kg/ha)             ()            (d)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (mm/mm)        (mm/mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)
     01/01/2003           2003              1        205.196            9.7              0              0            0.0            0.0            0.0            7.6          0.000          0.386          0.363            9.7            2.6            0.9            0.1            0.1            0.1            0.1          0.000          0.000
     02/01/2003           2003              2        202.667           10.4              0              0            0.0            0.0            0.0            7.8          0.000          0.386          0.347           10.4            2.3            0.7            0.1            0.1            0.1            0.1          0.000          0.000
     03/01/2003           2003              3        201.627           11.1              0              0            0.0            0.0            0.0            7.9          0.000          0.386          0.341           11.1            1.9            0.5            0.1            0.0            0.0            0.1          0.000          0.000
     04/01/2003           2003              4        200.830           11.8              0              0            0.0            0.0            0.0            8.2          0.000          0.386          0.336           11.8            1.6            0.4            0.1            0.0            0.0            0.0          0.000          0.000
     05/01/2003           2003              5        200.159           12.4              0              0            0.0            0.0            0.0            8.4          0.000          0.386          0.332           12.4            1.4            0.3            0.1            0.0            0.0            0.0          0.000          0.000
     06/01/2003           2003              6        199.568           12.9              0              0            0.0            0.0            0.0            8.7          0.000          0.386          0.329           12.9            1.2            0.2            0.1            0.0            0.0            0.0          0.000          0.000
     07/01/2003           2003              7        199.033           13.2              0              0            0.0            0.0            0.0            8.9          0.000          0.386          0.326           13.2            1.1            0.2            0.1            0.0            0.0            0.0          0.000          0.000
     08/01/2003           2003              8        198.542           13.6              0              0            0.0            0.0            0.0            9.2          0.000          0.386          0.323           13.6            1.1            0.1            0.1            0.0            0.0            0.0          0.000          0.000
     09/01/2003           2003              9        198.085           13.8              0              0            0.0            0.0            0.0            9.4          0.000          0.386          0.321           13.8            1.0            0.1            0.1            0.0            0.0            0.0          0.000          0.000
     10/01/2003           2003             10        197.656           14.1              0              0            0.0            0.0            0.0            9.6          0.000          0.386          0.319           14.1            1.0            0.1            0.1            0.0            0.0            0.0          0.000          0.000
     11/01/2003           2003             11        197.250           14.3              0              0            0.0            0.0            0.0            9.8          0.000          0.386          0.317           14.3            1.0            0.1            0.1            0.0            0.0            0.0          0.000          0.000
