ApsimVersion = 7.3
Title = Millet
           Date   millet.stage  millet1.stage  millet2.stage  millet3.stage  millet4.stage  millet5.stage millet.plant_status millet1.plant_status millet2.plant_status millet3.plant_status millet4.plant_status millet5.plant_status millet_biomass   millet_yield     millet_lai millet.biomass millet1.biomass millet2.biomass millet3.biomass millet4.biomass millet5.biomass   millet.yield  millet1.yield  millet2.yield  millet3.yield  millet4.yield  millet5.yield     millet.lai    millet1.lai    millet2.lai    millet3.lai    millet4.lai    millet5.lai
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()                  ()                   ()                   ()                   ()                   ()                   ()             ()             ()             ()        (kg/ha)         (kg/ha)         (kg/ha)         (kg/ha)         (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)
     22/06/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     23/06/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     24/06/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     25/06/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     26/06/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     27/06/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     28/06/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     29/06/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     30/06/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     01/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     02/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     03/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     04/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     05/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     06/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     07/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     08/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     09/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     10/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     11/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     12/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     13/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     14/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     15/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     16/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     17/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     18/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     19/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     20/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     21/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     22/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     23/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     24/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     25/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     26/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     27/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     28/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     29/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     30/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     31/07/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     01/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     02/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     03/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     04/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     05/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     06/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     07/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     08/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     09/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     10/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     11/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     12/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     13/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     14/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     15/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     16/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     17/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     18/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     19/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     20/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     21/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     22/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     23/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     24/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     25/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     26/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     27/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     28/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     29/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     30/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     31/08/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     01/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     02/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     03/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     04/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     05/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     06/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     07/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     08/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     09/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     10/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
     11/09/1940         12.000         12.000         12.000         12.000         12.000         12.000                 out                  out                  out                  out                  out                  out          0.000          0.000          0.000            0.0             0.0             0.0             0.0             0.0             0.0            0.0            0.0            0.0            0.0            0.0            0.0          0.000          0.000          0.000          0.000          0.000          0.000
