ApsimVersion = 7.10
Title = Canopy
           Date       sw_dep()     lai_cowpea      lai_maize  cover_tot_sum    biom_cowpea     biom_maize
   (dd/mm/yyyy)           (mm)      (m^2/m^2)        (m2/m2)             ()        (kg/ha)        (kg/ha)
     01/01/1988       1202.756          0.000          0.000          0.000            0.0            0.0
     02/01/1988       1202.515          0.000          0.000          0.000            0.0            0.0
     03/01/1988       1202.275          0.000          0.000          0.000            0.0            0.0
     04/01/1988       1231.208          0.000          0.000          0.000            0.0            0.0
     05/01/1988       1229.403          0.000          0.000          0.000            0.0            0.0
     06/01/1988       1226.668          0.000          0.000          0.000            0.0            0.0
     07/01/1988       1225.250          0.000          0.000          0.000            0.0            0.0
     08/01/1988       1224.151          0.000          0.000          0.000            0.0            0.0
     09/01/1988       1223.221          0.000          0.000          0.000            0.0            0.0
     10/01/1988       1222.401          0.000          0.000          0.000            0.0            0.0
     11/01/1988       1221.658          0.000          0.000          0.000            0.0            0.0
     12/01/1988       1220.974          0.000          0.004          0.000            0.0            2.0
     13/01/1988       1220.325          0.000          0.008          0.002            0.0            2.7
     14/01/1988       1219.693          0.000          0.011          0.004            0.0            4.3
     15/01/1988       1219.084          0.000          0.015          0.006            0.0            6.4
     16/01/1988       1228.335          0.020          0.020          0.008            7.5            8.1
     17/01/1988       1231.038          0.024          0.025          0.019            9.8           11.6
     18/01/1988       1227.234          0.030          0.032          0.023           13.2           16.7
     19/01/1988       1225.555          0.036          0.040          0.030           16.3           21.7
     20/01/1988       1290.890          0.043          0.051          0.037           20.0           27.9
     21/01/1988       1286.100          0.052          0.064          0.045           25.3           37.6
     22/01/1988       1286.105          0.062          0.080          0.056           30.4           46.9
     23/01/1988       1283.827          0.073          0.099          0.068           36.8           59.4
     24/01/1988       1281.786          0.090          0.121          0.082           45.9           78.0
     25/01/1988       1280.052          0.109          0.148          0.099           56.4           99.3
     26/01/1988       1278.411          0.132          0.177          0.119           69.1          125.4
     27/01/1988       1276.506          0.161          0.207          0.142           84.9          157.3
     28/01/1988       1274.563          0.193          0.236          0.166          102.5          191.6
     29/01/1988       1272.816          0.230          0.271          0.190          122.9          229.8
     30/01/1988       1270.015          0.278          0.313          0.218          149.3          277.1
     31/01/1988       1272.208          0.324          0.360          0.252          174.6          320.4
     01/02/1988       1266.417          0.386          0.419          0.285          208.5          377.3
     02/02/1988       1263.698          0.454          0.477          0.325          245.8          438.4
     03/02/1988       1261.585          0.517          0.534          0.366          280.5          493.2
     04/02/1988       1257.839          0.613          0.582          0.404          333.7          574.8
     05/02/1988       1252.662          0.725          0.621          0.447          398.7          666.2
     06/02/1988       1246.551          0.842          0.648          0.489          470.6          753.7
     07/02/1988       1245.271          0.912          0.676          0.527          516.0          806.2
     08/02/1988       1290.944          1.010          0.708          0.556          581.9          879.3
     09/02/1988       1283.541          1.146          0.728          0.589          675.0          977.3
     10/02/1988       1275.342          1.282          0.748          0.623          770.3         1076.2
     11/02/1988       1268.237          1.414          0.772          0.656          863.3         1170.1
     12/02/1988       1259.706          1.551          0.796          0.687          961.7         1267.1
     13/02/1988       1323.079          1.652          0.844          0.716         1035.5         1338.1
     14/02/1988       1347.398          1.764          0.886          0.742         1118.1         1414.0
     15/02/1988       1344.937          1.904          0.927          0.765         1222.7         1505.6
     16/02/1988       1338.821          2.052          0.958          0.788         1335.7         1602.8
     17/02/1988       1333.033          2.204          0.990          0.810         1452.3         1699.7
     18/02/1988       1327.698          2.341          1.020          0.829         1557.8         1784.7
     19/02/1988       1319.206          2.521          1.046          0.846         1696.7         1891.2
     20/02/1988       1307.690          2.719          1.073          0.864         1848.7         2003.9
     21/02/1988       1300.212          2.900          1.099          0.881         1987.6         2103.4
     22/02/1988       1291.671          3.095          1.123          0.896         2137.6         2206.1
     23/02/1988       1281.832          3.281          1.145          0.909         2290.7         2315.2
     24/02/1988       1272.609          3.441          1.162          0.920         2432.0         2418.3
     25/02/1988       1268.881          3.586          1.155          0.929         2543.2         2477.8
     26/02/1988       1267.604          3.665          1.157          0.936         2622.0         2518.1
     27/02/1988       1264.244          3.797          1.147          0.939         2752.2         2582.7
     28/02/1988       1259.160          3.947          1.139          0.944         2900.6         2653.0
     29/02/1988       1268.500          4.011          1.143          0.949         2968.9         2684.0
     01/03/1988       1286.386          4.100          1.135          0.951         3073.8         2730.5
     02/03/1988       1290.592          4.169          1.130          0.954         3159.9         2767.6
     03/03/1988       1290.724          4.308          1.124          0.957         3328.8         2838.6
     04/03/1988       1281.897          4.465          1.118          0.961         3519.9         2916.2
     05/03/1988       1276.029          4.516          1.108          0.965         3680.2         2979.3
     06/03/1988       1299.293          4.556          1.102          0.967         3849.1         3043.8
     07/03/1988       1290.880          4.625          1.098          0.968         4051.9         3119.7
     08/03/1988       1282.577          4.672          1.093          0.971         4250.2         3192.3
     09/03/1988       1273.958          4.653          1.085          0.972         4419.3         3267.3
     10/03/1988       1265.619          4.586          1.075          0.973         4549.7         3343.3
     11/03/1988       1256.995          4.432          1.061          0.974         4643.6         3421.2
     12/03/1988       1252.340          4.392          1.054          0.974         4830.5         3484.0
     13/03/1988       1245.467          3.744          1.049          0.975         4946.8         3557.3
     14/03/1988       1239.140          3.663          1.042          0.972         5048.6         3627.0
     15/03/1988       1233.267          3.574          1.031          0.973         5144.2         3690.6
     16/03/1988       1228.202          3.510          1.018          0.973         5254.1         3749.1
     17/03/1988       1223.319          3.432          1.008          0.973         5350.4         3807.5
     18/03/1988       1218.757          3.343          0.997          0.973         5432.4         3864.7
     19/03/1988       1214.510          3.258          0.986          0.972         5512.2         3919.4
     20/03/1988       1210.556          3.164          0.974          0.972         5578.8         3972.1
     21/03/1988       1206.882          3.075          0.962          0.972         5645.2         4022.7
     22/03/1988       1203.350          2.973          0.951          0.972         5694.8         4072.3
     23/03/1988       1200.209          2.878          0.943          0.972         5745.1         4113.4
     24/03/1988       1197.390          2.777          0.936          0.972         5785.5         4146.6
     25/03/1988       1197.579          2.691          0.930          0.971         5840.9         4183.3
     26/03/1988       1195.006          2.571          0.922          0.971         5878.4         4211.4
     27/03/1988       1192.737          2.454          0.915          0.971         5914.3         4230.9
     28/03/1988       1190.610          2.330          0.909          0.970         5942.3         4245.2
     29/03/1988       1188.940          2.200          0.904          0.970         5966.6         4255.6
     30/03/1988       1187.380          2.061          0.878          0.969         5976.3         4266.0
     31/03/1988       1187.119          1.962          0.877          0.968         5992.4         4284.4
     01/04/1988       1222.853          1.821          0.873          0.968         6017.4         4308.6
     02/04/1988       1239.073          0.000          0.863          0.967         6043.3         4334.1
     03/04/1988       1260.497          0.000          0.861          0.957            0.0         4354.3
     04/04/1988       1300.211          0.000          0.852          0.793            0.0         4379.6
     05/04/1988       1306.060          0.000          0.850          0.794            0.0         4395.0
     06/04/1988       1337.226          0.000          0.850          0.794            0.0         4422.9
     07/04/1988       1335.970          0.000          0.850          0.794            0.0         4449.6
     08/04/1988       1340.288          0.000          0.850          0.794            0.0         4469.7
     09/04/1988       1339.824          0.000          0.850          0.794            0.0         4490.8
     10/04/1988       1338.807          0.000          0.850          0.794            0.0         4516.2
     11/04/1988       1371.904          0.000          0.850          0.794            0.0         4527.0
     12/04/1988       1397.138          0.000          0.850          0.794            0.0         4548.8
     13/04/1988       1397.748          0.000          0.850          0.794            0.0         4573.0
     14/04/1988       1396.443          0.000          0.850          0.794            0.0         4604.3
     15/04/1988       1394.928          0.000          0.850          0.794            0.0         4636.1
     16/04/1988       1393.535          0.000          0.850          0.794            0.0         4666.5
     17/04/1988       1392.419          0.000          0.850          0.794            0.0         4693.4
     18/04/1988       1391.236          0.000          0.850          0.794            0.0         4721.6
     19/04/1988       1393.081          0.000          0.850          0.794            0.0         4740.4
     20/04/1988       1392.579          0.000          0.850          0.794            0.0         4758.5
     21/04/1988       1391.203          0.000          0.850          0.794            0.0         4788.4
     22/04/1988       1390.676          0.000          0.850          0.794            0.0         4815.7
     23/04/1988       1389.088          0.000          0.850          0.794            0.0         4847.4
     24/04/1988       1388.652          0.000          0.850          0.794            0.0         4873.1
     25/04/1988       1387.423          0.000          0.850          0.794            0.0         4903.8
     26/04/1988       1385.963          0.000          0.850          0.794            0.0         4934.9
     27/04/1988       1384.453          0.000          0.850          0.794            0.0         4965.7
     28/04/1988       1383.766          0.000          0.850          0.794            0.0         4983.2
     29/04/1988       1388.396          0.000          0.850          0.794            0.0         4998.8
     30/04/1988       1387.521          0.000          0.850          0.794            0.0         5024.0
     01/05/1988       1386.372          0.000          0.850          0.794            0.0         5048.9
     02/05/1988       1385.482          0.000          0.850          0.794            0.0         5070.4
     03/05/1988       1384.207          0.000          0.850          0.794            0.0         5098.0
     04/05/1988       1382.803          0.000          0.850          0.794            0.0         5127.3
     05/05/1988       1381.249          0.000          0.850          0.794            0.0         5158.1
     06/05/1988       1379.854          0.000          0.850          0.794            0.0         5187.5
     07/05/1988       1378.363          0.000          0.850          0.794            0.0         5217.6
     08/05/1988       1377.067          0.000          0.850          0.794            0.0         5217.6
     09/05/1988       1375.791          0.000          0.850          0.794            0.0         5217.6
     10/05/1988       1374.560          0.000          0.850          0.794            0.0         5217.6
     11/05/1988       1373.285          0.000          0.850          0.794            0.0         5217.6
     12/05/1988       1371.998          0.000          0.850          0.794            0.0         5217.6
     13/05/1988       1370.830          0.000          0.850          0.794            0.0         5217.6
