ApsimVersion = 7.6
Title = Continuous Wheat with SWIM3
           Date        biomass          yield  grain_protein     grain_size            esw
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)            (g)           (mm)
     10/10/1942         9503.3         3519.8         16.404          0.041        145.809
     28/10/1943        12598.0         4318.1         16.563          0.028         54.892
     22/10/1945        13069.5         4970.6         15.699          0.041         78.501
     23/10/1947        14994.5         5895.7         13.757          0.041        161.657
     29/10/1948        14165.2         4604.7         11.061          0.030        169.189
     25/10/1949        14187.5         4734.6         11.111          0.032        184.330
     12/10/1950         5300.6         2004.6         16.437          0.041        439.950
