ApsimVersion = 7.7
Title = agpasturePaddock pad
           Date AboveGroundLiveWt HerbageGrowthWt      HarvestWt SpeciesStandingLiveWt(1) SpeciesStandingLiveWt(2)      LAI_total      LAI_green       LAI_dead  CloverContent   surfaceom_wt
  (dd/mmm/yyyy)         (kgDM/ha)       (kgDM/ha)      (kgDM/ha)                (kgDM/ha)                (kgDM/ha)      (m^2/m^2)      (m^2/m^2)      (m^2/m^2)            (%)        (kg/ha)
    18/Jun/1981          1016.490           5.842          0.000                  846.641                  120.720          1.679          1.583          0.096         12.664          459.2
    19/Jun/1981          1017.269           1.854          0.000                  847.662                  120.721          1.681          1.584          0.098         12.651          455.8
    20/Jun/1981          1034.608          17.697          0.000                  863.258                  122.282          1.699          1.601          0.098         12.592          454.0
    21/Jun/1981          1030.736          -3.742          0.000                  860.036                  121.911          1.695          1.597          0.098         12.598          452.8
    22/Jun/1981          1025.579          -3.903          0.000                  855.973                  121.221          1.692          1.592          0.100         12.589          449.5
    23/Jun/1981           976.425          -4.214         48.622                  812.586                  116.406          1.635          1.540          0.095         12.704          463.3
    24/Jun/1981           992.656          16.421          0.000                  827.515                  117.597          1.653          1.558          0.095         12.618          461.8
    25/Jun/1981           997.654           3.072          0.000                  832.097                  117.996          1.656          1.563          0.092         12.590          463.6
    26/Jun/1981           993.970          -3.833          0.000                  829.195                  117.503          1.652          1.559          0.092         12.581          462.9
    27/Jun/1981           986.266          -4.169          0.000                  823.120                  116.477          1.648          1.551          0.097         12.573          453.3
    28/Jun/1981           989.127           4.318          0.000                  826.115                  116.567          1.654          1.554          0.099         12.544          449.2
    29/Jun/1981           994.296           5.134          0.000                  830.808                  117.090          1.659          1.560          0.099         12.528          448.3
    30/Jun/1981           995.173           2.223          0.000                  832.000                  117.028          1.662          1.561          0.101         12.509          444.7
