Period		07/90	07/91	07/92	07/93	07/94	07/95	07/96	07/97	07/98	07/99	07/00
Cast for age animal sales	AUD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Lamb sales	AUD	363098.70	364206.10	420855.80	368404.40	430377.60	342541.60	411381.80	353639.80	301143.70	357730.70	291864.70
Wool sales	AUD	43482.88	41762.69	39690.44	41763.30	43814.37	41204.38	43535.49	41439.21	41702.44	42333.35	38594.34
Wheat sales	AUD	153664.10	102574.30	0.00	165202.50	0.00	179338.40	132276.70	147749.80	132753.80	174482.20	168141.80
INCOME	AUD	560245.70	508543.20	460546.20	575370.20	474192.00	563084.40	587194.00	542828.90	475599.90	574546.20	498600.80

Replacements	AUD	180000.00	180000.00	180000.00	180000.00	180000.00	180000.00	180000.00	180000.00	180000.00	180000.00	0.00
Shearing	AUD	5987.87	5993.91	5993.91	5999.94	6005.98	5987.87	5984.85	5999.94	6009.00	5990.89	5987.87
Transport cost	AUD	7880.00	7896.00	7908.00	7896.00	7920.00	7868.00	7908.00	7908.00	7912.00	7888.00	6124.00
EXPENSE	AUD	193867.90	193889.90	193901.90	193895.90	193926.00	193855.90	193892.80	193907.90	193921.00	193878.90	12111.87

GROSS MARGIN	AUD	366377.80	314653.30	266644.30	381474.30	280266.00	369228.50	393301.20	348920.90	281678.90	380667.30	486488.90

Item	Units	07/90	07/91	07/92	07/93	07/94	07/95	07/96	07/97	07/98	07/99	07/00
Cast for age animal sales	No.	0	0	0	0	0	0	0	0	0	0	0
Lamb sales	No.	1970.0	1974.0	1977.0	1974.0	1980.0	1967.0	1977.0	1977.0	1978.0	1972.0	1531.0
Wool sales	kg CFW	4157.1	3992.6	3794.5	3992.7	4188.8	3939.2	4162.1	3961.7	3986.8	4047.2	3689.7
Wheat sales	tonnes	439.04	293.07	0.00	472.01	0.00	512.40	377.93	422.14	379.30	498.52	480.41

Replacements	No.	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	0.0
Shearing	No.	1983.0	1985.0	1985.0	1987.0	1989.0	1983.0	1982.0	1987.0	1990.0	1984.0	1983.0
Transport cost	No.	1970.0	1974.0	1977.0	1974.0	1980.0	1967.0	1977.0	1977.0	1978.0	1972.0	1531.0

