ApsimVersion = 7.0
Title = Sample Rotation 1
           Date         cotton         wyield         cyield  wheat.biomass chickpea.biomass
             ()     (bales/ha)        (kg/ha)        (kg/ha)        (kg/ha)          (kg/ha)
     22/05/1941          6.130            0.0            0.0            0.0              0.0
     27/06/1942          0.066            0.0            0.0            0.0              0.0
     05/05/1943          1.598            0.0            0.0            0.0              0.0
     03/11/1943          0.000            0.0          256.2            0.0           1231.8
     10/03/1945          2.923            0.0            0.0            0.0              0.0
     28/10/1945          0.000            0.0         1686.6            0.0           4360.7
     27/05/1947          6.244            0.0            0.0            0.0              0.0
     30/10/1947          0.000            0.0         1786.1            0.0           4596.3
     30/10/1948          0.000         1598.7            0.0         6980.2              0.0
     09/03/1950          2.834            0.0            0.0            0.0              0.0
     19/10/1950          0.000            0.0         1732.2            0.0           4421.4
