ApsimVersion = 7.7
Title = Paddy Transplated Rotation Output
           Date           year      crop_type DaysAfterSowing Rice.DaysAfterSowing        cropsta           wagt            wso           rlai            zrt         ldstrs         lestrs         lrstrs           ancr          irrig    evap_amount        biomass          yield     TopsTotalN            esw N_avail_4_rice          NO3()   surfaceom_wt    water_table
   (dd/mm/yyyy)         (year)             ()              ()                  (d)             ()        (kg/ha)        (kg/ha)             ()            (m)             ()             ()             ()        (kg/ha)             ()             ()             ()             ()             ()           (mm)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)
     01/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          0.000              ?              ?              ?        303.626            1.7           12.9          960.9       2623.027
     02/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          3.274              ?              ?              ?        302.530            1.5           13.5          934.3       2605.795
     03/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          4.370              ?              ?              ?        301.710            1.6           14.0          921.2       2588.610
     04/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          5.190              ?              ?              ?        301.025            1.8           14.4          920.6       2571.389
     05/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          5.875              ?              ?              ?        300.425            2.1           14.7          920.6       2554.077
     06/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          6.475              ?              ?              ?        299.884            2.4           15.0          920.6       2536.645
     07/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          7.016              ?              ?              ?        299.387            2.7           15.2          920.6       2519.080
     08/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          7.513              ?              ?              ?        298.926            3.0           15.5          920.6       2501.385
     09/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          7.974              ?              ?              ?        298.493            3.3           15.7          920.6       2483.577
     10/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          8.407              ?              ?              ?        298.084            3.7           15.9          920.6       2465.678
     11/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          8.816              ?              ?              ?        297.696            4.0           16.2          920.6       2447.720
     12/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          9.204              ?              ?              ?        297.324            4.3           16.4          920.6       2429.739
     13/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          9.575              ?              ?              ?        296.969            4.6           16.7          920.6       2411.777
     14/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000          9.931              ?              ?              ?        296.627            5.0           17.0          920.6       2393.876
     15/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         10.273              ?              ?              ?        296.297            5.3           17.4          920.6       2376.081
     16/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         10.603              ?              ?              ?        295.977            5.7           17.7          920.6       2358.439
     17/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         10.923              ?              ?              ?        295.668            6.1           18.1          920.6       2340.997
     18/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         11.232              ?              ?              ?        295.368            6.4           18.5          920.6       2323.800
     19/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         11.532              ?              ?              ?        295.076            6.8           18.8          920.6       2306.896
     20/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         11.824              ?              ?              ?        294.792            7.1           19.2          920.6       2141.305
     21/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         12.108              ?              ?              ?        294.515            7.4           19.6          920.6       2128.649
     22/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         12.385              ?              ?              ?        294.244            7.8           20.0          920.6       2116.802
     23/01/1988           1988           rice               ?                    0              0            0.0            0.0          0.000          0.000          1.000          1.000          1.000            0.0          0.000         12.656              ?              ?              ?        293.980            8.1           20.4          920.6       2105.753
