ApsimVersion = 7.0
Title = Potato
           Date        biomass            lai    LeafGreenWt    StemGreenWt   TuberGreenWt          st(1)         plants        node_no     node_no_fx     LeafGreenN
             ()        (kg/ha)      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (oC)   (plants/m^2)       (/plant)       (/plant)        (g/m^2)
     04/03/1988            0.0          0.000           0.00           0.00           0.00         26.629          0.000          0.000          0.000           0.00
     05/03/1988            0.0          0.000           0.00           0.00           0.00         28.149          0.000          0.000          0.000           0.00
     06/03/1988            0.0          0.000           0.00           0.00           0.00         28.101          0.000          0.000          0.000           0.00
     07/03/1988            0.0          0.000           0.00           0.00           0.00         28.699          0.000          0.000          0.000           0.00
     08/03/1988            0.0          0.000           0.00           0.00           0.00         28.640          0.000          0.000          0.000           0.00
     09/03/1988            0.0          0.000           0.00           0.00           0.00         28.515          0.000          0.000          0.000           0.00
     10/03/1988            0.0          0.000           0.00           0.00           0.00         28.580          0.000          0.000          0.000           0.00
     11/03/1988            0.0          0.000           0.00           0.00           0.00         29.818          0.000          0.000          0.000           0.00
     12/03/1988            0.0          0.000           0.00           0.00           0.00         29.230          0.000          0.000          0.000           0.00
     13/03/1988            0.0          0.000           0.00           0.00           0.00         28.497          0.000          0.000          0.000           0.00
     14/03/1988            0.0          0.000           0.00           0.00           0.00         27.908          0.000          0.000          0.000           0.00
     15/03/1988            0.0          0.000           0.00           0.00           0.00         27.153          0.000          0.000          0.000           0.00
     16/03/1988            0.0          0.000           0.00           0.00           0.00         26.037          0.000          0.000          0.000           0.00
     17/03/1988            0.0          0.000           0.00           0.00           0.00         26.631          0.000          0.000          0.000           0.00
     18/03/1988            0.0          0.000           0.00           0.00           0.00         27.471          0.000          0.000          0.000           0.00
     19/03/1988            0.0          0.000           0.00           0.00           0.00         27.815          0.000          0.000          0.000           0.00
     20/03/1988            0.0          0.000           0.00           0.00           0.00         28.036          0.000          0.000          0.000           0.00
     21/03/1988            0.0          0.000           0.00           0.00           0.00         28.247          0.000          0.000          0.000           0.00
     22/03/1988            0.0          0.000           0.00           0.00           0.00         28.528          0.000          0.000          0.000           0.00
     23/03/1988            0.0          0.000           0.00           0.00           0.00         28.710          0.000          0.000          0.000           0.00
     24/03/1988            0.0          0.000           0.00           0.00           0.00         28.863          0.000          0.000          0.000           0.00
     25/03/1988            0.0          0.000           0.00           0.00           0.00         28.779          0.000          0.000          0.000           0.00
     26/03/1988            0.0          0.000           0.00           0.00           0.00         28.432          0.000          0.000          0.000           0.00
     27/03/1988            0.0          0.000           0.00           0.00           0.00         28.168          0.000          0.000          0.000           0.00
     28/03/1988            0.0          0.000           0.00           0.00           0.00         27.948          0.000          0.000          0.000           0.00
     29/03/1988            0.0          0.000           0.00           0.00           0.00         27.919          0.000          0.000          0.000           0.00
     30/03/1988            0.0          0.000           0.00           0.00           0.00         27.549          0.000          0.000          0.000           0.00
     31/03/1988            0.0          0.000           0.00           0.00           0.00         26.525          0.000          0.000          0.000           0.00
     01/04/1988            0.0          0.000           0.00           0.00           0.00         25.430          0.000          0.000          0.000           0.00
     02/04/1988            0.0          0.000           0.00           0.00           0.00         24.778          0.000          0.000          0.000           0.00
