ApsimVersion = 7.4
Title = Continuous Wheat
           Date        biomass          yield  grain_protein     grain_size            esw
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)            (%)            (g)           (mm)
     10/10/1942         9536.6         3519.8         16.404          0.041        324.863
     28/10/1943        13669.0         4943.3         16.535          0.032        258.722
     22/10/1945        13079.1         4970.5         15.608          0.041        279.596
     23/10/1947        15386.5         5895.7         13.411          0.041        306.663
     29/10/1948        14573.2         4602.2          9.908          0.030        275.138
     25/10/1949        14562.6         4837.6         10.511          0.032        373.636
     12/10/1950         5300.6         2004.6         16.437          0.041        540.421
