ApsimVersion = 7.10
Title = Maize P
           Date            esw            day           year          yield         stover        biomass            lai    pfact_photo    nfact_photo    swdef_photo
   (dd/mm/yyyy)           (mm)          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)        (m2/m2)             ()             ()             ()
     30/10/1988          8.326            304           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     31/10/1988          8.140            305           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     01/11/1988          7.955            306           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     02/11/1988          7.773            307           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     03/11/1988          7.592            308           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     04/11/1988          7.414            309           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     05/11/1988          7.237            310           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     06/11/1988          7.062            311           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     07/11/1988          6.889            312           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     08/11/1988          6.717            313           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     09/11/1988          6.547            314           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     10/11/1988          6.378            315           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     11/11/1988          6.211            316           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     12/11/1988          6.045            317           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     13/11/1988          5.912            318           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     14/11/1988          5.842            319           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     15/11/1988          5.772            320           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     16/11/1988         18.346            321           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     17/11/1988         13.287            322           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     18/11/1988         13.023            323           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     19/11/1988         12.765            324           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     20/11/1988         12.512            325           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     21/11/1988         12.265            326           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     22/11/1988         12.022            327           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     23/11/1988         11.783            328           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     24/11/1988         11.549            329           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     25/11/1988         11.318            330           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     26/11/1988         11.092            331           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     27/11/1988         10.869            332           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     28/11/1988         10.649            333           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     29/11/1988         10.433            334           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     30/11/1988         10.220            335           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     01/12/1988         10.010            336           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     02/12/1988          9.803            337           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     03/12/1988          9.599            338           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     04/12/1988          9.397            339           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     05/12/1988          9.198            340           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     06/12/1988          9.002            341           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     07/12/1988          8.808            342           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     08/12/1988          9.632            343           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     09/12/1988          8.616            344           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     10/12/1988         41.967            345           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     11/12/1988         36.573            346           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     12/12/1988         49.698            347           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     13/12/1988         44.667            348           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     14/12/1988         43.219            349           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     15/12/1988         42.286            350           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     16/12/1988         41.540            351           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     17/12/1988         43.826            352           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     18/12/1988         57.114            353           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     19/12/1988         56.038            354           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     20/12/1988         50.976            355           1988            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     21/12/1988         49.824            356           1988            0.0            1.2            1.2          0.002          1.000          0.977          1.000
     22/12/1988         48.974            357           1988            0.0            1.6            1.6          0.007          1.000          0.914          1.000
     23/12/1988         48.249            358           1988            0.0            2.8            2.8          0.010          0.574          0.953          1.000
     24/12/1988         47.603            359           1988            0.0            4.7            4.7          0.015          0.364          0.962          1.000
     25/12/1988         46.990            360           1988            0.0            7.4            7.4          0.020          0.923          0.967          1.000
     26/12/1988         46.400            361           1988            0.0           11.2           11.2          0.026          0.908          0.969          1.000
     27/12/1988         53.298            362           1988            0.0           15.2           15.2          0.033          1.000          0.962          1.000
     28/12/1988         48.351            363           1988            0.0           21.9           21.9          0.042          1.000          0.968          1.000
     29/12/1988         47.502            364           1988            0.0           29.7           29.7          0.051          0.974          0.968          1.000
     30/12/1988         46.744            365           1988            0.0           38.8           38.8          0.063          1.000          0.967          1.000
     31/12/1988         46.033            366           1988            0.0           49.7           49.7          0.076          1.000          0.966          1.000
     01/01/1989         45.274              1           1989            0.0           63.4           63.4          0.091          1.000          0.968          1.000
     02/01/1989         44.678              2           1989            0.0           74.8           74.8          0.106          1.000          0.966          1.000
     03/01/1989         49.338              3           1989            0.0           91.6           91.6          0.123          1.000          0.968          1.000
     04/01/1989         44.245              4           1989            0.0          114.4          114.4          0.144          1.000          0.969          1.000
     05/01/1989         43.053              5           1989            0.0          142.3          142.3          0.170          1.000          0.969          1.000
     06/01/1989         59.590              6           1989            0.0          163.1          163.1          0.203          1.000          0.966          1.000
     07/01/1989         54.633              7           1989            0.0          194.0          194.0          0.233          1.000          0.968          1.000
     08/01/1989         50.439              8           1989            0.0          234.1          234.1          0.268          1.000          0.968          1.000
     09/01/1989         48.381              9           1989            0.0          279.6          279.6          0.306          1.000          0.969          1.000
     10/01/1989         45.844             10           1989            0.0          338.3          338.3          0.349          1.000          0.970          1.000
     11/01/1989         69.989             11           1989            0.0          394.7          394.7          0.402          1.000          0.970          1.000
     12/01/1989         63.469             12           1989            0.0          467.9          467.9          0.458          1.000          0.970          1.000
     13/01/1989         59.300             13           1989            0.0          550.1          550.1          0.514          1.000          0.971          1.000
     14/01/1989         56.980             14           1989            0.0          630.3          630.3          0.578          1.000          0.970          1.000
     15/01/1989         54.359             15           1989            0.0          725.5          725.5          0.637          1.000          0.971          1.000
     16/01/1989         51.746             16           1989            0.0          828.9          828.9          0.701          1.000          0.971          1.000
     17/01/1989         48.658             17           1989            0.0          944.1          944.1          0.769          1.000          0.969          1.000
     18/01/1989         44.658             18           1989            0.0         1073.2         1073.2          0.829          1.000          0.968          1.000
     19/01/1989         40.990             19           1989            0.0         1183.2         1183.2          0.868          1.000          0.968          0.786
     20/01/1989         39.763             20           1989            0.0         1299.4         1299.4          0.942          1.000          0.966          0.960
     21/01/1989         34.784             21           1989            0.0         1392.7         1392.7          0.959          1.000          0.967          0.616
     22/01/1989         32.209             22           1989            0.0         1502.0         1502.0          1.070          1.000          0.961          1.000
     23/01/1989         31.348             23           1989            0.0         1607.4         1607.4          1.180          1.000          0.955          1.000
     24/01/1989         29.244             24           1989            0.0         1717.3         1717.3          1.292          1.000          0.950          1.000
     25/01/1989         26.847             25           1989            0.0         1848.7         1848.7          1.331          1.000          0.948          0.760
     26/01/1989         24.646             26           1989            0.0         1935.4         1935.4          1.326          1.000          0.949          0.447
     27/01/1989         22.624             27           1989            0.0         2030.2         2030.2          1.341          1.000          0.949          0.619
     28/01/1989         20.767             28           1989            0.0         2119.8         2119.8          1.336          1.000          0.950          0.493
     29/01/1989         19.060             29           1989            0.0         2189.4         2189.4          1.332          1.000          0.951          0.378
     30/01/1989         17.491             30           1989            0.0         2232.5         2232.5          1.326          1.000          0.951          0.216
     31/01/1989         16.048             31           1989            0.0         2262.8         2262.8          1.298          1.000          0.953          0.150
     01/02/1989         14.870             32           1989            0.0         2305.0         2305.0          1.265          1.000          0.954          0.231
     02/02/1989         13.845             33           1989            0.0         2377.9         2377.9          1.230          1.000          0.955          0.543
     03/02/1989         12.896             34           1989            0.0         2456.8         2456.8          1.258          1.000          0.954          0.637
