ApsimVersion = 7.4
Title = TemperateGrassEstablished daily
           Date           year            day      phenology         growth        leaf_dm        stem_dm      litter_dm          rtdep         urea()      cover_tot   uptake_nh4()          nh4()   uptake_no3()          no3()      nit_tot()       glf_nitr         glf_sm        glf_tmp        glf_vpd     removed_dm       avail_dm
   (dd/mm/yyyy)         (year)          (day)            (-)      (kg/ha/d)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)      (m^2/m^2)      (kg/ha/d)        (kg/ha)      (kg/ha/d)        (kg/ha)        (kg/ha)            (-)            (-)            (-)            (-)             ()        (kg/ha)
     01/02/1954           1954             32          1.071          0.000         1590.4          274.6         1495.1        100.000            0.0          0.254          0.014            5.0          0.001           66.0         7924.9          1.000          0.000          1.000          1.000         40.023          321.9
     02/02/1954           1954             33          1.073          0.000         1558.3          271.6         1471.8        100.000            0.0          0.251          0.000            5.1          0.000           65.9         7924.9          1.000          0.127          1.000          1.000         40.023          317.9
     03/02/1954           1954             34          1.075          0.000         1526.2          268.6         1441.9        100.000            0.0          0.248          0.000            5.2          0.000           65.9         7924.9          1.000          0.000          1.000          1.000         40.023          313.7
     04/02/1954           1954             35          1.077          0.000         1496.9          265.9         1414.0        100.000            0.0          0.245          0.000            5.3          0.000           65.9         7925.0          1.000          0.000          1.000          1.000         40.023          308.8
     05/02/1954           1954             36          1.079          0.000         1468.1          263.2         1386.7        100.000            0.0          0.242          0.000            5.4          0.000           65.8         7925.0          1.000          0.000          1.000          1.000         40.023          304.7
     06/02/1954           1954             37          1.081          0.000         1439.6          260.4         1361.0        100.000            0.0          0.239          0.000            5.5          0.000           65.8         7925.0          1.000          0.000          1.000          1.000         40.023          301.8
     07/02/1954           1954             38          1.083          0.000         1411.3          257.5         1334.5        100.000            0.0          0.236          0.000            5.6          0.000           65.7         7925.0          1.000          0.000          1.000          1.000         40.023          300.0
     08/02/1954           1954             39          1.085          0.000         1383.6          254.6         1309.1        100.000            0.0          0.234          0.000            5.7          0.000           65.7         7925.0          1.000          0.000          1.000          1.000         40.023          298.8
     09/02/1954           1954             40          1.086          0.000         1357.0          251.8         1283.9        100.000            0.0          0.231          0.015            6.0          0.006           65.8         7925.0          1.000          0.000          1.000          1.000         40.023          297.0
     10/02/1954           1954             41          1.089         11.850         1331.0          249.1         1271.1        100.000            0.0          0.229          0.000            6.2          0.000           65.7         7925.0          1.000          1.000          1.000          1.000         40.023          295.3
     11/02/1954           1954             42          1.091         11.917         1277.9          245.7         1217.1        100.000            0.0          0.237          0.114            6.4          0.051           65.5         7925.0          1.000          1.000          1.000          1.000         40.023          291.6
     12/02/1954           1954             43          1.092         11.669         1221.7          242.4         1146.7        100.000            0.0          0.242          0.108            6.6          0.043           65.4         7924.8          1.000          1.000          1.000          1.000         40.023          286.5
     13/02/1954           1954             44          1.094         11.421         1171.7          239.4         1095.5        100.000            0.0          0.255          0.102            6.8          0.040           65.3         7924.5          1.000          1.000          1.000          1.000         40.023          280.6
     14/02/1954           1954             45          1.096         13.747         1122.3          236.5         1042.8        100.000            0.0          0.268          0.103            6.9          0.043           65.2         7924.3          1.000          1.000          1.000          1.000         40.023          273.8
     15/02/1954           1954             46          1.098         19.724         1078.0          234.5          991.1        126.390            0.0          0.282          0.108            7.1          0.044           65.1         7924.1          1.000          1.000          1.000          1.000         40.023          266.4
     16/02/1954           1954             47          1.100         20.792         1041.1          234.3          941.9        149.078            0.0          0.296          0.120            7.3          0.048           65.0         7923.8          1.000          1.000          1.000          1.000         40.023          259.2
     17/02/1954           1954             48          1.102         23.972         1007.9          234.7          888.6        173.454            0.0          0.311          0.127            7.6          0.058           64.9         7923.6          1.000          1.000          1.000          1.000         40.023          252.0
     18/02/1954           1954             49          1.105         32.751          981.9          236.4          841.0        197.830            0.0          0.328          0.146            7.8          0.067           64.9         7923.4          1.000          1.000          1.000          1.000         40.023          245.3
     19/02/1954           1954             50          1.107         28.639          968.7          241.2          800.2        221.450            0.0          0.346          0.093            8.1          0.044           64.8         7923.2          0.885          1.000          1.000          0.983         40.023          239.2
     20/02/1954           1954             51          1.109         24.921          963.5          246.3          771.8        245.604            0.0          0.362          0.075            8.3          0.046           64.7         7923.1          0.792          1.000          1.000          1.000         40.023          234.0
     21/02/1954           1954             52          1.111         31.446          963.9          251.3          752.6        268.248            0.0          0.379          0.206            8.7          0.120           64.7         7923.0          0.961          1.000          1.000          1.000         40.023          229.6
     22/02/1954           1954             53          1.113         26.455          972.1          258.5          746.2        287.207            0.0          0.409          0.167            8.9          0.081           64.7         7922.6          0.737          1.000          1.000          1.000         40.023          225.3
     23/02/1954           1954             54          1.115         26.126          953.2          261.4          704.3        310.828            0.0          0.424          0.172            9.2          0.085           64.6         7922.4          0.746          1.000          1.000          0.897         40.023          219.5
     24/02/1954           1954             55          1.117         21.732          941.2          264.9          670.0        335.203            0.0          0.436          0.107            9.4          0.057           64.5         7922.1          0.667          1.000          1.000          0.905         40.023          236.9
     25/02/1954           1954             56          1.119         27.750          935.4          268.3          646.3        360.334            0.0          0.447          0.174            9.7          0.152           64.4         7922.0          0.693          1.000          1.000          0.988         40.023          252.9
     26/02/1954           1954             57          1.122         30.456          942.0          274.5          631.8        384.709            0.0          0.461          0.218            9.8          0.187           64.2         7921.7          0.711          1.000          1.000          0.989         40.023          275.9
     27/02/1954           1954             58          1.124         38.277          952.9          281.9          619.9        408.596            0.0          0.477          0.330           10.0          0.282           64.0         7921.3          0.801          1.000          1.000          1.000         40.023          302.0
     28/02/1954           1954             59          1.126         45.014          969.5          291.7          608.3        419.908            0.0          0.498          0.413           10.0          0.370           63.7         7920.7          0.918          1.000          1.000          0.888         40.023          336.3
     01/03/1954           1954             60          1.128         44.590          990.8          303.5          596.9        431.086            0.0          0.520          0.410            9.9          0.364           63.3         7919.9          0.899          1.000          1.000          0.881         40.023          377.5
