ApsimVersion = 7.10
Title = Wether in pasture crop rotation_WheatPaddock_DailyOutput.out
             Date          biomass    green_biomass animals_paddock[1] animals_paddock[2] animals_paddock[3]        cover_tot  surfaceom_cover
     (dd/MM/yyyy)          (kg/ha)          (kg/ha)                 ()                 ()                 ()               ()        (m^2/m^2)
       16/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       17/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       18/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       19/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       20/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       21/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       22/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       23/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       24/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       25/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       26/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       27/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       28/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       29/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       30/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       31/03/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       01/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       02/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       03/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       04/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       05/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       06/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       07/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       08/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       09/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       10/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       11/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.19
       12/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.18
       13/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.17
       14/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.17
       15/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.17
       16/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.16
       17/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.16
       18/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.16
       19/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.16
       20/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.15
       21/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.15
       22/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.15
       23/04/1990             0.00             0.00                  ?                  ?                  ?             0.00             0.14
