ApsimVersion = 7.10
Title = Wether in pasture crop rotation_WheatPaddock_DailyOutput.out
             Date          biomass    green_biomass animals_paddock[1] animals_paddock[2] animals_paddock[3]        cover_tot  surfaceom_cover
     (dd/MM/yyyy)          (kg/ha)          (kg/ha)                 ()                 ()                 ()               ()        (m^2/m^2)
       04/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       05/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       06/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       07/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       08/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       09/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       10/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       11/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       12/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       13/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       14/03/1991             0.00             0.00            feedlot                  ?                  ?             0.00             0.98
       15/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       16/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       17/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       18/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       19/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       20/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       21/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       22/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       23/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       24/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       25/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       26/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       27/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       28/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       29/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       30/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       31/03/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       01/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       02/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       03/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       04/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       05/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       06/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       07/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       08/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       09/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       10/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       11/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       12/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       13/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       14/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       15/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       16/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       17/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       18/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       19/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       20/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       21/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       22/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       23/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       24/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       25/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       26/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       27/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       28/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       29/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       30/04/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       01/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       02/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       03/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       04/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       05/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.98
       06/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.97
       07/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.97
       08/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.97
       09/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.97
       10/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.97
       11/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.97
       12/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.97
       13/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.97
       14/05/1991             0.00             0.00                  ?                  ?                  ?             0.00             0.97
       15/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       16/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       17/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       18/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       19/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       20/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       21/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       22/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       23/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       24/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       25/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       26/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       27/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       28/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       29/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       30/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       31/05/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       01/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       02/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       03/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       04/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       05/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       06/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.97
       07/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.83
       08/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.83
       09/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.83
       10/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.83
       11/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.82
       12/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.82
       13/06/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.82
       14/06/1991             4.60             4.60     pasturepaddock                  ?                  ?             0.01             0.82
       15/06/1991             4.97             4.97     pasturepaddock                  ?                  ?             0.01             0.82
       16/06/1991             5.99             5.99     pasturepaddock                  ?                  ?             0.01             0.81
       17/06/1991             6.95             6.95     pasturepaddock                  ?                  ?             0.01             0.81
       18/06/1991             7.61             7.61     pasturepaddock                  ?                  ?             0.01             0.81
       19/06/1991             8.53             8.53     pasturepaddock                  ?                  ?             0.01             0.81
       20/06/1991             8.99             8.99     pasturepaddock                  ?                  ?             0.01             0.81
       21/06/1991             9.99             9.99     pasturepaddock                  ?                  ?             0.01             0.80
       22/06/1991            11.68            11.68     pasturepaddock                  ?                  ?             0.02             0.80
       23/06/1991            12.84            12.84     pasturepaddock                  ?                  ?             0.02             0.80
       24/06/1991            13.66            13.66     pasturepaddock                  ?                  ?             0.02             0.80
       25/06/1991            14.94            14.94     pasturepaddock                  ?                  ?             0.02             0.79
       26/06/1991            16.52            16.52     pasturepaddock                  ?                  ?             0.02             0.79
       27/06/1991            18.88            18.88     pasturepaddock                  ?                  ?             0.02             0.79
       28/06/1991            21.79            21.79     pasturepaddock                  ?                  ?             0.02             0.79
       29/06/1991            23.54            23.54     pasturepaddock                  ?                  ?             0.03             0.78
       30/06/1991            24.64            24.64     pasturepaddock                  ?                  ?             0.03             0.78
       01/07/1991            27.00            27.00     pasturepaddock                  ?                  ?             0.03             0.78
       02/07/1991            30.12            30.12     pasturepaddock                  ?                  ?             0.03             0.78
       03/07/1991            34.23            34.23     pasturepaddock                  ?                  ?             0.03             0.78
       04/07/1991            35.89            35.89     pasturepaddock                  ?                  ?             0.03             0.78
       05/07/1991            38.04            38.04     pasturepaddock                  ?                  ?             0.04             0.77
       06/07/1991            40.69            40.69     pasturepaddock                  ?                  ?             0.04             0.77
       07/07/1991            42.94            42.94     pasturepaddock                  ?                  ?             0.04             0.77
       08/07/1991            44.56            44.56     pasturepaddock                  ?                  ?             0.04             0.77
       09/07/1991            47.65            47.65     pasturepaddock                  ?                  ?             0.04             0.77
       10/07/1991            50.08            50.08     pasturepaddock                  ?                  ?             0.05             0.76
       11/07/1991            51.45            51.45     pasturepaddock                  ?                  ?             0.05             0.76
       12/07/1991            55.25            55.25     pasturepaddock                  ?                  ?             0.05             0.76
       13/07/1991            56.50            56.50     pasturepaddock                  ?                  ?             0.05             0.76
       14/07/1991            57.80            57.80     pasturepaddock                  ?                  ?             0.05             0.76
       15/07/1991            63.99            63.99     pasturepaddock                  ?                  ?             0.06             0.76
       16/07/1991            69.53            69.53     pasturepaddock                  ?                  ?             0.06             0.76
       17/07/1991            71.65            71.61     pasturepaddock                  ?                  ?             0.06             0.76
       18/07/1991            76.40            76.29     pasturepaddock                  ?                  ?             0.07             0.75
       19/07/1991            86.16            85.94     pasturepaddock                  ?                  ?             0.07             0.75
       20/07/1991            93.87            93.56     pasturepaddock                  ?                  ?             0.08             0.75
       21/07/1991            96.50            96.12     pasturepaddock                  ?                  ?             0.08             0.75
       22/07/1991            99.50            99.04     pasturepaddock                  ?                  ?             0.08             0.75
       23/07/1991           106.06           105.53     pasturepaddock                  ?                  ?             0.09             0.75
       24/07/1991           113.25           112.63     pasturepaddock                  ?                  ?             0.09             0.75
       25/07/1991           118.70           118.01     pasturepaddock                  ?                  ?             0.10             0.75
       26/07/1991           122.96           122.21     pasturepaddock                  ?                  ?             0.10             0.75
       27/07/1991           127.31           126.47     pasturepaddock                  ?                  ?             0.10             0.75
       28/07/1991           133.65           132.71     pasturepaddock                  ?                  ?             0.11             0.75
       29/07/1991           144.22           143.13     pasturepaddock                  ?                  ?             0.11             0.75
       30/07/1991           149.77           148.56     pasturepaddock                  ?                  ?             0.12             0.74
       31/07/1991           154.70           153.36     pasturepaddock                  ?                  ?             0.12             0.74
       01/08/1991           159.92           158.46     pasturepaddock                  ?                  ?             0.13             0.74
       02/08/1991           172.43           170.86     pasturepaddock                  ?                  ?             0.13             0.74
       03/08/1991           192.25           190.50     pasturepaddock                  ?                  ?             0.15             0.74
       04/08/1991           214.07           212.11     pasturepaddock                  ?                  ?             0.16             0.74
       05/08/1991           220.07           217.87     pasturepaddock                  ?                  ?             0.17             0.74
       06/08/1991           238.29           235.88     pasturepaddock                  ?                  ?             0.18             0.73
       07/08/1991           255.82           253.19     pasturepaddock                  ?                  ?             0.19             0.73
       08/08/1991           273.02           270.19     pasturepaddock                  ?                  ?             0.20             0.73
       09/08/1991           281.23           278.26     pasturepaddock                  ?                  ?             0.21             0.73
       10/08/1991           297.51           294.34     pasturepaddock                  ?                  ?             0.22             0.73
       11/08/1991           315.53           312.16     pasturepaddock                  ?                  ?             0.23             0.73
       12/08/1991           330.67           327.05     pasturepaddock                  ?                  ?             0.24             0.73
       13/08/1991           368.38           364.45     pasturepaddock                  ?                  ?             0.26             0.73
       14/08/1991           394.23           390.08     pasturepaddock                  ?                  ?             0.27             0.73
       15/08/1991           412.38           407.95     pasturepaddock                  ?                  ?             0.28             0.73
       16/08/1991           442.64           438.01     pasturepaddock                  ?                  ?             0.30             0.73
       17/08/1991           474.56           469.71     pasturepaddock                  ?                  ?             0.32             0.73
       18/08/1991           520.74           515.65     pasturepaddock                  ?                  ?             0.34             0.73
       19/08/1991           575.29           569.91     pasturepaddock                  ?                  ?             0.37             0.73
       20/08/1991           622.32           616.60     pasturepaddock                  ?                  ?             0.39             0.73
       21/08/1991           664.58           658.53     pasturepaddock                  ?                  ?             0.41             0.72
       22/08/1991           716.62           710.23     pasturepaddock                  ?                  ?             0.44             0.72
       23/08/1991           759.50           752.67     pasturepaddock                  ?                  ?             0.45             0.72
       24/08/1991           801.59           794.47     pasturepaddock                  ?                  ?             0.47             0.72
       25/08/1991           853.25           845.56     pasturepaddock                  ?                  ?             0.49             0.72
       26/08/1991           924.46           915.50     pasturepaddock                  ?                  ?             0.52             0.72
       27/08/1991          1014.47          1004.06     pasturepaddock                  ?                  ?             0.55             0.72
       28/08/1991          1053.49          1041.55     pasturepaddock                  ?                  ?             0.56             0.72
       29/08/1991          1120.82          1107.56     pasturepaddock                  ?                  ?             0.58             0.72
       30/08/1991          1171.95          1157.35     pasturepaddock                  ?                  ?             0.60             0.72
       31/08/1991          1238.74          1222.84     pasturepaddock                  ?                  ?             0.62             0.72
       01/09/1991          1315.12          1298.13       wheatpaddock                  ?                  ?             0.64             0.72
       02/09/1991          1393.79          1375.49       wheatpaddock                  ?                  ?             0.65             0.71
       03/09/1991          1533.54          1513.26       wheatpaddock                  ?                  ?             0.68             0.71
       04/09/1991          1678.61          1656.45       wheatpaddock                  ?                  ?             0.71             0.71
       05/09/1991          1834.88          1810.47     pasturepaddock                  ?                  ?             0.73             0.71
       06/09/1991          2014.19          1986.91     pasturepaddock                  ?                  ?             0.75             0.71
       07/09/1991          2192.20          2162.02     pasturepaddock                  ?                  ?             0.77             0.70
       08/09/1991          2285.99          2252.34     pasturepaddock                  ?                  ?             0.78             0.70
       09/09/1991          2440.56          2404.02     pasturepaddock                  ?                  ?             0.79             0.70
       10/09/1991          2506.71          2467.80     pasturepaddock                  ?                  ?             0.79             0.70
       11/09/1991          2581.94          2540.49     pasturepaddock                  ?                  ?             0.80             0.70
       12/09/1991          2707.51          2664.12     pasturepaddock                  ?                  ?             0.81             0.69
       13/09/1991          2811.09          2765.87     pasturepaddock                  ?                  ?             0.81             0.69
       14/09/1991          2932.09          2883.59     pasturepaddock                  ?                  ?             0.82             0.69
       15/09/1991          3060.04          3007.68     pasturepaddock                  ?                  ?             0.82             0.69
       16/09/1991          3155.53          3098.96     pasturepaddock                  ?                  ?             0.82             0.69
       17/09/1991          3244.29          3184.39     pasturepaddock                  ?                  ?             0.83             0.69
       18/09/1991          3317.57          3253.95     pasturepaddock                  ?                  ?             0.83             0.69
       19/09/1991          3458.51          3391.77     pasturepaddock                  ?                  ?             0.83             0.69
       20/09/1991          3603.26          3533.95     pasturepaddock                  ?                  ?             0.83             0.69
       21/09/1991          3715.94          3643.36     pasturepaddock                  ?                  ?             0.83             0.68
       22/09/1991          3885.09          3809.57     pasturepaddock                  ?                  ?             0.84             0.68
       23/09/1991          4046.25          3968.16     pasturepaddock                  ?                  ?             0.84             0.68
       24/09/1991          4202.86          4121.55     pasturepaddock                  ?                  ?             0.84             0.68
       25/09/1991          4311.81          4225.39     pasturepaddock                  ?                  ?             0.84             0.68
       26/09/1991          4438.67          4345.55     pasturepaddock                  ?                  ?             0.84             0.68
       27/09/1991          4617.35          4519.93     pasturepaddock                  ?                  ?             0.84             0.68
       28/09/1991          4770.88          4669.07     pasturepaddock                  ?                  ?             0.84             0.68
       29/09/1991          4908.51          4801.55     pasturepaddock                  ?                  ?             0.84             0.68
       30/09/1991          5096.83          4984.45     pasturepaddock                  ?                  ?             0.83             0.67
       01/10/1991          5285.42          5167.13     pasturepaddock                  ?                  ?             0.83             0.67
       02/10/1991          5433.81          5308.46     pasturepaddock                  ?                  ?             0.83             0.67
       03/10/1991          5636.33          5503.35     pasturepaddock                  ?                  ?             0.83             0.67
       04/10/1991          5810.01          5656.16     pasturepaddock                  ?                  ?             0.83             0.66
       05/10/1991          6001.61          5836.31     pasturepaddock                  ?                  ?             0.83             0.66
       06/10/1991          6126.43          5961.13     pasturepaddock                  ?                  ?             0.83             0.66
       07/10/1991          6348.59          6183.25     pasturepaddock                  ?                  ?             0.83             0.65
       08/10/1991          6562.69          6389.54     pasturepaddock                  ?                  ?             0.83             0.65
       09/10/1991          6795.00          6614.29     pasturepaddock                  ?                  ?             0.83             0.65
       10/10/1991          7007.50          6819.01     pasturepaddock                  ?                  ?             0.83             0.64
       11/10/1991          7222.67          7025.39     pasturepaddock                  ?                  ?             0.83             0.64
       12/10/1991          7401.42          7175.54     pasturepaddock                  ?                  ?             0.82             0.64
       13/10/1991          7584.98          7333.27     pasturepaddock                  ?                  ?             0.82             0.64
       14/10/1991          7738.89          7445.69     pasturepaddock                  ?                  ?             0.82             0.63
       15/10/1991          7875.69          7532.89     pasturepaddock                  ?                  ?             0.81             0.63
       16/10/1991          8063.93          7721.12     pasturepaddock                  ?                  ?             0.81             0.63
       17/10/1991          8247.63          7878.01     pasturepaddock                  ?                  ?             0.81             0.63
       18/10/1991          8396.06          7983.84     pasturepaddock                  ?                  ?             0.81             0.63
       19/10/1991          8529.33          8073.02     pasturepaddock                  ?                  ?             0.80             0.62
       20/10/1991          8644.05          8145.39     pasturepaddock                  ?                  ?             0.80             0.62
       21/10/1991          8731.67          8233.01     pasturepaddock                  ?                  ?             0.80             0.62
       22/10/1991          8900.95          8372.15     pasturepaddock                  ?                  ?             0.80             0.62
       23/10/1991          9020.33          8446.26     pasturepaddock                  ?                  ?             0.79             0.62
       24/10/1991          9159.31          8555.28     pasturepaddock                  ?                  ?             0.79             0.62
       25/10/1991          9339.49          8735.45     pasturepaddock                  ?                  ?             0.79             0.61
       26/10/1991          9501.60          8891.87     pasturepaddock                  ?                  ?             0.79             0.61
       27/10/1991          9649.89          9032.26     pasturepaddock                  ?                  ?             0.79             0.61
       28/10/1991          9768.86          9145.69     pasturepaddock                  ?                  ?             0.79             0.60
       29/10/1991          9857.03          9227.02     pasturepaddock                  ?                  ?             0.79             0.60
       30/10/1991          9927.27          9297.27     pasturepaddock                  ?                  ?             0.79             0.60
       31/10/1991          9984.70          9354.69     pasturepaddock                  ?                  ?             0.79             0.60
       01/11/1991         10038.26          9408.25     pasturepaddock                  ?                  ?             0.79             0.60
       02/11/1991         10080.13          9450.12     pasturepaddock                  ?                  ?             0.79             0.59
       03/11/1991         10094.25          9464.24     pasturepaddock                  ?                  ?             0.79             0.59
       04/11/1991         10119.05          9489.05     pasturepaddock                  ?                  ?             0.79             0.59
       05/11/1991         10146.76          9516.76     pasturepaddock                  ?                  ?             0.79             0.59
       06/11/1991         10162.91          9532.90     pasturepaddock                  ?                  ?             0.79             0.58
       07/11/1991         10182.39          9552.39     pasturepaddock                  ?                  ?             0.79             0.58
       08/11/1991         10201.44          9566.70     pasturepaddock                  ?                  ?             0.78             0.58
       09/11/1991         10218.68          9567.95     pasturepaddock                  ?                  ?             0.78             0.58
       10/11/1991         10236.13          9570.75     pasturepaddock                  ?                  ?             0.78             0.58
       11/11/1991         10252.20          9571.08     pasturepaddock                  ?                  ?             0.78             0.58
       12/11/1991         10266.96          9568.83     pasturepaddock                  ?                  ?             0.78             0.58
       13/11/1991         10282.47          9558.41     pasturepaddock                  ?                  ?             0.77             0.58
       14/11/1991         10295.35          9534.29     pasturepaddock                  ?                  ?             0.77             0.58
       15/11/1991         10302.50          9502.00     pasturepaddock                  ?                  ?             0.77             0.58
       16/11/1991         10314.78          9475.26     pasturepaddock                  ?                  ?             0.76             0.58
       17/11/1991         10326.36          9451.35     pasturepaddock                  ?                  ?             0.76             0.58
       18/11/1991         10337.06          9422.72     pasturepaddock                  ?                  ?             0.75             0.58
       19/11/1991         10344.47          9371.94     pasturepaddock                  ?                  ?             0.74             0.58
       20/11/1991         10351.66          9339.46     pasturepaddock                  ?                  ?             0.74             0.57
       21/11/1991         10359.22          9307.36     pasturepaddock                  ?                  ?             0.73             0.57
       22/11/1991         10365.71          9276.23     pasturepaddock                  ?                  ?             0.73             0.57
       23/11/1991         10370.56          9238.01     pasturepaddock                  ?                  ?             0.72             0.57
       24/11/1991         10374.51          9192.07     pasturepaddock                  ?                  ?             0.72             0.57
       25/11/1991         10377.18          9141.35     pasturepaddock                  ?                  ?             0.71             0.57
       26/11/1991         10378.77          9088.57     pasturepaddock                  ?                  ?             0.70             0.57
       27/11/1991         10379.71          9058.94     pasturepaddock                  ?                  ?             0.70             0.57
       28/11/1991         10379.71          9049.90     pasturepaddock                  ?                  ?             0.69             0.57
       29/11/1991         10379.71          8909.02     pasturepaddock                  ?                  ?             0.67             0.57
       30/11/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       01/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       02/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       03/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       04/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       05/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       06/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       07/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       08/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       09/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       10/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       11/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       12/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       13/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       14/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       15/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       16/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       17/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       18/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       19/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       20/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       21/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       22/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       23/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       24/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       25/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       26/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       27/12/1991             0.00             0.00       wheatpaddock                  ?                  ?             0.00             0.99
       28/12/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       29/12/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       30/12/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       31/12/1991             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       01/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       02/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       03/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       04/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       05/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       06/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       07/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       08/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       09/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
       10/01/1992             0.00             0.00     pasturepaddock                  ?                  ?             0.00             0.99
