ApsimVersion = 7.10
Title = Wether in pasture crop rotation_Monthly.out
           Date     number_all   Deaths_total Sale_number[1] Sale_weight[1]     Sale_CS[1]   Purchased[1] Purchased_weight[1] Purchased_CS[1]  Culls_sold[1] Culls_weight[1]     Cull_CS[1] Number_shorn[1] ShornFleece_(greasy_kg)[1] ShornFibre(micron)[1]
   (dd/MM/yyyy)             ()            (-)             ()             ()             ()             ()                  ()              ()             ()              ()             ()              ()                         ()                    ()
     01/01/1990           1975              0           1766          69.74            3.2              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/02/1990            209              1             16          62.52            2.7              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/03/1990            192              0            192          47.08            2.1              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/04/1990              0              0              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/05/1990              0              0              0           0.00            0.0           2000               45.00             2.5              0            0.00            0.0               0                       0.00                   0.0
     01/06/1990           2000              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/07/1990           1996              6              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/08/1990           1991              5              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/09/1990           1985              4              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0            1983                       2.10                  26.7
     01/10/1990           1982              2              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/11/1990           1980              5              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/12/1990           1975              1           1666          67.56            3.4              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/01/1991            308              0             77          62.86            3.4              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/02/1991            231              2              9          62.27            3.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/03/1991            220              2            218          44.34            2.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/04/1991              0              0              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/05/1991              0              4              0           0.00            0.0           2000               45.00             2.5              0            0.00            0.0               0                       0.00                   0.0
     01/06/1991           1995              5              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/07/1991           1991              1              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/08/1991           1990              4              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/09/1991           1985              2              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0            1985                       2.01                  26.6
     01/10/1991           1984              5              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/11/1991           1979              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/12/1991           1976              2           1669          68.24            3.5              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/01/1992            305              0             54          62.58            3.1              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/02/1992            251              0              8          62.08            2.8              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/03/1992            243              0            243          44.93            2.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/04/1992              0              0              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/05/1992              0              3              0           0.00            0.0           2000               45.00             2.5              0            0.00            0.0               0                       0.00                   0.0
     01/06/1992           1996              4              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/07/1992           1993              4              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/08/1992           1989              4              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/09/1992           1985              1              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0            1985                       1.91                  26.3
     01/10/1992           1984              2              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/11/1992           1982              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/12/1992           1978              2           1919          72.71            4.1              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/01/1993             58              0             14          63.60            4.1              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/02/1993             44              0              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/03/1993             44              0             44          44.85            2.6              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/04/1993              0              0              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/05/1993              0              3              0           0.00            0.0           2000               45.00             2.5              0            0.00            0.0               0                       0.00                   0.0
     01/06/1993           1997              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/07/1993           1994              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/08/1993           1991              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/09/1993           1988              6              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0            1987                       2.01                  26.5
     01/10/1993           1982              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/11/1993           1979              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/12/1993           1976              2           1704          68.64            3.5              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/01/1994            270              0             50          62.80            3.2              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/02/1994            220              0              7          62.61            2.8              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/03/1994            213              0            213          44.48            2.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/04/1994              0              0              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/05/1994              0              2              0           0.00            0.0           2000               45.00             2.5              0            0.00            0.0               0                       0.00                   0.0
     01/06/1994           1998              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/07/1994           1995              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/08/1994           1992              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/09/1994           1989              2              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0            1989                       2.11                  26.7
     01/10/1994           1987              2              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/11/1994           1985              5              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/12/1994           1980              0           1939          74.12            4.3              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/01/1995             41              0              8          62.58            4.2              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/02/1995             33              0              1          66.04            3.8              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/03/1995             32              0             32          44.73            2.7              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/04/1995              0              0              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/05/1995              0              2              0           0.00            0.0           2000               45.00             2.5              0            0.00            0.0               0                       0.00                   0.0
     01/06/1995           1998              5              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/07/1995           1993              4              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/08/1995           1989              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/09/1995           1985              6              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0            1983                       1.99                  26.5
     01/10/1995           1980              5              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/11/1995           1975              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/12/1995           1972              2           1442          65.80            3.1              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/01/1996            528              0            143          63.05            3.1              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/02/1996            385              2             16          61.83            2.7              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/03/1996            367              1            366          45.50            2.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/04/1996              0              0              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/05/1996              0              1              0           0.00            0.0           2000               45.00             2.5              0            0.00            0.0               0                       0.00                   0.0
     01/06/1996           1999              4              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/07/1996           1995              6              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/08/1996           1989              4              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/09/1996           1985              3              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0            1982                       2.10                  26.7
     01/10/1996           1982              1              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/11/1996           1981              2              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/12/1996           1979              1           1875          71.96            4.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/01/1997            103              1              5          61.19            3.1              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/02/1997             97              0              1          64.11            2.9              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/03/1997             96              0             96          43.44            2.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/04/1997              0              0              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/05/1997              0              3              0           0.00            0.0           2000               45.00             2.5              0            0.00            0.0               0                       0.00                   0.0
     01/06/1997           1997              2              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
     01/07/1997           1994              4              0           0.00            0.0              0                0.00             0.0              0            0.00            0.0               0                       0.00                   0.0
