ApsimVersion = 7.4
Title = Wheat Grazing
           Date    LeafGreenWt    StemGreenWt   paddockState            alw  stocking_rate      acc_eaten
   (dd/mm/yyyy)        (g/m^2)        (g/m^2)             ()           (kg)    (beasts/ha)        (kg/ha)
     20/09/1988          16.84         127.56        stocked        408.406          0.800          197.6
     21/09/1988          16.30         130.44        stocked        408.752          0.800          203.9
     22/09/1988          15.74         132.89        stocked        409.098          0.800          210.2
     23/09/1988          15.16         134.58        stocked        409.444          0.800          216.5
     24/09/1988          14.56         135.75        stocked        409.789          0.800          222.9
     25/09/1988          13.96         137.28        stocked        410.134          0.800          229.2
     26/09/1988          13.36         136.35        stocked        410.479          0.800          235.5
     27/09/1988          12.75         134.07        stocked        410.823          0.800          241.8
     28/09/1988          12.12         132.09        stocked        411.167          0.800          248.2
     29/09/1988          11.53         131.08        stocked        411.510          0.800          254.5
     30/09/1988          10.86         128.64        stocked        411.853          0.800          260.8
     01/10/1988          10.24         126.01        stocked        412.195          0.800          267.2
     02/10/1988           9.69         124.70        stocked        412.537          0.800          273.5
     03/10/1988           9.14         123.13        stocked        412.878          0.800          279.8
     04/10/1988           8.51         120.15        stocked        413.219          0.800          286.2
     05/10/1988           7.98         115.69        stocked        413.560          0.800          292.5
     06/10/1988           7.41         111.43        stocked        413.900          0.800          298.9
     07/10/1988           6.81         108.14        stocked        414.239          0.800          305.2
     08/10/1988           6.24         104.73        stocked        414.578          0.800          311.6
     09/10/1988           5.65         100.70        stocked        414.916          0.800          317.9
     10/10/1988           5.11          97.09        stocked        415.254          0.800          324.3
     11/10/1988           4.63          93.75        stocked        415.591          0.800          330.6
     12/10/1988           4.08          89.29        stocked        415.927          0.800          337.0
     13/10/1988           3.49          83.92        stocked        416.262          0.800          343.3
     14/10/1988           2.92          82.54        stocked        416.597          0.800          349.7
     15/10/1988           2.63          82.02        stocked        416.931          0.800          356.0
     16/10/1988           2.53          81.49        stocked        417.265          0.800          362.4
     17/10/1988           2.44          80.96        stocked        417.597          0.800          368.7
     18/10/1988           2.35          80.43        stocked        417.929          0.800          375.1
     19/10/1988           2.26          79.89        stocked        418.261          0.800          381.4
     20/10/1988           2.18          80.31        stocked        418.591          0.800          387.8
     21/10/1988           2.09          79.77        stocked        418.921          0.800          394.1
     22/10/1988           2.01          79.22        stocked        419.250          0.800          400.5
     23/10/1988           0.00           0.00        stocked        418.192          0.800          400.5
     24/10/1988           0.00           0.00        stocked        417.134          0.800          400.5
     25/10/1988           0.00           0.00        stocked        416.076          0.800          400.5
     26/10/1988           0.00           0.00        stocked        415.018          0.800          400.5
     27/10/1988           0.00           0.00        stocked        413.960          0.800          400.5
     28/10/1988           0.00           0.00        stocked        412.902          0.800          400.5
     29/10/1988           0.00           0.00        stocked        411.844          0.800          400.5
     30/10/1988           0.00           0.00        stocked        410.785          0.800          400.5
     31/10/1988           0.00           0.00        stocked        409.727          0.800          400.5
     01/11/1988           0.00           0.00        stocked        408.669          0.800          400.5
     02/11/1988           0.00           0.00        stocked        407.611          0.800          400.5
     03/11/1988           0.00           0.00        stocked        406.553          0.800          400.5
     04/11/1988           0.00           0.00        stocked        405.495          0.800          400.5
     05/11/1988           0.00           0.00        stocked        404.437          0.800          400.5
     06/11/1988           0.00           0.00        stocked        403.379          0.800          400.5
     07/11/1988           0.00           0.00        stocked        402.321          0.800          400.5
     08/11/1988           0.00           0.00        stocked        401.263          0.800          400.5
     09/11/1988           0.00           0.00        stocked        400.205          0.800          400.5
     10/11/1988           0.00           0.00        stocked        399.147          0.800          400.5
     11/11/1988           0.00           0.00        stocked        398.089          0.800          400.5
     12/11/1988           0.00           0.00        stocked        397.031          0.800          400.5
     13/11/1988           0.00           0.00        stocked        395.973          0.800          400.5
     14/11/1988           0.00           0.00        stocked        394.915          0.800          400.5
     15/11/1988           0.00           0.00        stocked        393.857          0.800          400.5
     16/11/1988           0.00           0.00        stocked        392.799          0.800          400.5
     17/11/1988           0.00           0.00        stocked        391.741          0.800          400.5
