ApsimVersion = 7.4
Title = Kilmore_Buffel
           Date       cull_lwg       bull_lwg       p1Growth       p2Growth       p3Growth       p4Growth
   (dd/mm/yyyy)             ()             ()        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)
     31/12/1957              ?              ?              ?              ?              ?              ?
     31/12/1958         44.032         57.691         264.31         199.93         262.55         198.62
     31/12/1959        115.161        146.890         352.66         242.16         342.33         231.85
     31/12/1960        126.515        145.933         121.70         104.10         111.41          98.54
     31/12/1961        135.784        150.029         439.26         186.77         426.23         162.10
     31/12/1962        110.175        145.435         432.96         303.27         428.71         300.23
     31/12/1963        104.336        120.210         363.21         229.20         350.69         206.86
     31/12/1964        121.304        143.593         295.22         229.56         285.24         210.30
     31/12/1965        127.385        131.195         155.67          92.88         147.03          84.30
     31/12/1966        141.013        155.870         161.05         116.27         158.17         107.08
     31/12/1967        141.810        153.672         124.21         104.04         122.68          97.46
     31/12/1968        134.889        151.208         245.85         167.64         238.98         152.71
     31/12/1969        139.928        140.574         238.97         123.12         237.50         114.94
     31/12/1970        130.561        157.154         319.65         202.33         312.66         184.41
     31/12/1971        119.097        149.901         514.87         276.57         508.45         254.67
     31/12/1972        121.161        133.259         183.77         114.80         174.99         110.46
     31/12/1973        137.236        153.339         305.27         218.86         286.40         186.92
     31/12/1974        128.949        140.905         162.49         113.80         157.57         104.40
     31/12/1975        138.977        155.004         389.15         260.76         365.01         203.45
     31/12/1976        107.626        142.522         517.71         328.78         505.28         317.07
     31/12/1977        108.382        137.315         365.56         264.88         360.72         243.25
     31/12/1978        115.994        126.983         299.41         170.84         272.62         153.10
     31/12/1979        134.858        149.766         199.08         160.01         193.37         142.13
     31/12/1980        140.208        143.506         115.31          88.72         110.23          82.56
     31/12/1981        145.577        157.964         304.96         177.83         301.18         156.20
     31/12/1982        109.980        144.625         268.40         231.90         264.09         215.41
     31/12/1983        123.646        145.552         614.91         325.45         599.06         266.16
     31/12/1984        117.620        152.839         447.31         344.54         440.69         348.43
     31/12/1985        117.441        135.662         216.59         163.16         205.01         143.95
     31/12/1986        133.561        141.106         263.02         150.82         248.63         130.08
     31/12/1987        139.633        156.153         268.44         184.36         256.04         158.98
