ApsimVersion = 7.6
Title = Wheat Lucerne Rotation
           Date       whtYield lucerneBiomass            alw  stocking_rate
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (kg)    (beasts/ha)
     01/12/1948            0.0            0.0          0.000          0.000
     01/01/1949            0.0            0.0          0.000          0.000
     01/02/1949            0.0          186.4          0.000          0.000
     01/03/1949            0.0         2161.3          0.000          0.000
     01/04/1949            0.0         2998.8        200.384          0.400
     01/05/1949            0.0         2993.7        210.311          0.400
     01/06/1949            0.0         2581.2        219.280          0.400
     01/07/1949            0.0         2373.4        220.095          0.400
     01/08/1949            0.0         1346.2        220.753          0.400
     01/09/1949            0.0          544.6        221.018          0.400
     01/10/1949            0.0          287.9        227.036          0.400
     01/11/1949            0.0         1219.2        232.208          0.400
     01/12/1949            0.0         1700.4        241.730          0.400
     01/01/1950            0.0         1351.2        265.031          0.400
     01/02/1950            0.0         1156.6        287.434          0.400
     01/03/1950            0.0         2468.6        307.042          0.400
     01/04/1950            0.0         3070.6        317.880          0.400
     01/05/1950            0.0         2846.3        328.233          0.400
     01/06/1950            0.0         2264.3        338.439          0.400
     01/07/1950            0.0         2142.1        340.475          0.400
     01/08/1950            0.0         2255.1        342.481          0.400
     01/09/1950            0.0         2649.0        344.690          0.400
     01/10/1950            0.0         3025.6        354.444          0.400
     01/11/1950            0.0         3369.6        364.457          0.400
     01/12/1950            0.0            0.0        372.726          0.400
     01/01/1951            0.0            0.0          0.000          0.000
     01/02/1951            0.0            0.0          0.000          0.000
     01/03/1951            0.0            0.0          0.000          0.000
     01/04/1951            0.0            0.0          0.000          0.000
     01/05/1951            0.0            0.0          0.000          0.000
     01/06/1951            0.0            0.0          0.000          0.000
     01/07/1951            0.0            0.0          0.000          0.000
     01/08/1951            0.0            0.0          0.000          0.000
     01/09/1951            0.0            0.0          0.000          0.000
     01/10/1951         1228.6            0.0          0.000          0.000
     31/10/1951         5568.5            0.0          0.000          0.000
     01/11/1951            0.0            0.0          0.000          0.000
     01/12/1951            0.0            0.0          0.000          0.000
     01/01/1952            0.0            0.0          0.000          0.000
     01/02/1952            0.0            0.0          0.000          0.000
     01/03/1952            0.0           10.0          0.000          0.000
     01/04/1952            0.0          144.4          0.000          0.000
     01/05/1952            0.0         1788.9          0.000          0.000
     01/06/1952            0.0         2902.6        201.808          0.400
     01/07/1952            0.0         3082.2        203.801          0.400
     01/08/1952            0.0         2509.1        205.707          0.400
     01/09/1952            0.0         2657.0        207.825          0.400
     01/10/1952            0.0         3055.6        217.587          0.400
     01/11/1952            0.0         3112.1        227.724          0.400
     01/12/1952            0.0         2054.8        238.024          0.400
     01/01/1953            0.0         1788.1        261.308          0.400
     01/02/1953            0.0         1496.2        283.767          0.400
     01/03/1953            0.0         1466.6        302.991          0.400
     01/04/1953            0.0         2171.8        313.280          0.400
     01/05/1953            0.0         2398.9        323.161          0.400
     01/06/1953            0.0         2601.3        332.933          0.400
     01/07/1953            0.0         2745.0        334.669          0.400
     01/08/1953            0.0         2496.0        336.388          0.400
     01/09/1953            0.0         2578.3        338.322          0.400
     01/10/1953            0.0         2861.0        347.767          0.400
     01/11/1953            0.0         3172.0        357.480          0.400
     01/12/1953            0.0         3241.7        367.186          0.400
     01/01/1954            0.0         2686.9        390.563          0.400
     01/02/1954            0.0            0.0          0.000          0.000
     01/03/1954            0.0            0.0          0.000          0.000
     01/04/1954            0.0            0.0          0.000          0.000
     01/05/1954            0.0            0.0          0.000          0.000
     01/06/1954            0.0            0.0          0.000          0.000
     01/07/1954            0.0            0.0          0.000          0.000
     01/08/1954            0.0            0.0          0.000          0.000
     01/09/1954            0.0            0.0          0.000          0.000
     01/10/1954            0.0            0.0          0.000          0.000
     01/11/1954         4415.7            0.0          0.000          0.000
     07/11/1954         4415.7            0.0          0.000          0.000
     01/12/1954            0.0            0.0          0.000          0.000
     01/01/1955            0.0            0.0          0.000          0.000
     01/02/1955            0.0           10.2          0.000          0.000
     01/03/1955            0.0          149.5          0.000          0.000
     01/04/1955            0.0         2099.5          0.000          0.000
     01/05/1955            0.0         2591.2        202.302          0.400
     01/06/1955            0.0         2851.9        211.927          0.400
