ApsimVersion = 7.2
Title = Grass Grazing
           Date     green_pool      dead_pool   paddockState            alw  stocking_rate      acc_eaten
     18/07/1988            0.8            0.1          empty          0.000          0.000            0.0
     19/07/1988            0.8            0.1          empty          0.000          0.000            0.0
     20/07/1988            0.8            0.1          empty          0.000          0.000            0.0
     21/07/1988            1.2            0.1          empty          0.000          0.000            0.0
     22/07/1988            1.3            0.1          empty          0.000          0.000            0.0
     23/07/1988            1.3            0.1          empty          0.000          0.000            0.0
     24/07/1988            1.3            0.1          empty          0.000          0.000            0.0
     25/07/1988            1.3            0.1          empty          0.000          0.000            0.0
     26/07/1988            1.5            0.1          empty          0.000          0.000            0.0
     27/07/1988            1.5            0.1          empty          0.000          0.000            0.0
     28/07/1988            1.0            0.6          empty          0.000          0.000            0.0
     29/07/1988            1.0            0.6          empty          0.000          0.000            0.0
     30/07/1988            1.1            0.6          empty          0.000          0.000            0.0
     31/07/1988            1.1            0.6          empty          0.000          0.000            0.0
     01/08/1988            1.1            0.6          empty          0.000          0.000            0.0
     02/08/1988            1.2            0.6          empty          0.000          0.000            0.0
     03/08/1988            1.5            0.6          empty          0.000          0.000            0.0
     04/08/1988            1.7            0.6          empty          0.000          0.000            0.0
     05/08/1988            2.1            0.6          empty          0.000          0.000            0.0
     06/08/1988            2.3            0.6          empty          0.000          0.000            0.0
     07/08/1988            2.3            0.6          empty          0.000          0.000            0.0
     08/08/1988            2.3            0.6          empty          0.000          0.000            0.0
     09/08/1988            0.4            2.4        stocked        398.953          0.800            0.0
     10/08/1988            0.0            2.7        stocked        397.906          0.800            0.1
     11/08/1988            0.0            2.7        stocked        396.859          0.800            0.1
     12/08/1988            0.0            2.6        stocked        395.811          0.800            0.2
     13/08/1988            0.0            2.6        stocked        394.763          0.800            0.2
     14/08/1988            0.0            2.5        stocked        393.715          0.800            0.3
     15/08/1988            0.0            2.5        stocked        392.667          0.800            0.3
     16/08/1988            0.2            2.4        stocked        391.620          0.800            0.4
     17/08/1988            0.5            2.4        stocked        390.573          0.800            0.4
     18/08/1988            1.0            2.4        stocked        389.528          0.800            0.5
     19/08/1988            1.5            2.3        stocked        388.485          0.800            0.5
     20/08/1988            2.0            2.3        stocked        387.444          0.800            0.6
     21/08/1988            2.7            2.2        stocked        386.406          0.800            0.7
     22/08/1988            3.3            2.2        stocked        385.369          0.800            0.8
     23/08/1988            3.6            2.2        stocked        384.334          0.800            0.9
     24/08/1988            3.6            2.1        stocked        383.299          0.800            1.0
     25/08/1988            3.5            2.1        stocked        382.263          0.800            1.1
     26/08/1988            3.5            2.1        stocked        381.227          0.800            1.2
     27/08/1988            3.6            2.0        stocked        380.191          0.800            1.3
     28/08/1988            3.7            2.0        stocked        379.156          0.800            1.4
     29/08/1988            3.7            2.0        stocked        378.120          0.800            1.5
     30/08/1988            3.6            1.9        stocked        377.084          0.800            1.6
     31/08/1988            3.6            1.9        stocked        376.048          0.800            1.6
     01/09/1988            3.7            1.9        stocked        375.017          0.800            1.8
     02/09/1988            4.0            1.8        stocked        373.988          0.800            1.9
     03/09/1988            4.6            1.8        stocked        372.961          0.800            2.0
     04/09/1988            5.1            1.8        stocked        371.937          0.800            2.2
     05/09/1988            5.4            1.8        stocked        370.914          0.800            2.3
     06/09/1988            5.7            1.7        stocked        369.892          0.800            2.5
     07/09/1988            5.9            1.7        stocked        368.871          0.800            2.6
     08/09/1988            6.1            1.7        stocked        367.851          0.800            2.8
     09/09/1988            6.2            1.6        stocked        366.832          0.800            2.9
     10/09/1988            6.6            1.6        stocked        365.814          0.800            3.1
     11/09/1988            7.2            1.6        stocked        364.799          0.800            3.3
     12/09/1988            7.6            1.6        stocked        363.786          0.800            3.5
     13/09/1988            7.8            1.6        stocked        362.774          0.800            3.6
     14/09/1988            7.7            1.5        stocked        361.761          0.800            3.8
     15/09/1988            7.8            1.5        stocked        360.749          0.800            4.0
     16/09/1988            8.0            1.5        stocked        359.738          0.800            4.2
     17/09/1988            8.5            1.5        stocked        358.729          0.800            4.4
     18/09/1988            8.9            1.5        stocked        357.721          0.800            4.6
     19/09/1988            8.7            1.5        stocked        356.713          0.800            4.8
     20/09/1988            8.5            1.4        stocked        355.704          0.800            5.0
     21/09/1988            8.4            1.4        stocked        354.694          0.800            5.2
     22/09/1988            8.4            1.4        stocked        353.684          0.800            5.4
     23/09/1988            8.8            1.4        stocked        352.676          0.800            5.6
     24/09/1988            9.4            1.4        stocked        351.671          0.800            5.8
     25/09/1988           10.0            1.4        stocked        350.669          0.800            6.0
     26/09/1988           10.7            1.4        stocked        349.670          0.800            6.3
     27/09/1988           11.4            1.4        stocked        348.674          0.800            6.5
     28/09/1988           12.2            1.4        stocked        347.683          0.800            6.8
     29/09/1988           12.9            1.4        stocked        346.695          0.800            7.1
     30/09/1988           14.0            1.3        stocked        345.712          0.800            7.4
     01/10/1988           14.9            1.3        stocked        344.734          0.800            7.7
     02/10/1988           15.3            1.3        stocked        343.757          0.800            8.0
     03/10/1988           15.8            1.3        stocked        342.783          0.800            8.4
     04/10/1988           16.8            1.4        stocked        341.815          0.800            8.7
     05/10/1988           17.9            1.4        stocked        340.851          0.800            9.1
     06/10/1988           18.8            1.4        stocked        339.892          0.800            9.5
     07/10/1988           19.8            1.4        stocked        338.937          0.800            9.9
     08/10/1988           20.4            1.4        stocked        337.986          0.800           10.3
     09/10/1988           21.4            1.4        stocked        337.039          0.800           10.7
     10/10/1988           21.9            1.4        stocked        336.095          0.800           11.2
     11/10/1988           22.1            1.4        stocked        335.153          0.800           11.6
     12/10/1988           22.9            1.4        stocked        334.214          0.800           12.1
     13/10/1988           23.8            1.5        stocked        333.279          0.800           12.6
     14/10/1988           24.7            1.5        stocked        332.349          0.800           13.0
     15/10/1988           25.6            1.5        stocked        331.424          0.800           13.6
     16/10/1988           26.4            1.5        stocked        330.502          0.800           14.1
     17/10/1988           27.3            1.5        stocked        329.585          0.800           14.6
     18/10/1988           27.6            1.5        stocked        328.670          0.800           15.2
     19/10/1988           28.0            1.6        stocked        327.757          0.800           15.7
     20/10/1988           28.8            1.6        stocked        326.848          0.800           16.3
     21/10/1988           29.7            1.6        stocked        325.943          0.800           16.9
     22/10/1988           30.4            1.6        stocked        325.042          0.800           17.5
     23/10/1988           31.1            1.7        stocked        324.144          0.800           18.1
     24/10/1988           31.4            1.7        stocked        323.248          0.800           18.7
     25/10/1988           31.7            1.7        stocked        322.354          0.800           19.3
     26/10/1988           32.1            1.8        stocked        321.461          0.800           19.9
     27/10/1988           32.6            1.8        stocked        320.572          0.800           20.6
     28/10/1988           33.4            1.8        stocked        319.686          0.800           21.2
     29/10/1988           34.1            1.8        stocked        318.804          0.800           21.9
     30/10/1988           34.8            1.9        stocked        317.925          0.800           22.5
     31/10/1988           35.5            1.9        stocked        317.050          0.800           23.2
     01/11/1988           36.2            1.9        stocked        316.178          0.800           23.9
     02/11/1988           36.8            2.0        stocked        315.310          0.800           24.6
     03/11/1988           37.5            2.0        stocked        314.446          0.800           25.3
     04/11/1988           38.2            2.0        stocked        313.584          0.800           26.1
     05/11/1988           38.8            2.1        stocked        312.726          0.800           26.8
     06/11/1988           39.4            2.1        stocked        311.871          0.800           27.5
     07/11/1988           39.7            2.1        stocked        311.017          0.800           28.3
     08/11/1988           40.1            2.2        stocked        310.166          0.800           29.0
     09/11/1988           40.3            2.2        stocked        309.316          0.800           29.8
     10/11/1988           40.9            2.2        stocked        308.469          0.800           30.6
     11/11/1988           41.4            2.3        stocked        307.625          0.800           31.4
     12/11/1988           41.9            2.3        stocked        306.783          0.800           32.1
     13/11/1988           42.2            2.4        stocked        305.943          0.800           32.9
     14/11/1988           42.6            2.4        stocked        305.105          0.800           33.7
     15/11/1988           43.2            2.4        stocked        304.270          0.800           34.5
     16/11/1988           43.7            2.5        stocked        303.438          0.800           35.3
     17/11/1988           44.0            2.5        stocked        302.608          0.800           36.2
