dd/mm/yyyy,biomass,biomasserror
(dd/mm/yyyy),(g/m^2),(g/m^2)
17/04/2009,0,0
21/05/2009,33,11
23/06/2009,443,83
17/07/2009,922,116
12/08/2009,1604,232
1/09/2009,1550,238
29/10/2009,1718,167
2/12/2009,0,0
31/03/2010,0,0
16/04/2010,0,0
20/05/2010,175,60
18/06/2010,971,253
27/10/2010,2244,437
2/12/2010,0,0
31/03/2011,0,0
28/07/2011,2156,375
15/08/2011,2525,540
28/10/2011,2301,558
30/10/2012,2079,477
28/10/2013,2279,182
28/10/2014,2202,217
