ApsimVersion = 7.9
Title = Vensim
           Date            st1            sw1      daily_htt        sum_htt
   (dd/mm/yyyy)             ()             ()             ()             ()
     21/04/1988          0.000          0.000         20.000       2240.000
     22/04/1988          0.000          0.000         20.000       2260.000
     23/04/1988          0.000          0.000         20.000       2280.000
     24/04/1988          0.000          0.000         20.000       2300.000
     25/04/1988          0.000          0.000         20.000       2320.000
     26/04/1988          0.000          0.000         20.000       2340.000
     27/04/1988          0.000          0.000         20.000       2360.000
     28/04/1988          0.000          0.000         20.000       2380.000
     29/04/1988          0.000          0.000         20.000       2400.000
     30/04/1988          0.000          0.000         20.000       2420.000
     01/05/1988          0.000          0.000         20.000       2440.000
     02/05/1988          0.000          0.000         20.000       2460.000
     03/05/1988          0.000          0.000         20.000       2480.000
     04/05/1988          0.000          0.000         20.000       2500.000
     05/05/1988          0.000          0.000         20.000       2520.000
     06/05/1988          0.000          0.000         20.000       2540.000
     07/05/1988          0.000          0.000         20.000       2560.000
     08/05/1988          0.000          0.000         20.000       2580.000
     09/05/1988          0.000          0.000         20.000       2600.000
     10/05/1988          0.000          0.000         20.000       2620.000
     11/05/1988          0.000          0.000         20.000       2640.000
     12/05/1988          0.000          0.000         20.000       2660.000
     13/05/1988          0.000          0.000         20.000       2680.000
     14/05/1988          0.000          0.000         20.000       2700.000
     15/05/1988          0.000          0.000         20.000       2720.000
     16/05/1988          0.000          0.000         20.000       2740.000
     17/05/1988          0.000          0.000         20.000       2760.000
     18/05/1988          0.000          0.000         20.000       2780.000
     19/05/1988          0.000          0.000         20.000       2800.000
     20/05/1988          0.000          0.000         20.000       2820.000
     21/05/1988          0.000          0.000         20.000       2840.000
     22/05/1988          0.000          0.000         20.000       2860.000
     23/05/1988          0.000          0.000         20.000       2880.000
     24/05/1988          0.000          0.000         20.000       2900.000
     25/05/1988          0.000          0.000         20.000       2920.000
     26/05/1988          0.000          0.000         20.000       2940.000
     27/05/1988          0.000          0.000         20.000       2960.000
     28/05/1988          0.000          0.000         20.000       2980.000
     29/05/1988          0.000          0.000         20.000       3000.000
     30/05/1988          0.000          0.000         20.000       3020.000
     31/05/1988          0.000          0.000         20.000       3040.000
     01/06/1988          0.000          0.000         20.000       3060.000
     02/06/1988          0.000          0.000         20.000       3080.000
     03/06/1988          0.000          0.000         20.000       3100.000
     04/06/1988          0.000          0.000         20.000       3120.000
     05/06/1988          0.000          0.000         20.000       3140.000
     06/06/1988          0.000          0.000         20.000       3160.000
     07/06/1988          0.000          0.000         20.000       3180.000
     08/06/1988          0.000          0.000         20.000       3200.000
     09/06/1988          0.000          0.000         20.000       3220.000
     10/06/1988          0.000          0.000         20.000       3240.000
     11/06/1988          0.000          0.000         20.000       3260.000
     12/06/1988          0.000          0.000         20.000       3280.000
     13/06/1988          0.000          0.000         20.000       3300.000
     14/06/1988          0.000          0.000         20.000       3320.000
     15/06/1988          0.000          0.000         20.000       3340.000
     16/06/1988          0.000          0.000         20.000       3360.000
     17/06/1988          0.000          0.000         20.000       3380.000
     18/06/1988          0.000          0.000         20.000       3400.000
     19/06/1988          0.000          0.000         20.000       3420.000
     20/06/1988          0.000          0.000         20.000       3440.000
     21/06/1988          0.000          0.000         20.000       3460.000
     22/06/1988          0.000          0.000         20.000       3480.000
     23/06/1988          0.000          0.000         20.000       3500.000
     24/06/1988          0.000          0.000         20.000       3520.000
     25/06/1988          0.000          0.000         20.000       3540.000
     26/06/1988          0.000          0.000         20.000       3560.000
     27/06/1988          0.000          0.000         20.000       3580.000
     28/06/1988          0.000          0.000         20.000       3600.000
     29/06/1988          0.000          0.000         20.000       3620.000
     30/06/1988          0.000          0.000         20.000       3640.000
     01/07/1988          0.000          0.000         20.000       3660.000
     02/07/1988          0.000          0.000         20.000       3680.000
     03/07/1988          0.000          0.000         20.000       3700.000
     04/07/1988          0.000          0.000         20.000       3720.000
     05/07/1988          0.000          0.000         20.000       3740.000
     06/07/1988          0.000          0.000         20.000       3760.000
     07/07/1988          0.000          0.000         20.000       3780.000
     08/07/1988          0.000          0.000         20.000       3800.000
     09/07/1988          0.000          0.000         20.000       3820.000
     10/07/1988          0.000          0.000         20.000       3840.000
     11/07/1988          0.000          0.000         20.000       3860.000
     12/07/1988          0.000          0.000         20.000       3880.000
     13/07/1988          0.000          0.000         20.000       3900.000
     14/07/1988          0.000          0.000         20.000       3920.000
     15/07/1988          0.000          0.000         20.000       3940.000
     16/07/1988          0.000          0.000         20.000       3960.000
     17/07/1988          0.000          0.000         20.000       3980.000
     18/07/1988          0.000          0.000         20.000       4000.000
     19/07/1988          0.000          0.000         20.000       4020.000
     20/07/1988          0.000          0.000         20.000       4040.000
     21/07/1988          0.000          0.000         20.000       4060.000
     22/07/1988          0.000          0.000         20.000       4080.000
     23/07/1988          0.000          0.000         20.000       4100.000
     24/07/1988          0.000          0.000         20.000       4120.000
     25/07/1988          0.000          0.000         20.000       4140.000
     26/07/1988          0.000          0.000         20.000       4160.000
     27/07/1988          0.000          0.000         20.000       4180.000
     28/07/1988          0.000          0.000         20.000       4200.000
     29/07/1988          0.000          0.000         20.000       4220.000
     30/07/1988          0.000          0.000         20.000       4240.000
     31/07/1988          0.000          0.000         20.000       4260.000
     01/08/1988          0.000          0.000         20.000       4280.000
     02/08/1988          0.000          0.000         20.000       4300.000
     03/08/1988          0.000          0.000         20.000       4320.000
     04/08/1988          0.000          0.000         20.000       4340.000
     05/08/1988          0.000          0.000         20.000       4360.000
     06/08/1988          0.000          0.000         20.000       4380.000
     07/08/1988          0.000          0.000         20.000       4400.000
     08/08/1988          0.000          0.000         20.000       4420.000
     09/08/1988          0.000          0.000         20.000       4440.000
     10/08/1988          0.000          0.000         20.000       4460.000
     11/08/1988          0.000          0.000         20.000       4480.000
     12/08/1988          0.000          0.000         20.000       4500.000
     13/08/1988          0.000          0.000         20.000       4520.000
     14/08/1988          0.000          0.000         20.000       4540.000
     15/08/1988          0.000          0.000         20.000       4560.000
     16/08/1988          0.000          0.000         20.000       4580.000
     17/08/1988          0.000          0.000         20.000       4600.000
     18/08/1988          0.000          0.000         20.000       4620.000
     19/08/1988          0.000          0.000         20.000       4640.000
     20/08/1988          0.000          0.000         20.000       4660.000
     21/08/1988          0.000          0.000         20.000       4680.000
     22/08/1988          0.000          0.000         20.000       4700.000
     23/08/1988          0.000          0.000         20.000       4720.000
     24/08/1988          0.000          0.000         20.000       4740.000
     25/08/1988          0.000          0.000         20.000       4760.000
     26/08/1988          0.000          0.000         20.000       4780.000
     27/08/1988          0.000          0.000         20.000       4800.000
     28/08/1988          0.000          0.000         20.000       4820.000
     29/08/1988          0.000          0.000         20.000       4840.000
