ApsimVersion = 7.1
Title = Kilmore_Buffel
           Date       cull_lwg       bull_lwg       p1Growth       p2Growth       p3Growth       p4Growth
             ()             ()             ()         (g/m2)         (g/m2)         (g/m2)         (g/m2)
     31/12/1957              ?              ?              ?              ?              ?              ?
     31/12/1958         44.154         57.717        264.306        199.935        262.908        199.169
     31/12/1959        115.177        147.178        352.665        242.162        347.320        236.590
     31/12/1960        125.872        145.989        121.700        104.102        110.939         97.314
     31/12/1961        135.142        150.129        439.263        186.774        429.204        166.718
     31/12/1962        109.544        145.392        432.961        303.274        428.144        304.257
     31/12/1963         99.973        118.103        363.212        229.202        352.058        215.932
     31/12/1964        119.783        143.357        295.215        229.558        285.614        213.458
     31/12/1965        126.738        131.976        155.666         92.880        146.443         83.442
     31/12/1966        140.832        155.790        161.048        116.268        158.846        106.005
     31/12/1967        141.675        153.793        124.211        104.038        122.718         96.277
     31/12/1968        134.657        151.222        245.855        167.639        241.291        151.786
     31/12/1969        139.788        140.448        238.971        123.119        238.720        116.637
     31/12/1970        130.089        157.092        319.647        202.332        317.021        186.311
     31/12/1971        116.808        149.818        514.871        276.574        511.148        265.656
     31/12/1972        117.496        133.301        183.770        114.799        174.845        108.520
     31/12/1973        137.088        153.199        305.270        218.858        286.994        188.288
     31/12/1974        128.300        141.066        162.489        113.795        156.497        103.261
     31/12/1975        138.842        155.027        389.148        260.762        370.931        213.557
     31/12/1976        107.077        142.261        517.710        328.783        508.363        322.277
     31/12/1977        106.835        137.303        365.564        264.885        360.535        251.859
     31/12/1978        114.190        127.579        299.414        170.837        276.293        156.152
     31/12/1979        133.685        149.537        199.077        160.014        192.974        142.832
     31/12/1980        139.164        143.512        115.315         88.723        109.247         78.960
     31/12/1981        145.749        157.946        304.962        177.829        302.567        158.664
     31/12/1982        109.446        144.532        268.403        231.898        265.113        215.973
     31/12/1983        123.132        145.709        614.910        325.450        604.260        294.024
     31/12/1984        116.754        153.093        447.308        344.538        438.975        344.046
     31/12/1985        116.735        136.110        216.594        163.161        205.586        149.518
     31/12/1986        132.780        141.642        263.019        150.815        251.107        134.332
     31/12/1987        138.831        156.089        268.435        184.365        255.625        160.584
