,Year 1980,Year 1981,Year 1982,Year 1983,Year 1984,Year 1985,Year 1986,Year 1987,Year 1988,Year 1989,Year 1990,Year 1991,Year 1992,Year 1993,Year 1994,Year 1995,Year 1996,Year 1997,Year 1998,Year 1999,Year 2000,Year 2001,Year 2002,Year 2003,Year 2004,Year 2005,Year 2006,Year 2007,Year 2008,Year 2009,Year 2010,Year 2011
Crop income
Paddock paddock1,15,1837,358,1264,701,190,834,1531,1172,1065,954,315,965,1498,1069,953,1024,374,1028,1356,796,883,918,370,903,692,18,1548,790,790,467,89
Paddock paddock2,46,811,81,808,475,283,77,439,87,74,68,76,74,373,71,73,66,63,78,57,60,70,96,25,98,21,54,54,52,95,18,56
Livestock income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other farm income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total income,61,2648,439,2072,1176,474,911,1970,1259,1139,1022,390,1039,1871,1140,1027,1090,436,1105,1413,855,953,1013,394,1001,713,72,1602,841,885,485,145

Variable expenses
Paddock paddock1 incrop_cost,2,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,1
Paddock paddock2 incrop_cost,6,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,8,7,5
Paddock paddock1 fallow_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddock paddock2 fallow_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other expenses,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,
Interest Paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenses,614,617,616,618,616,615,616,617,616,616,616,616,616,617,616,616,616,616,616,617,616,616,617,615,618,616,616,617,616,617,616,6

Annual Surplus/Deficit,-553,2031,-177,1454,560,-141,294,1353,642,523,406,-225,423,1254,524,411,474,-180,489,797,239,337,396,-221,384,97,-544,985,225,268,-131,140

Cumulative Cash Flow,-553,1478,1301,2755,3315,3174,3468,4821,5463,5986,6392,6166,6589,7843,8367,8778,9252,9072,9562,10358,10597,10934,11330,11109,11493,11590,11046,12031,12256,12524,12393,12533

