Title = 25 intercrop 75 maize

Date         season paddock crop yield   biomass
(dd/mm/yyyy)     ()      ()   () (kg/ha) (kg/ha)
25/12/1979 SR paddock1 maize 0 2444
25/12/1979 SR paddock2 maize 0 2444
18/07/1980 LR paddock2 maize 3228 6269
29/07/1980 LR paddock1 bean 6709 14242
29/07/1980 LR paddock1 maize 0 2129
10/12/1980 SR paddock1 maize 2494 5853
26/12/1980 SR paddock2 maize 0 2048
25/06/1981 LR paddock1 bean 3296 8515
25/06/1981 LR paddock1 maize 3254 6430
07/07/1981 LR paddock2 maize 0 2709
11/12/1981 SR paddock1 maize 4019 8617
30/12/1981 SR paddock2 maize 0 1880
01/07/1982 LR paddock1 bean 1269 3570
01/07/1982 LR paddock1 maize 4307 9109
01/07/1982 LR paddock2 maize 2465 5079
20/12/1982 SR paddock1 maize 2847 6296
28/12/1982 SR paddock2 maize 0 3528
18/06/1983 LR paddock1 bean 885 3597
18/06/1983 LR paddock1 maize 3482 6882
02/07/1983 LR paddock2 maize 0 2354
13/12/1983 SR paddock1 maize 1921 5180
30/12/1983 SR paddock2 maize 0 1947
18/06/1984 LR paddock1 bean 766 2983
18/06/1984 LR paddock1 maize 3857 7216
20/06/1984 LR paddock2 maize 1558 4527
12/12/1984 SR paddock1 maize 617 4388
14/12/1984 SR paddock2 maize 0 3486
18/07/1985 LR paddock1 bean 7442 15803
18/07/1985 LR paddock1 maize 0 1362
22/07/1985 LR paddock2 maize 0 1735
10/12/1985 SR paddock1 maize 3447 7248
28/12/1985 SR paddock2 maize 0 1297
01/07/1986 LR paddock1 bean 1855 5042
01/07/1986 LR paddock1 maize 4320 9528
01/07/1986 LR paddock2 maize 3628 6966
11/12/1986 SR paddock1 maize 3547 7104
26/12/1986 SR paddock2 maize 0 2993
22/06/1987 LR paddock1 bean 2063 6855
22/06/1987 LR paddock1 maize 2935 5883
10/07/1987 LR paddock2 maize 0 2058
17/12/1987 SR paddock1 maize 4404 9956
31/12/1987 SR paddock2 maize 0 2506
29/06/1988 LR paddock1 bean 5335 13512
29/06/1988 LR paddock1 maize 0 3550
10/07/1988 LR paddock2 maize 0 2361
12/12/1988 SR paddock1 maize 2495 5714
02/01/1989 SR paddock2 maize 0 1606
27/06/1989 LR paddock1 bean 2824 7221
27/06/1989 LR paddock1 maize 3161 6448
13/07/1989 LR paddock2 maize 0 2307
11/12/1989 SR paddock1 maize 3931 8175
01/01/1990 SR paddock2 maize 0 1401
24/06/1990 LR paddock1 bean 2573 7436
24/06/1990 LR paddock1 maize 2916 5643
06/07/1990 LR paddock2 maize 0 2547
14/12/1990 SR paddock1 maize 3507 7554
05/01/1991 SR paddock2 maize 0 1761
06/07/1991 LR paddock1 bean 2713 7324
06/07/1991 LR paddock1 maize 3085 6062
15/07/1991 LR paddock2 maize 0 2748
13/12/1991 SR paddock1 maize 3688 7365
05/01/1992 SR paddock2 maize 0 1380
11/07/1992 LR paddock1 bean 2462 6800
11/07/1992 LR paddock1 maize 3801 7247
13/07/1992 LR paddock2 maize 669 4180
14/12/1992 SR paddock1 maize 2247 5622
06/01/1993 SR paddock2 maize 0 1644
20/06/1993 LR paddock1 bean 2530 9071
20/06/1993 LR paddock1 maize 2436 5248
03/07/1993 LR paddock2 maize 0 2728
13/12/1993 SR paddock1 maize 4252 9011
02/01/1994 SR paddock2 maize 0 1461
28/06/1994 LR paddock1 bean 4417 12522
28/06/1994 LR paddock1 maize 1388 4556
08/07/1994 LR paddock2 maize 0 2738
