date,income,expenditure,balance,comment
08/Sep/1979,,5.0,-5.0,sowing costs
08/Sep/1979,,15.0,-20.0,sowing costs
08/Sep/1979,,0.25,-20.25,operating costs of operator1 + presow_till
09/Sep/1979,,0.25,-20.5,operating costs of operator1 + sowing
10/Sep/1979,,0.75,-21.25,operating costs of operator1 + presow_till
11/Sep/1979,,0.75,-22.0,operating costs of operator1 + sowing
08/Oct/1979,,0.25,-22.25,operating costs of operator1 + weeding
09/Oct/1979,,0.75,-23.0,operating costs of operator1 + weeding
21/Dec/1979,0.0,,-23.0,cropprice (maize)
21/Dec/1979,15.312185113636366,,-7.687814886363634,cropprice (maize_residue)
21/Dec/1979,0.0,,-7.687814886363634,cropprice (maize)
21/Dec/1979,45.936555340909095,,38.24874045454546,cropprice (maize_residue)
21/Dec/1979,,0.25,37.99874045454546,operating costs of operator1 + harvesting
22/Dec/1979,,0.75,37.24874045454546,operating costs of operator1 + harvesting
30/Jan/1980,,0.25,36.99874045454546,operating costs of operator1 + weeding
31/Jan/1980,,0.75,36.24874045454546,operating costs of operator1 + weeding
08/Apr/1980,,10.5,25.748740454545462,sowing costs
08/Apr/1980,,31.5,-5.751259545454538,sowing costs
08/Apr/1980,,0.25,-6.001259545454538,operating costs of operator1 + presow_till
09/Apr/1980,,0.25,-6.251259545454538,operating costs of operator1 + sowing
10/Apr/1980,,0.75,-7.001259545454538,operating costs of operator1 + presow_till
11/Apr/1980,,0.75,-7.751259545454538,operating costs of operator1 + sowing
08/May/1980,,0.25,-8.001259545454538,operating costs of operator1 + weeding
09/May/1980,,0.75,-8.751259545454538,operating costs of operator1 + weeding
29/Jun/1980,,606.1,-614.8512595454546,Farm Overheads
18/Jul/1980,720.0996321988637,,105.24837265340909,cropprice (maize)
18/Jul/1980,45.80374977272727,,151.05212242613635,cropprice (maize_residue)
18/Jul/1980,,0.75,150.30212242613635,operating costs of operator1 + harvesting
29/Jul/1980,796.0888699431817,,946.3909923693182,cropprice (bean)
29/Jul/1980,0.0,,946.3909923693182,cropprice (maize)
29/Jul/1980,58.31491366477274,,1004.7059060340908,cropprice (maize_residue)
29/Jul/1980,,0.25,1004.4559060340908,operating costs of operator1 + harvesting
30/Jul/1980,,0.25,1004.2059060340908,operating costs of operator1 + harvesting
27/Aug/1980,,0.75,1003.4559060340908,operating costs of operator1 + weeding
31/Aug/1980,,5.0,998.4559060340908,sowing costs
31/Aug/1980,,15.0,983.4559060340908,sowing costs
31/Aug/1980,,0.25,983.2059060340908,operating costs of operator1 + presow_till
01/Sep/1980,,0.25,982.9559060340908,operating costs of operator1 + sowing
02/Sep/1980,,0.75,982.2059060340908,operating costs of operator1 + presow_till
03/Sep/1980,,0.75,981.4559060340908,operating costs of operator1 + sowing
07/Sep/1980,,0.25,981.2059060340908,operating costs of operator1 + weeding
30/Sep/1980,,0.25,980.9559060340908,operating costs of operator1 + weeding
01/Oct/1980,,0.75,980.2059060340908,operating costs of operator1 + weeding
09/Dec/1980,243.49032064772726,,1223.6962266818182,cropprice (maize)
09/Dec/1980,17.577498,,1241.2737246818183,cropprice (maize_residue)
09/Dec/1980,,0.25,1241.0237246818183,operating costs of operator1 + harvesting
21/Dec/1980,0.0,,1241.0237246818183,cropprice (maize)
21/Dec/1980,45.28657670454545,,1286.3103013863638,cropprice (maize_residue)
21/Dec/1980,,0.75,1285.5603013863638,operating costs of operator1 + harvesting
18/Jan/1981,,0.25,1285.3103013863638,operating costs of operator1 + weeding
30/Jan/1981,,0.75,1284.5603013863638,operating costs of operator1 + weeding
15/Mar/1981,,10.5,1274.0603013863638,sowing costs
15/Mar/1981,,31.5,1242.5603013863638,sowing costs
15/Mar/1981,,0.25,1242.3103013863638,operating costs of operator1 + presow_till
16/Mar/1981,,0.25,1242.0603013863638,operating costs of operator1 + sowing
17/Mar/1981,,0.75,1241.3103013863638,operating costs of operator1 + presow_till
18/Mar/1981,,0.75,1240.5603013863638,operating costs of operator1 + sowing
14/Apr/1981,,0.25,1240.3103013863638,operating costs of operator1 + weeding
