Title = 25 intercrop 75 maize

year  runoff drain soil_loss es rain maize_harvest bean_harvest profit
()  (mm) (mm) (mm) (mm) (mm) (tonnes-wet) (tonnes-wet) ($)
1979  52.14 88.34 31.30 414.83 621.30 0.000 * 27.96
1980  228.50 374.62 133.98 837.73 1602.60 3.459 1.906 1263.97
1981  334.82 571.41 180.98 967.82 2078.20 2.066 0.936 448.64
1982  305.02 747.64 148.06 1008.20 2244.80 4.133 0.360 805.26
1983  217.66 583.78 97.03 981.64 1920.50 1.535 0.251 -15.63
1984  183.30 448.75 68.56 845.07 1637.90 2.599 0.218 307.46
1985  320.50 707.71 179.53 901.46 2068.50 0.979 2.114 614.03
1986  242.14 392.74 103.60 917.30 1785.90 5.327 0.527 1225.16
1987  263.19 585.38 119.23 999.69 2003.70 2.085 0.586 307.90
1988  517.70 837.74 257.16 1066.21 2608.50 0.709 1.516 283.78
1989  268.53 596.38 131.84 898.28 1996.00 2.015 0.802 361.44
1990  344.97 578.20 205.83 975.61 2009.30 1.825 0.731 276.19
1991  291.74 676.33 139.30 982.43 2122.00 1.924 0.771 328.80
1992  214.08 479.69 95.38 906.91 1754.00 2.288 0.700 408.79
1993  125.56 309.95 72.36 908.91 1498.80 1.900 0.719 313.31
1994  263.94 556.54 112.62 926.52 1954.10 1.631 1.255 475.47
1995  271.98 602.18 131.56 963.47 2007.00 2.167 0.536 287.70
1996  263.71 619.67 139.30 1041.01 2095.60 1.416 1.225 411.42
1997  200.49 429.61 96.03 806.08 1618.90 1.160 0.696 40.84
1998  263.93 599.87 91.33 920.94 1911.00 1.996 1.033 497.98
1999  162.11 432.86 90.81 976.36 1749.70 2.078 0.746 331.46
2000  93.45 300.75 39.21 875.36 1414.20 1.593 0.197 -21.46
2001  207.66 697.25 90.56 1012.88 2050.90 0.464 1.226 115.25
2002  343.11 634.10 136.94 966.63 2145.40 2.118 0.514 259.77
2003  398.45 799.71 187.99 858.67 2110.30 1.072 0.213 -200.08
2004  112.20 339.70 50.71 938.00 1554.00 0.779 0.946 61.59
2005  191.71 379.25 117.05 854.40 1505.00 1.106 0.214 -167.90
2006  372.12 773.83 200.50 976.12 2343.80 1.009 1.651 406.91
2007  377.99 594.02 197.33 999.18 2035.51 1.273 0.210 -128.21
2008  236.87 551.40 98.04 1000.27 1970.00 1.174 1.780 544.42
2009  235.24 563.15 88.66 1047.17 1970.00 1.623 0.161 -46.07
2010  179.65 349.13 49.65 832.83 1470.90 0.937 0.179 -241.63
