date,paddock,area,crop,yield,protein,fertiliser_type,fertiliser_rate, interim_rainfall,interim_runoff,interim_drainage, interim_soil_loss,SW_state,NO3_state,fallow_cost,incrop_cost,crop_income,interest_paid,expenditure,income,comment
21/Dec/1980,paddock2,0.75,maize_residue,3.0191051136363636,,,,,,,,,,,,45.28657670454545,,,45.28657670454545,cropprice (maize_residue),
21/Dec/1980,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + harvesting,
18/Jan/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
30/Jan/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
15/Mar/1981,paddock1,0.25,,,,,,,,,,,,,,,,10.5,,sowing costs,
15/Mar/1981,paddock2,0.75,,,,,,,,,,,,,,,,31.5,,sowing costs,
15/Mar/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + presow_till,
16/Mar/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + sowing,
17/Mar/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + presow_till,
18/Mar/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + sowing,
14/Apr/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
15/Apr/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
25/Jun/1981,paddock1,0.25,bean,3.7539916988636364,,,,,,,,,,,,394.1691283806818,,,394.1691283806818,cropprice (bean),
25/Jun/1981,paddock1,0.25,maize,3.911854090909091,,,,,,,,,,,,278.7196039772727,,,278.7196039772727,cropprice (maize),
25/Jun/1981,paddock1,0.25,maize_residue,9.644721013636364,,,,,,,,,,,,48.22360506818182,,,48.22360506818182,cropprice (maize_residue),
25/Jun/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + harvesting,
26/Jun/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + harvesting,
30/Jun/1981,,,,,,,,,,,,,,,,,,606.1,,Farm Overheads,
06/Jul/1981,paddock2,0.75,maize,0.0,,,,,,,,,,,,0.0,,,0.0,cropprice (maize),
06/Jul/1981,paddock2,0.75,maize_residue,2.861772294318182,,,,,,,,,,,,42.926584414772734,,,42.926584414772734,cropprice (maize_residue),
06/Jul/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + harvesting,
04/Aug/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
15/Aug/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
01/Sep/1981,paddock1,0.25,,,,,,,,,,,,,,,,5.0,,sowing costs,
01/Sep/1981,paddock2,0.75,,,,,,,,,,,,,,,,15.0,,sowing costs,
01/Sep/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + presow_till,
02/Sep/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + sowing,
03/Sep/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + presow_till,
04/Sep/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + sowing,
01/Oct/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
02/Oct/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
11/Dec/1981,paddock1,0.25,maize,4.643989992045455,,,,,,,,,,,,330.8842869332387,,,330.8842869332387,cropprice (maize),
11/Dec/1981,paddock1,0.25,maize_residue,5.4123690522727275,,,,,,,,,,,,27.061845261363636,,,27.061845261363636,cropprice (maize_residue),
11/Dec/1981,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + harvesting,
27/Dec/1981,paddock2,0.75,maize,0.0,,,,,,,,,,,,0.0,,,0.0,cropprice (maize),
27/Dec/1981,paddock2,0.75,maize_residue,2.510633156818182,,,,,,,,,,,,37.65949735227273,,,37.65949735227273,cropprice (maize_residue),
27/Dec/1981,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + harvesting,
20/Jan/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
05/Feb/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
23/Mar/1982,paddock1,0.25,,,,,,,,,,,,,,,,10.5,,sowing costs,
23/Mar/1982,paddock2,0.75,,,,,,,,,,,,,,,,31.5,,sowing costs,
23/Mar/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + presow_till,
24/Mar/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + sowing,
25/Mar/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + presow_till,
26/Mar/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + sowing,
22/Apr/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
23/Apr/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
30/Jun/1982,,,,,,,,,,,,,,,,,,606.1,,Farm Overheads,
01/Jul/1982,paddock1,0.25,bean,1.4420009261363638,,,,,,,,,,,,151.4100972443182,,,151.4100972443182,cropprice (bean),
01/Jul/1982,paddock1,0.25,maize,4.912977872727272,,,,,,,,,,,,350.0496734318182,,,350.0496734318182,cropprice (maize),
01/Jul/1982,paddock1,0.25,maize_residue,8.305663507954547,,,,,,,,,,,,41.528317539772736,,,41.528317539772736,cropprice (maize_residue),
01/Jul/1982,paddock2,0.75,maize,3.084784328409091,,,,,,,,,,,,659.3726501974431,,,659.3726501974431,cropprice (maize),
01/Jul/1982,paddock2,0.75,maize_residue,2.853328080681818,,,,,,,,,,,,42.79992121022727,,,42.79992121022727,cropprice (maize_residue),
01/Jul/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + harvesting,
02/Jul/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + harvesting,
03/Jul/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + harvesting,
10/Aug/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
11/Aug/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
08/Sep/1982,paddock1,0.25,,,,,,,,,,,,,,,,5.0,,sowing costs,
08/Sep/1982,paddock2,0.75,,,,,,,,,,,,,,,,15.0,,sowing costs,
08/Sep/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + presow_till,
09/Sep/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + sowing,
10/Sep/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + presow_till,
11/Sep/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + sowing,
08/Oct/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
09/Oct/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
20/Dec/1982,paddock1,0.25,maize,3.671035367045455,,,,,,,,,,,,261.5612699019887,,,261.5612699019887,cropprice (maize),
20/Dec/1982,paddock1,0.25,maize_residue,4.041887318181818,,,,,,,,,,,,20.20943659090909,,,20.20943659090909,cropprice (maize_residue),
20/Dec/1982,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + harvesting,
24/Dec/1982,paddock2,0.75,maize,0.0,,,,,,,,,,,,0.0,,,0.0,cropprice (maize),
24/Dec/1982,paddock2,0.75,maize_residue,4.016507789772728,,,,,,,,,,,,60.247616846590915,,,60.247616846590915,cropprice (maize_residue),
24/Dec/1982,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + harvesting,
29/Jan/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
02/Feb/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
16/Mar/1983,paddock1,0.25,,,,,,,,,,,,,,,,10.5,,sowing costs,
16/Mar/1983,paddock2,0.75,,,,,,,,,,,,,,,,31.5,,sowing costs,
16/Mar/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + presow_till,
17/Mar/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + sowing,
18/Mar/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + presow_till,
19/Mar/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + sowing,
15/Apr/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
16/Apr/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
18/Jun/1983,paddock1,0.25,bean,1.0151322102272726,,,,,,,,,,,,106.58888207386363,,,106.58888207386363,cropprice (bean),
18/Jun/1983,paddock1,0.25,maize,4.178345577272728,,,,,,,,,,,,297.7071223806818,,,297.7071223806818,cropprice (maize),
18/Jun/1983,paddock1,0.25,maize_residue,6.939721679545456,,,,,,,,,,,,34.69860839772728,,,34.69860839772728,cropprice (maize_residue),
18/Jun/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + harvesting,
19/Jun/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + harvesting,
26/Jun/1983,paddock2,0.75,maize,0.0,,,,,,,,,,,,0.0,,,0.0,cropprice (maize),
26/Jun/1983,paddock2,0.75,maize_residue,3.0472506431818185,,,,,,,,,,,,45.70875964772728,,,45.70875964772728,cropprice (maize_residue),
26/Jun/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + harvesting,
30/Jun/1983,,,,,,,,,,,,,,,,,,606.1,,Farm Overheads,
28/Jul/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
05/Aug/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
01/Sep/1983,paddock1,0.25,,,,,,,,,,,,,,,,5.0,,sowing costs,
01/Sep/1983,paddock2,0.75,,,,,,,,,,,,,,,,15.0,,sowing costs,
01/Sep/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + presow_till,
02/Sep/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + sowing,
03/Sep/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + presow_till,
04/Sep/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + sowing,
01/Oct/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + weeding,
02/Oct/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + weeding,
12/Dec/1983,paddock1,0.25,maize,3.255763790909091,,,,,,,,,,,,231.97317010227275,,,231.97317010227275,cropprice (maize),
12/Dec/1983,paddock1,0.25,maize_residue,3.4206215602272723,,,,,,,,,,,,17.10310780113636,,,17.10310780113636,cropprice (maize_residue),
12/Dec/1983,paddock1,0.25,,,,,,,,,,,,,0.25,,,0.25,,operating costs of operator1 + harvesting,
28/Dec/1983,paddock2,0.75,maize,0.0,,,,,,,,,,,,0.0,,,0.0,cropprice (maize),
28/Dec/1983,paddock2,0.75,maize_residue,2.482306740909091,,,,,,,,,,,,37.234601113636366,,,37.234601113636366,cropprice (maize_residue),
28/Dec/1983,paddock2,0.75,,,,,,,,,,,,,0.75,,,0.75,,operating costs of operator1 + harvesting,
