date,income,expenditure,balance,comment
08/Sep/1979,,15.0,-15.0,sowing costs
08/Sep/1979,,5.0,-20.0,sowing costs
08/Sep/1979,,0.75,-20.75,operating costs of operator1 + presow_till
09/Sep/1979,,0.75,-21.5,operating costs of operator1 + sowing
10/Sep/1979,,0.25,-21.75,operating costs of operator1 + presow_till
11/Sep/1979,,0.25,-22.0,operating costs of operator1 + sowing
08/Oct/1979,,0.75,-22.75,operating costs of operator1 + weeding
09/Oct/1979,,0.25,-23.0,operating costs of operator1 + weeding
21/Dec/1979,0.0,,-23.0,cropprice (maize)
21/Dec/1979,45.936555340909095,,22.936555340909095,cropprice (maize_residue)
21/Dec/1979,0.0,,22.936555340909095,cropprice (maize)
21/Dec/1979,15.312185113636366,,38.24874045454546,cropprice (maize_residue)
21/Dec/1979,,0.75,37.49874045454546,operating costs of operator1 + harvesting
22/Dec/1979,,0.25,37.24874045454546,operating costs of operator1 + harvesting
30/Jan/1980,,0.75,36.49874045454546,operating costs of operator1 + weeding
31/Jan/1980,,0.25,36.24874045454546,operating costs of operator1 + weeding
08/Apr/1980,,31.5,4.748740454545462,sowing costs
08/Apr/1980,,10.5,-5.751259545454538,sowing costs
08/Apr/1980,,0.75,-6.501259545454538,operating costs of operator1 + presow_till
09/Apr/1980,,0.75,-7.251259545454538,operating costs of operator1 + sowing
10/Apr/1980,,0.25,-7.501259545454538,operating costs of operator1 + presow_till
11/Apr/1980,,0.25,-7.751259545454538,operating costs of operator1 + sowing
08/May/1980,,0.75,-8.501259545454538,operating costs of operator1 + weeding
09/May/1980,,0.25,-8.751259545454538,operating costs of operator1 + weeding
29/Jun/1980,,606.1,-614.8512595454546,Farm Overheads
18/Jul/1980,240.03321073295456,,-374.8180488125,cropprice (maize)
18/Jul/1980,15.26791659090909,,-359.55013222159096,cropprice (maize_residue)
18/Jul/1980,,0.25,-359.80013222159096,operating costs of operator1 + harvesting
29/Jul/1980,2388.2666098295454,,2028.4664776079544,cropprice (bean)
29/Jul/1980,0.0,,2028.4664776079544,cropprice (maize)
29/Jul/1980,174.9447409943182,,2203.4112186022726,cropprice (maize_residue)
29/Jul/1980,,0.75,2202.6612186022726,operating costs of operator1 + harvesting
30/Jul/1980,,0.75,2201.9112186022726,operating costs of operator1 + harvesting
27/Aug/1980,,0.25,2201.6612186022726,operating costs of operator1 + weeding
31/Aug/1980,,15.0,2186.6612186022726,sowing costs
31/Aug/1980,,5.0,2181.6612186022726,sowing costs
31/Aug/1980,,0.75,2180.9112186022726,operating costs of operator1 + presow_till
01/Sep/1980,,0.75,2180.1612186022726,operating costs of operator1 + sowing
02/Sep/1980,,0.25,2179.9112186022726,operating costs of operator1 + presow_till
03/Sep/1980,,0.25,2179.6612186022726,operating costs of operator1 + sowing
07/Sep/1980,,0.75,2178.9112186022726,operating costs of operator1 + weeding
30/Sep/1980,,0.75,2178.1612186022726,operating costs of operator1 + weeding
01/Oct/1980,,0.25,2177.9112186022726,operating costs of operator1 + weeding
09/Dec/1980,730.4709619431818,,2908.3821805454545,cropprice (maize)
09/Dec/1980,52.732493999999996,,2961.1146745454544,cropprice (maize_residue)
09/Dec/1980,,0.75,2960.3646745454544,operating costs of operator1 + harvesting
