,Year 1980,Year 1981,Year 1982,Year 1983,Year 1984,Year 1985,Year 1986,Year 1987,Year 1988,Year 1989,Year 1990,Year 1991,Year 1992,Year 1993,Year 1994,Year 1995,Year 1996,Year 1997,Year 1998,Year 1999,Year 2000,Year 2001,Year 2002,Year 2003,Year 2004,Year 2005,Year 2006,Year 2007,Year 2008,Year 2009,Year 2010,Year 2011
Crop income
Paddock paddock1,31,3673,716,2528,1402,381,1668,3062,2344,2129,1909,629,1931,2996,2138,1907,2049,747,2055,2712,1591,1766,1835,739,1806,1384,36,3097,1579,1579,934,178
Paddock paddock2,31,541,54,539,317,189,51,292,58,49,45,50,49,249,48,49,44,42,52,38,40,47,64,17,66,14,36,36,34,63,12,38
Livestock income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other farm income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total income,61,4214,770,3066,1719,570,1719,3355,2402,2179,1954,680,1980,3245,2186,1956,2093,789,2107,2751,1631,1813,1899,756,1871,1398,72,3133,1613,1643,946,216

Variable expenses
Paddock paddock1 incrop_cost,4,7,5,7,6,5,6,7,6,6,6,5,6,7,6,6,6,5,6,7,6,6,6,5,7,6,5,7,6,6,6,3
Paddock paddock2 incrop_cost,4,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,6,5,3
Paddock paddock1 fallow_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddock paddock2 fallow_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other expenses,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,
Interest Paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenses,614,618,616,618,617,615,617,618,617,617,617,616,617,618,617,617,617,616,617,618,617,617,617,615,618,616,616,618,617,617,616,6

Annual Surplus/Deficit,-553,3596,154,2448,1102,-45,1103,2737,1785,1562,1337,64,1363,2628,1569,1339,1476,173,1490,2133,1014,1196,1282,141,1253,781,-543,2515,997,1026,330,210

Cumulative Cash Flow,-553,3044,3198,5646,6748,6703,7806,10543,12328,13890,15227,15292,16655,19282,20851,22191,23667,23840,25331,27464,28478,29674,30956,31096,32350,33131,32588,35103,36100,37125,37455,37666

