Title = 50 maize 50 intercrop

Date         season paddock crop yield   biomass
(dd/mm/yyyy)     ()      ()   () (kg/ha) (kg/ha)
10/09/1991 SR paddock2 maize 0 0
11/09/1991 SR paddock2 maize 0 0
22/01/1992 SR paddock1 maize 2795 12121
25/03/1992 SR paddock2 maize 0 2099
14/07/1992 LR paddock1 bean 3303 8414
14/07/1992 LR paddock1 maize 2663 5952
08/10/1992 SR paddock2 maize 0 2466
09/10/1992 SR paddock2 maize 0 0
10/10/1992 SR paddock2 maize 0 0
21/01/1993 SR paddock1 maize 3916 13854
15/04/1993 LR paddock2 maize 0 2779
05/07/1993 LR paddock1 bean 6161 14069
05/07/1993 LR paddock1 maize 0 2619
23/10/1993 SR paddock2 maize 0 2522
17/01/1994 SR paddock1 maize 2498 11664
20/07/1994 LR paddock1 bean 7471 15862
20/07/1994 LR paddock1 maize 0 2152
29/08/1994 LR paddock2 maize 0 5615
15/01/1995 SR paddock1 maize 4596 17744
02/03/1995 SR paddock2 maize 0 1753
08/07/1995 LR paddock1 bean 6094 12936
08/07/1995 LR paddock1 maize 0 2171
13/09/1995 SR paddock2 maize 0 2672
14/09/1995 SR paddock2 maize 0 0
15/09/1995 SR paddock2 maize 0 0
16/09/1995 SR paddock2 maize 0 0
21/01/1996 SR paddock1 maize 4592 18352
25/03/1996 LR paddock2 maize 0 2559
11/07/1996 LR paddock1 bean 6531 13900
11/07/1996 LR paddock1 maize 0 2924
30/09/1996 SR paddock2 maize 0 1899
01/10/1996 SR paddock2 maize 0 0
12/01/1997 SR paddock1 maize 4176 14115
25/03/1997 SR paddock2 maize 0 2346
12/07/1997 LR paddock1 bean 4701 11510
12/07/1997 LR paddock1 maize 338 4260
26/09/1997 LR paddock2 maize 0 2478
24/02/1998 SR paddock1 maize 4592 18002
07/04/1998 LR paddock2 maize 0 2155
24/07/1998 LR paddock1 bean 6330 13443
24/07/1998 LR paddock1 maize 0 1351
16/10/1998 SR paddock2 maize 0 2140
16/01/1999 SR paddock1 maize 4213 14336
05/07/1999 LR paddock1 bean 6511 14495
05/07/1999 LR paddock1 maize 0 3255
31/08/1999 LR paddock2 maize 0 4832
17/01/2000 SR paddock1 maize 4026 13633
25/02/2000 SR paddock2 maize 0 1643
03/08/2000 LR paddock1 bean 4596 9741
20/08/2000 LR paddock1 maize 0 484
20/09/2000 SR paddock2 maize 0 2536
14/01/2001 SR paddock1 maize 4235 14675
24/03/2001 LR paddock2 maize 0 2152
25/03/2001 LR paddock2 maize 0 0
26/03/2001 LR paddock2 maize 0 0
27/03/2001 LR paddock2 maize 0 0
28/03/2001 LR paddock2 maize 0 0
25/06/2001 LR paddock1 bean 2805 7788
25/06/2001 LR paddock1 maize 3024 6473
07/10/2001 SR paddock2 maize 0 2007
08/10/2001 SR paddock2 maize 0 0
09/10/2001 SR paddock2 maize 0 0
10/10/2001 SR paddock2 maize 0 0
11/01/2002 SR paddock1 maize 4501 15962
26/06/2002 LR paddock1 bean 4304 11884
26/06/2002 LR paddock1 maize 0 3531
20/08/2002 LR paddock2 maize 0 4579
15/01/2003 SR paddock1 maize 4228 14262
26/02/2003 SR paddock2 maize 0 1866
05/07/2003 LR paddock1 bean 1046 3158
05/07/2003 LR paddock1 maize 2665 5709
22/09/2003 SR paddock2 maize 0 2335
21/01/2004 SR paddock1 maize 0 7610
19/03/2004 LR paddock2 maize 0 2066
08/07/2004 LR paddock1 bean 5618 11933
08/07/2004 LR paddock1 maize 0 1439
24/09/2004 SR paddock2 maize 0 1884
25/09/2004 SR paddock2 maize 0 0
26/09/2004 SR paddock2 maize 0 0
27/09/2004 SR paddock2 maize 0 0
18/01/2005 SR paddock1 maize 2641 10494
17/03/2005 SR paddock2 maize 0 1882
28/06/2005 LR paddock1 bean 1416 4739
28/06/2005 LR paddock1 maize 2216 5286
18/09/2005 SR paddock2 maize 0 1814
19/09/2005 SR paddock2 maize 0 0
20/09/2005 SR paddock2 maize 0 0
21/09/2005 SR paddock2 maize 0 0
22/09/2005 SR paddock2 maize 0 0
19/01/2006 SR paddock1 maize 0 7460
25/07/2006 LR paddock1 bean 6329 13440
25/07/2006 LR paddock1 maize 0 730
29/08/2006 LR paddock2 maize 0 4003
18/01/2007 SR paddock1 maize 2662 10968
28/02/2007 SR paddock2 maize 0 1576
25/06/2007 LR paddock1 bean 2012 7298
25/06/2007 LR paddock1 maize 1758 4887
18/09/2007 SR paddock2 maize 0 2150
19/09/2007 SR paddock2 maize 0 0
20/09/2007 SR paddock2 maize 0 0
13/01/2008 SR paddock1 maize 3454 11886
14/03/2008 SR paddock2 maize 0 1829
10/07/2008 LR paddock1 bean 6836 14519
10/07/2008 LR paddock1 maize 0 2483
18/09/2008 SR paddock2 maize 0 1836
08/01/2009 SR paddock1 maize 4108 13431
09/03/2009 SR paddock2 maize 0 1795
24/06/2009 LR paddock1 bean 1120 4056
24/06/2009 LR paddock1 maize 2366 5344
13/09/2009 SR paddock2 maize 0 1888
14/09/2009 SR paddock2 maize 0 0
15/09/2009 SR paddock2 maize 0 0
16/09/2009 SR paddock2 maize 0 0
17/09/2009 SR paddock2 maize 0 0
18/09/2009 SR paddock2 maize 0 0
12/01/2010 SR paddock1 maize 3131 11184
10/03/2010 SR paddock2 maize 0 1797
29/06/2010 LR paddock1 bean 3081 9462
29/06/2010 LR paddock1 maize 0 3232
13/09/2010 SR paddock2 maize 0 1784
14/09/2010 SR paddock2 maize 0 0
15/09/2010 SR paddock2 maize 0 0
16/09/2010 SR paddock2 maize 0 0
17/09/2010 SR paddock2 maize 0 0
