date,income,expenditure,balance,comment
08/Sep/1979,,10.0,-10.0,sowing costs
08/Sep/1979,,10.0,-20.0,sowing costs
08/Sep/1979,,0.5,-20.5,operating costs of operator1 + presow_till
09/Sep/1979,,0.5,-21.0,operating costs of operator1 + sowing
10/Sep/1979,,0.5,-21.5,operating costs of operator1 + presow_till
11/Sep/1979,,0.5,-22.0,operating costs of operator1 + sowing
08/Oct/1979,,0.5,-22.5,operating costs of operator1 + weeding
09/Oct/1979,,0.5,-23.0,operating costs of operator1 + weeding
21/Dec/1979,0.0,,-23.0,cropprice (maize)
21/Dec/1979,30.62437022727273,,7.624370227272731,cropprice (maize_residue)
21/Dec/1979,0.0,,7.624370227272731,cropprice (maize)
21/Dec/1979,30.62437022727273,,38.24874045454546,cropprice (maize_residue)
21/Dec/1979,,0.5,37.74874045454546,operating costs of operator1 + harvesting
22/Dec/1979,,0.5,37.24874045454546,operating costs of operator1 + harvesting
30/Jan/1980,,0.5,36.74874045454546,operating costs of operator1 + weeding
31/Jan/1980,,0.5,36.24874045454546,operating costs of operator1 + weeding
08/Apr/1980,,21.0,15.248740454545462,sowing costs
08/Apr/1980,,21.0,-5.751259545454538,sowing costs
08/Apr/1980,,0.5,-6.251259545454538,operating costs of operator1 + presow_till
09/Apr/1980,,0.5,-6.751259545454538,operating costs of operator1 + sowing
10/Apr/1980,,0.5,-7.251259545454538,operating costs of operator1 + presow_till
11/Apr/1980,,0.5,-7.751259545454538,operating costs of operator1 + sowing
08/May/1980,,0.5,-8.251259545454538,operating costs of operator1 + weeding
09/May/1980,,0.5,-8.751259545454538,operating costs of operator1 + weeding
29/Jun/1980,,606.1,-614.8512595454546,Farm Overheads
18/Jul/1980,480.0664214659091,,-134.78483807954547,cropprice (maize)
18/Jul/1980,30.53583318181818,,-104.24900489772729,cropprice (maize_residue)
18/Jul/1980,,0.5,-104.74900489772729,operating costs of operator1 + harvesting
29/Jul/1980,1592.1777398863635,,1487.4287349886363,cropprice (bean)
29/Jul/1980,0.0,,1487.4287349886363,cropprice (maize)
29/Jul/1980,116.62982732954548,,1604.0585623181817,cropprice (maize_residue)
29/Jul/1980,,0.5,1603.5585623181817,operating costs of operator1 + harvesting
30/Jul/1980,,0.5,1603.0585623181817,operating costs of operator1 + harvesting
27/Aug/1980,,0.5,1602.5585623181817,operating costs of operator1 + weeding
31/Aug/1980,,10.0,1592.5585623181817,sowing costs
31/Aug/1980,,10.0,1582.5585623181817,sowing costs
31/Aug/1980,,0.5,1582.0585623181817,operating costs of operator1 + presow_till
01/Sep/1980,,0.5,1581.5585623181817,operating costs of operator1 + sowing
02/Sep/1980,,0.5,1581.0585623181817,operating costs of operator1 + presow_till
03/Sep/1980,,0.5,1580.5585623181817,operating costs of operator1 + sowing
07/Sep/1980,,0.5,1580.0585623181817,operating costs of operator1 + weeding
30/Sep/1980,,0.5,1579.5585623181817,operating costs of operator1 + weeding
01/Oct/1980,,0.5,1579.0585623181817,operating costs of operator1 + weeding
09/Dec/1980,486.9806412954545,,2066.0392036136363,cropprice (maize)
09/Dec/1980,35.154996,,2101.1941996136366,cropprice (maize_residue)
09/Dec/1980,,0.5,2100.6941996136366,operating costs of operator1 + harvesting
21/Dec/1980,0.0,,2100.6941996136366,cropprice (maize)
21/Dec/1980,30.191051136363637,,2130.88525075,cropprice (maize_residue)
21/Dec/1980,,0.5,2130.38525075,operating costs of operator1 + harvesting
18/Jan/1981,,0.5,2129.88525075,operating costs of operator1 + weeding
30/Jan/1981,,0.5,2129.38525075,operating costs of operator1 + weeding
15/Mar/1981,,21.0,2108.38525075,sowing costs
15/Mar/1981,,21.0,2087.38525075,sowing costs
15/Mar/1981,,0.5,2086.88525075,operating costs of operator1 + presow_till
16/Mar/1981,,0.5,2086.38525075,operating costs of operator1 + sowing
17/Mar/1981,,0.5,2085.88525075,operating costs of operator1 + presow_till
18/Mar/1981,,0.5,2085.38525075,operating costs of operator1 + sowing
14/Apr/1981,,0.5,2084.88525075,operating costs of operator1 + weeding
15/Apr/1981,,0.5,2084.38525075,operating costs of operator1 + weeding
25/Jun/1981,788.3382567613636,,2872.7235075113636,cropprice (bean)
25/Jun/1981,557.4392079545454,,3430.162715465909,cropprice (maize)
25/Jun/1981,96.44721013636364,,3526.6099256022726,cropprice (maize_residue)
25/Jun/1981,,0.5,3526.1099256022726,operating costs of operator1 + harvesting
26/Jun/1981,,0.5,3525.6099256022726,operating costs of operator1 + harvesting
30/Jun/1981,,606.1,2919.5099256022727,Farm Overheads
06/Jul/1981,0.0,,2919.5099256022727,cropprice (maize)
06/Jul/1981,28.61772294318182,,2948.1276485454546,cropprice (maize_residue)
06/Jul/1981,,0.5,2947.6276485454546,operating costs of operator1 + harvesting
04/Aug/1981,,0.5,2947.1276485454546,operating costs of operator1 + weeding
15/Aug/1981,,0.5,2946.6276485454546,operating costs of operator1 + weeding
