Title = 75 intercrop 25 maize

Date         season paddock crop yield   biomass
(dd/mm/yyyy)     ()      ()   () (kg/ha) (kg/ha)
08/12/2006 SR paddock2 maize 346 3184
21/06/2007 LR paddock1 bean 797 3363
21/06/2007 LR paddock1 maize 3543 6649
21/06/2007 LR paddock2 maize 568 3274
08/12/2007 SR paddock1 maize 2817 5502
08/12/2007 SR paddock2 maize 288 3209
24/06/2008 LR paddock1 bean 2890 9249
24/06/2008 LR paddock1 maize 2735 5550
24/06/2008 LR paddock2 maize 1085 3882
06/12/2008 SR paddock1 maize 4096 7808
06/12/2008 SR paddock2 maize 89 3084
20/06/2009 LR paddock1 bean 584 2476
20/06/2009 LR paddock1 maize 4271 7838
21/06/2009 LR paddock2 maize 396 3149
07/12/2009 SR paddock1 maize 2700 5358
07/12/2009 SR paddock2 maize 402 3359
20/06/2010 LR paddock1 bean 687 2920
20/06/2010 LR paddock1 maize 3268 6187
21/06/2010 LR paddock2 maize 1387 3981
07/12/2010 SR paddock1 maize 2318 5012
07/12/2010 SR paddock2 maize 632 3629
